Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1253,1,2021-04-01,LAA,,CHW,W 4-3,CG,4,2,1,1,0,0,0,1,0,0,2,1,.500,.750,.500,1.250,1,0,0,0,0,0,1.39,0.169,1.30,0.10%,0.95,3,CF
2,1254,2,2021-04-02,LAA,,CHW,L 8-12,CG,5,3,1,2,1,0,0,1,0,0,2,1,.600,.778,.800,1.578,3,0,0,0,0,0,1.17,0.126,1.15,0.07%,1.34,3,CF
3,1255,3,2021-04-03,LAA,,CHW,W 5-3,CG,4,3,0,0,0,0,0,0,0,0,1,3,.375,.615,.500,1.115,0,0,0,0,0,0,1.66,-0.104,1.58,-0.06%,-0.48,3,CF
4,1256,4,2021-04-04,LAA,,CHW,W 7-4,CG,5,4,1,1,0,0,0,0,0,0,1,1,.333,.556,.417,.972,1,0,0,0,0,0,1.26,-0.075,1.22,-0.04%,-0.21,3,CF
5,1257,5,2021-04-05,LAA,,HOU,W 7-6,CG,5,3,1,2,0,0,1,1,0,0,2,1,.400,.609,.667,1.275,5,0,0,0,0,1,1.05,0.082,1.23,0.06%,1.20,3,CF
6,1258,6,2021-04-06,LAA,,HOU,L 2-4,CG,4,4,1,1,0,0,1,2,0,0,0,1,.368,.556,.737,1.292,4,0,0,0,0,0,1.26,0.042,1.58,0.03%,0.91,3,CF
7,1259,7,2021-04-08,LAA,@,TOR,W 7-5 (11),CG(11),5,5,2,3,1,0,1,1,0,0,0,1,.417,.563,.875,1.438,7,0,0,0,0,0,1.59,0.053,1.69,0.03%,0.73,3,CF
8,1260,8,2021-04-09,LAA,@,TOR,W 7-1,CG,5,4,1,2,1,0,0,0,0,0,1,0,.429,.568,.857,1.425,3,0,0,0,0,0,0.25,0.011,0.27,0.01%,0.52,3,CF
9,1261,9,2021-04-10,LAA,@,TOR,L 1-15,GS-5,2,1,0,0,0,0,0,0,0,0,1,0,.414,.564,.828,1.392,0,0,0,0,0,0,0.76,0.014,0.85,0.01%,0.01,3,CF
10,1262,10,2021-04-12,LAA,@,KCR,W 10-3,CG,5,4,1,1,0,0,1,2,0,0,1,1,.394,.545,.848,1.394,4,0,0,0,0,1,0.54,-0.049,0.58,-0.03%,0.54,3,CF
