Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,829,1,2021-04-01,CLE,@,DET,L 2-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,.333,1.07,-0.013,1.15,-0.01%,-0.15,3,3B
2,830,2,2021-04-03,CLE,@,DET,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.286,.375,.286,.661,1,0,0,0,0,0,.250,1.13,-0.071,1.17,-0.04%,-0.18,3,3B
3,831,3,2021-04-04,CLE,@,DET,W 9-3,CG,5,5,1,2,1,0,0,0,1,0,0,0,.333,.385,.417,.801,3,0,0,0,0,0,.400,0.74,0.106,0.71,0.06%,0.64,3,3B
4,832,4,2021-04-05,CLE,,KCR,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.313,.353,.375,.728,1,1,0,0,0,0,.333,1.29,-0.009,1.33,-0.01%,-0.34,3,3B
5,833,5,2021-04-07,CLE,,KCR,W 4-2,CG,4,4,2,2,0,0,2,4,0,0,0,1,.350,.381,.700,1.081,8,0,0,0,0,0,.000,1.28,0.641,1.19,0.36%,3.33,3,3B
6,834,6,2021-04-09,CLE,,DET,W 4-1,CG,4,4,0,2,0,0,0,0,0,0,0,0,.375,.400,.667,1.067,2,0,0,0,0,0,.500,0.47,0.048,0.48,0.03%,0.58,3,3B
7,835,7,2021-04-10,CLE,,DET,W 11-3,CG,5,4,0,0,0,0,0,0,0,0,1,0,.321,.367,.571,.938,0,0,0,0,0,0,.000,0.35,0.005,0.37,0.00%,-0.88,3,3B
8,836,8,2021-04-11,CLE,,DET,W 5-2,CG,4,2,1,0,0,0,0,0,0,0,2,1,.300,.382,.533,.916,0,0,0,0,0,0,.000,0.67,0.006,0.74,0.00%,0.20,3,3B
9,837,9,2021-04-12,CLE,@,CHW,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.265,.342,.471,.813,0,1,0,0,0,0,.000,1.74,-0.219,2.07,-0.16%,-1.74,3,3B
10,838,10,2021-04-13,CLE,@,CHW,W 2-0 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.237,.310,.421,.731,0,0,0,0,0,0,.000,1.20,-0.128,1.40,-0.09%,-0.77,3,3B
11,839,11,2021-04-14,CLE,@,CHW,L 0-8,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,.220,.289,.390,.679,0,0,0,0,0,0,.000,0.16,-0.012,0.19,-0.01%,-0.33,3,3B
12,840,12,2021-04-15,CLE,@,CHW,W 4-2,CG,4,4,1,1,0,0,1,2,1,0,0,0,.222,.286,.444,.730,4,0,0,0,0,0,.000,1.12,0.297,1.36,0.22%,2.52,3,3B
13,841,13,2021-04-16,CLE,@,CIN,L 3-10,CG,5,3,0,1,0,0,0,1,0,0,1,0,.229,.296,.438,.734,1,0,0,0,1,0,.250,0.40,0.022,0.43,0.01%,0.28,3,3B
