Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2016-10-06,CLE,,BOS,W 5-4,ALDS G1,CG,4,3,1,2,1,0,0,0,0,0,1,0,3,0,0,0,0,1,.667,0.81,0.084,12.70,0.79%,1.09,,,5,3B
2,2,2,2016-10-07,CLE,,BOS,W 6-0,ALDS G2,CG,4,4,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,.667,0.38,0.020,6.02,0.18%,-0.18,,,6,3B
3,3,3,2016-10-10,CLE,@,BOS,W 4-3,ALDS G3,CG,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.333,1.02,0.028,10.58,0.22%,0.16,,,5,3B
4,4,4,2016-10-14,CLE,,TOR,W 2-0,ALCS G1,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.66,-0.054,17.15,-0.79%,-0.55,,,5,3B
5,5,5,2016-10-15,CLE,,TOR,W 2-1,ALCS G2,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.76,-0.062,20.02,-0.91%,-0.69,,,6,3B
6,6,6,2016-10-17,CLE,@,TOR,W 4-2,ALCS G3,CG,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.250,0.99,0.030,20.68,0.41%,-0.03,,,5,3B
7,7,7,2016-10-18,CLE,@,TOR,L 1-5,ALCS G4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.25,-0.093,12.07,-0.53%,-0.72,,,5,3B
8,8,8,2016-10-19,CLE,@,TOR,W 3-0,ALCS G5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.54,-0.059,9.72,-0.68%,-1.01,,,5,3B
9,9,9,2016-10-25,CLE,,CHC,W 6-0,WS G1,CG,4,4,0,3,1,0,0,1,0,0,0,0,4,0,0,0,0,0,.750,0.94,0.124,48.97,3.63%,1.67,,,6,3B
10,10,10,2016-10-26,CLE,,CHC,L 1-5,WS G2,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.80,-0.059,42.32,-2.00%,-0.83,,,5,3B
11,11,11,2016-10-28,CLE,@,CHC,W 1-0,WS G3,GS-8,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.500,0.96,0.044,59.88,1.92%,0.51,,,5,3B
12,12,12,2016-10-29,CLE,@,CHC,W 7-2,WS G4,CG,5,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.64,-0.079,39.14,-3.00%,-1.80,,,5,3B
13,13,13,2016-10-30,CLE,@,CHC,L 2-3,WS G5,CG,4,4,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,1.48,-0.020,53.50,-0.20%,0.36,,,6,3B
14,14,14,2016-11-01,CLE,,CHC,L 3-9,WS G6,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.50,-0.037,39.01,-1.83%,-0.48,,,5,3B
