Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,27,1,2023-03-30,TEX,,PHI,W 11-7,CG,4,3,1,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.68,-0.003,0.61,0.00%,-0.33,5,3B
2,28,2,2023-04-01,TEX,,PHI,W 16-3,CG,6,5,2,1,0,0,0,0,0,0,1,2,.125,.300,.125,.425,1,0,0,0,0,0,.333,0.62,-0.053,0.56,-0.03%,-1.51,5,3B
3,29,3,2023-04-02,TEX,,PHI,W 2-1,CG,3,3,1,1,0,0,1,1,0,0,0,0,.182,.308,.455,.762,4,0,0,0,0,0,.000,1.04,0.047,0.96,0.03%,0.47,5,3B
4,30,4,2023-04-03,TEX,,BAL,L 0-2,CG,3,3,0,1,0,0,0,0,0,0,0,1,.214,.313,.429,.741,1,0,0,0,0,0,.500,1.02,-0.035,1.11,-0.02%,-0.14,5,3B
5,31,5,2023-04-04,TEX,,BAL,L 2-7,CG,4,4,0,2,1,0,0,0,0,0,0,2,.278,.350,.500,.850,3,0,0,0,0,0,1.000,0.37,-0.019,0.38,-0.01%,-0.05,5,3B
6,32,6,2023-04-05,TEX,,BAL,W 5-2,CG,4,4,1,2,0,0,1,3,0,0,0,0,.318,.375,.636,1.011,5,0,0,0,0,0,.333,0.87,0.319,0.86,0.19%,2.16,5,3B
7,33,7,2023-04-07,TEX,@,CHC,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.269,.321,.538,.860,0,0,0,0,0,0,.000,1.95,-0.200,1.84,-0.11%,-1.50,5,3B
8,34,8,2023-04-08,TEX,@,CHC,L 3-10,CG,4,4,0,1,0,0,0,1,0,0,0,1,.267,.313,.500,.813,1,0,0,0,0,0,.333,1.76,-0.062,1.69,-0.04%,-0.64,5,3B
9,35,9,2023-04-09,TEX,@,CHC,W 8-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,.229,.270,.429,.699,0,0,0,0,0,0,.000,0.44,-0.058,0.40,-0.03%,-1.12,5,3B
10,36,11,2023-04-11,TEX,,KCR,W 8-5 (10),CG(10),5,3,2,2,1,0,0,0,0,0,2,0,.263,.333,.474,.807,3,0,0,0,0,0,.667,1.40,0.098,1.47,0.06%,1.40,5,3B
11,37,12,2023-04-12,TEX,,KCR,L 1-10,CG,4,4,0,2,0,0,0,0,0,0,0,1,.286,.348,.476,.824,2,0,0,0,0,0,.667,0.28,-0.010,0.30,-0.01%,0.00,5,3B
12,38,13,2023-04-14,TEX,@,HOU,W 6-2,CG,5,5,0,1,0,0,0,1,0,0,0,2,.277,.333,.447,.780,1,0,0,0,0,0,.333,0.43,-0.031,0.48,-0.02%,0.16,5,3B
13,39,14,2023-04-15,TEX,@,HOU,L 2-8,CG,4,4,0,1,0,0,0,0,0,0,0,2,.275,.327,.431,.759,1,0,0,0,0,0,.500,0.99,-0.097,1.15,-0.07%,-0.84,5,3B
14,40,15,2023-04-16,TEX,@,HOU,W 9-1,CG,4,4,2,2,1,0,0,0,0,0,0,2,.291,.339,.455,.794,3,0,0,0,0,0,1.000,1.19,0.067,1.30,0.04%,1.32,5,3B
