Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,381,1,2024-03-28,PIT,@,MIA,W 6-5 (12),CG(12),6,4,1,2,1,0,0,0,0,0,2,1,.500,.667,.750,1.417,3,0,0,0,0,0,.667,1.91,0.097,1.82,0.06%,0.99,14.00,18.20,3,3B
2,382,2,2024-03-29,PIT,@,MIA,W 7-2,CG,5,3,2,2,1,0,0,2,0,0,1,0,.571,.636,.857,1.494,3,0,0,0,1,0,.500,0.55,0.111,0.53,0.06%,1.69,18.00,25.40,3,3B
3,383,3,2024-03-30,PIT,@,MIA,W 9-3,CG,6,6,0,2,0,0,0,1,0,0,0,1,.462,.529,.615,1.145,2,0,0,0,0,0,.400,0.73,0.043,0.75,0.03%,-0.06,8.00,9.50,3,3B
4,384,4,2024-03-31,PIT,@,MIA,W 9-7 (10),CG(10),6,5,1,2,0,0,0,1,0,0,1,0,.444,.522,.556,1.077,2,0,0,0,0,0,.400,1.63,0.116,1.75,0.07%,0.74,12.00,15.70,3,3B
5,385,5,2024-04-01,PIT,@,WSN,W 8-4,CG,6,5,1,1,1,0,0,1,0,0,1,0,.391,.483,.522,1.005,2,0,0,0,0,0,.200,0.98,0.080,1.06,0.05%,-0.43,11.00,15.70,3,3B
6,386,6,2024-04-03,PIT,@,WSN,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.333,.424,.444,.869,0,0,0,0,0,0,.000,0.93,-0.094,1.07,-0.06%,-0.72,0.00,0.00,3,3B
7,387,7,2024-04-04,PIT,@,WSN,W 7-4,CG,5,4,1,0,0,0,0,0,0,0,1,0,.290,.395,.387,.782,0,1,0,0,0,0,.000,0.49,-0.007,0.52,0.00%,-1.37,4.00,6.20,3,3B
8,388,8,2024-04-05,PIT,,BAL,L 2-5,CG,4,3,0,2,0,0,0,0,0,0,1,1,.324,.429,.412,.840,2,0,0,0,0,0,1.000,1.09,0.067,1.14,0.04%,0.63,8.00,9.00,3,3B
9,389,9,2024-04-06,PIT,,BAL,W 5-4 (11),9-GF(11),2,2,0,0,0,0,0,0,0,0,0,1,.306,.409,.389,.798,0,0,0,0,0,0,.000,2.42,-0.171,2.40,-0.10%,-0.69,0.00,0.00,9,PH 3B
10,390,10,2024-04-07,PIT,,BAL,W 3-2,CG,4,4,0,2,0,0,0,0,0,0,0,0,.325,.417,.400,.817,2,0,0,0,0,0,.500,1.55,0.089,1.59,0.06%,0.11,6.00,6.00,3,3B
11,391,11,2024-04-08,PIT,,DET,W 7-4,CG,5,4,0,0,0,0,0,0,0,0,0,1,.295,.396,.364,.760,0,0,1,0,0,0,.000,0.37,-0.058,0.39,-0.04%,-0.96,2.00,3.00,3,3B
12,392,12,2024-04-09,PIT,,DET,L 3-5,CG,4,4,0,2,0,0,0,1,0,0,0,0,.313,.404,.375,.779,2,0,0,0,0,0,.500,0.71,0.079,0.80,0.05%,0.50,8.00,9.50,3,3B
13,393,13,2024-04-11,PIT,@,PHI,L 1-5,CG,4,2,0,0,0,0,0,0,0,0,2,2,.300,.410,.360,.770,0,0,0,0,0,0,,0.58,0.001,0.65,0.00%,-0.21,4.00,6.00,3,3B
14,394,14,2024-04-12,PIT,@,PHI,W 5-2,CG,5,5,0,0,0,0,0,0,0,0,0,2,.273,.379,.327,.706,0,0,0,0,0,0,.000,0.86,-0.065,0.98,-0.04%,-0.76,0.00,0.00,3,3B
15,395,15,2024-04-13,PIT,@,PHI,L 3-4,CG,4,3,0,1,1,0,0,1,0,0,1,0,.276,.386,.345,.731,2,0,0,0,0,0,.333,1.24,0.062,1.44,0.04%,0.68,9.00,12.50,3,3B
16,396,16,2024-04-14,PIT,@,PHI,W 9-2,CG,5,4,2,2,1,0,0,0,0,0,1,1,.290,.400,.371,.771,3,0,0,0,0,0,.667,0.76,0.069,0.85,0.05%,1.33,14.00,18.40,3,3B
17,397,17,2024-04-15,PIT,@,NYM,L 3-6,CG,4,3,1,0,0,0,0,0,0,0,1,1,.277,.392,.354,.746,0,0,0,0,0,0,.000,1.19,-0.019,1.33,-0.01%,-0.22,4.00,6.20,3,3B
18,398,20,2024-04-19,PIT,,BOS,L 1-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.261,.373,.333,.707,0,0,0,0,0,0,.000,0.66,-0.056,0.68,-0.04%,-1.11,0.00,0.00,3,3B
19,399,21,2024-04-20,PIT,,BOS,L 2-4,CG,4,3,1,1,1,0,0,0,0,0,1,0,.264,.379,.347,.727,2,1,0,0,0,0,.333,1.68,0.074,1.64,0.04%,0.46,9.00,12.20,3,3B
20,400,22,2024-04-21,PIT,,BOS,L 1-6,CG,4,3,0,2,0,0,0,1,0,0,0,0,.280,.385,.360,.745,2,0,0,0,1,0,.500,0.77,0.009,0.71,0.01%,0.07,8.00,9.50,3,3B
