Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,112,2022-08-10,DET,,CLE,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,2.80,-0.329,0.00,0.00%,-1.73,6,DH
2,2,113,2022-08-11,DET,,CLE,L 3-4 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.91,-0.258,0.00,0.00%,-1.16,7,DH
3,3,115,2022-08-13,DET,@,CHW,L 4-6,CG,4,3,1,1,0,0,0,0,0,0,1,1,.091,.167,.091,.258,1,0,0,0,0,0,.500,0.79,0.013,0.00,0.00%,-0.04,7,DH
4,4,118,2022-08-15 (2),DET,@,CLE,W 7-5,CG,4,4,3,3,1,0,1,1,0,0,0,0,.267,.313,.533,.846,7,0,0,0,0,0,.667,0.82,0.178,0.00,0.00%,1.60,7,LF
5,5,119,2022-08-16,DET,@,CLE,W 4-3,CG,5,3,1,2,0,0,1,2,0,0,2,1,.333,.429,.722,1.151,5,0,0,0,0,0,1.000,0.63,0.192,0.00,0.00%,2.41,5,DH
6,6,120,2022-08-17,DET,@,CLE,L 4-8,CG,4,2,0,0,0,0,0,1,0,0,1,0,.300,.400,.650,1.050,0,0,0,0,1,0,.000,1.34,-0.008,0.00,0.00%,-0.19,5,DH
7,7,121,2022-08-19,DET,,LAA,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.261,.357,.565,.922,0,0,0,0,0,0,.000,1.59,-0.112,0.00,0.00%,-0.65,6,LF
8,8,123,2022-08-21,DET,,LAA,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.222,.313,.481,.794,0,0,0,0,0,0,.000,0.52,-0.052,0.00,0.00%,-0.74,5,DH
9,9,124,2022-08-23,DET,,SFG,L 1-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.214,.303,.464,.767,0,0,0,0,0,0,,0.60,-0.015,0.00,0.00%,-0.10,9,PH LF
10,10,125,2022-08-24,DET,,SFG,W 6-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.188,.270,.406,.677,0,0,0,0,0,0,.000,0.43,-0.043,0.00,0.00%,-0.85,6,DH
