Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,852,1,2022-04-08,TBR,,BAL,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.33,-0.096,1.23,-0.05%,-0.83,9,CF
2,853,2,2022-04-09,TBR,,BAL,W 5-3,CG,3,3,1,1,1,0,0,0,0,0,0,0,.167,.167,.333,.500,2,0,0,0,0,0,.333,0.59,0.080,0.62,0.05%,0.81,7,CF
3,854,4,2022-04-11,TBR,,OAK,L 2-13,CG,4,4,0,0,0,0,0,0,0,0,0,2,.100,.100,.200,.300,0,0,0,0,0,0,.000,0.05,-0.004,0.05,0.00%,-0.67,7,CF
4,855,6,2022-04-13,TBR,,OAK,L 2-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.083,.083,.167,.250,0,0,0,0,0,0,.000,1.66,-0.059,1.75,-0.04%,-0.51,8,CF
5,856,7,2022-04-14,TBR,,OAK,L 3-6,CG,3,3,0,1,0,0,0,0,0,0,0,0,.133,.133,.200,.333,1,0,0,0,0,0,.333,0.83,0.005,0.84,0.00%,-0.06,8,CF
6,857,8,2022-04-15,TBR,@,CHW,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.111,.111,.167,.278,0,0,0,0,0,0,.000,1.70,-0.119,1.68,-0.07%,-0.79,8,CF
7,858,9,2022-04-16,TBR,@,CHW,L 2-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.167,.278,0,,0,0,,,,4.62,0.083,4.50,0.05%,0.24,4,PR
8,859,10,2022-04-17,TBR,@,CHW,W 9-3,CG,5,3,1,1,0,0,0,2,0,0,1,2,.143,.217,.190,.408,1,0,1,0,0,0,1.000,0.64,0.023,0.59,0.01%,1.97,8,CF
9,860,11,2022-04-18,TBR,@,CHC,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,3,.120,.185,.160,.345,0,0,0,0,0,0,.000,1.20,-0.107,1.11,-0.06%,-0.85,6,CF
10,861,13,2022-04-20,TBR,@,CHC,W 8-2 (6),CG(6),3,3,0,1,1,0,0,1,0,0,0,1,.143,.200,.214,.414,2,0,0,0,0,0,.500,0.31,0.006,0.29,0.00%,0.53,7,CF
11,862,14,2022-04-22,TBR,,BOS,L 3-4,GS-9,3,2,1,0,0,0,0,0,0,0,1,0,.133,.212,.200,.412,0,0,0,0,0,0,.000,1.31,-0.046,1.43,-0.03%,-0.24,8,CF
12,863,15,2022-04-23,TBR,,BOS,W 3-2 (10),CG(10),4,3,1,1,0,0,1,2,0,0,1,1,.152,.243,.303,.546,4,0,0,0,0,0,.000,1.96,0.824,2.06,0.52%,1.55,7,CF
13,864,16,2022-04-24,TBR,,BOS,W 5-2,CG,4,4,1,1,0,0,0,0,0,0,0,2,.162,.244,.297,.541,1,0,0,0,0,0,.500,0.84,0.051,0.87,0.03%,0.17,9,CF
14,865,17,2022-04-26,TBR,,SEA,L 4-8,CG,4,3,0,1,0,0,0,0,0,0,1,0,.175,.267,.300,.567,1,0,0,0,0,0,.333,0.39,0.048,0.40,0.03%,0.19,6,CF
15,866,18,2022-04-27,TBR,,SEA,W 3-2,CG,3,3,1,2,0,0,1,2,0,0,0,0,.209,.292,.395,.687,5,0,0,0,0,0,.500,0.97,0.226,0.96,0.13%,2.46,8,CF
16,867,19,2022-04-28,TBR,,SEA,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.209,.292,.395,.687,0,,0,0,,,,,,,,,1,CF
17,868,20,2022-04-29,TBR,,MIN,W 6-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.213,.288,.383,.671,1,0,0,0,0,0,.333,0.16,-0.021,0.17,-0.01%,-0.93,6,CF
18,869,21,2022-04-30,TBR,,MIN,L 1-9,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.200,.273,.360,.633,0,0,0,0,0,0,.000,0.90,-0.067,0.98,-0.04%,-0.65,6,CF
19,870,23,2022-05-02,TBR,@,OAK,W 6-1,CG,4,4,1,0,0,0,0,0,0,0,0,1,.185,.254,.333,.588,0,0,0,0,0,0,.000,0.58,-0.059,0.58,-0.04%,-0.96,6,CF
20,871,24,2022-05-03,TBR,@,OAK,W 10-7 (10),GS-9,3,3,1,1,1,0,0,0,0,0,0,1,.193,.258,.351,.609,2,0,0,0,0,0,.500,0.71,0.006,0.75,0.00%,0.31,6,CF
21,872,26,2022-05-05,TBR,@,SEA,W 4-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.183,.246,.333,.579,0,0,0,0,0,0,.000,0.51,-0.038,0.58,-0.03%,-0.45,9,CF
22,873,27,2022-05-06,TBR,@,SEA,W 8-7,CG,5,5,0,0,0,0,0,0,0,0,0,1,.169,.229,.308,.536,0,0,0,0,0,0,.000,0.95,-0.115,1.07,-0.08%,-1.16,6,CF
23,874,28,2022-05-07,TBR,@,SEA,W 8-2,CG,4,4,0,2,1,0,0,0,1,0,0,1,.188,.243,.333,.577,3,0,0,0,0,0,.667,0.59,0.104,0.70,0.07%,1.01,9,CF
24,875,29,2022-05-08,TBR,@,SEA,L 1-2 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.188,.243,.333,.577,0,,0,0,,,,,,,,,8,CF
25,876,30,2022-05-09,TBR,@,LAA,L 3-11,GS-7,3,2,0,0,0,0,0,0,1,0,1,1,.183,.247,.324,.571,0,0,0,0,0,0,.000,1.39,-0.019,1.66,-0.01%,0.01,6,CF
26,877,31,2022-05-10,TBR,@,LAA,L 0-12,CG,3,3,0,0,0,0,0,0,0,0,0,0,.176,.238,.311,.548,0,1,0,0,0,0,.000,0.11,-0.009,0.13,-0.01%,-0.77,9,CF
27,878,32,2022-05-11,TBR,@,LAA,W 4-2 (10),CG(10),4,4,2,1,0,0,1,1,0,0,0,3,.179,.238,.346,.584,4,0,0,0,0,0,,1.30,-0.019,1.45,-0.01%,0.43,6,CF
28,879,33,2022-05-13,TBR,,TOR,W 5-2,CG,3,3,1,0,0,0,0,0,0,0,0,1,.173,.230,.333,.563,0,0,0,0,0,0,.000,0.73,0.061,0.89,0.05%,0.55,7,CF
29,880,34,2022-05-14,TBR,,TOR,L 1-5,6-GF,1,1,0,0,0,0,0,0,0,0,0,1,.171,.227,.329,.557,0,0,0,0,0,0,,0.67,-0.016,0.80,-0.01%,-0.27,3,PR DH
30,881,35,2022-05-15,TBR,,TOR,W 3-0,8-GF,1,1,0,1,0,0,0,0,1,0,0,0,.181,.236,.337,.573,1,0,0,0,0,0,1.000,0.21,0.010,0.25,0.01%,0.87,3,CF
31,882,36,2022-05-16,TBR,,DET,L 2-3,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.174,.228,.326,.554,0,0,0,0,0,0,.000,1.61,-0.112,1.79,-0.08%,-0.65,6,CF
32,883,37,2022-05-17,TBR,,DET,W 8-1,CG,4,4,2,3,0,0,1,2,0,0,0,0,.200,.250,.378,.628,6,0,0,0,0,0,.667,0.42,0.156,0.45,0.10%,2.00,6,CF
33,884,39,2022-05-20,TBR,@,BAL,L 6-8 (13),CG(13),6,6,0,3,1,0,0,1,0,0,0,2,.219,.265,.396,.661,4,0,0,0,0,0,.750,2.84,-0.098,3.12,-0.07%,-0.21,6,CF
34,885,40,2022-05-21,TBR,@,BAL,W 6-1,CG,4,4,2,3,0,0,1,1,0,0,0,1,.240,.283,.440,.723,6,0,0,0,0,0,1.000,0.45,0.020,0.50,0.01%,1.40,1,CF
