Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,980,1,2024-03-29,PHI,,ATL,L 3-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.56,-0.059,0.57,-0.04%,-0.93,0.00,0.00,1,DH
2,981,2,2024-03-30,PHI,,ATL,L 4-12,CG,5,5,1,1,0,0,0,0,1,0,0,1,.111,.111,.111,.222,1,0,0,0,0,0,.250,0.84,0.032,0.80,0.02%,-0.20,10.00,12.20,1,DH
3,982,3,2024-03-31,PHI,,ATL,W 5-4,CG,4,4,2,2,0,0,1,1,0,0,0,1,.231,.231,.462,.692,5,1,0,0,0,0,.500,1.81,-0.023,1.65,-0.01%,-0.01,19.00,24.90,1,DH
4,983,4,2024-04-01,PHI,,CIN,L 3-6 (10),GS-8,4,4,1,2,0,0,0,0,0,0,0,1,.294,.294,.471,.765,2,0,0,0,0,0,.667,0.99,0.065,0.89,0.04%,0.29,8.00,9.20,1,DH
5,984,5,2024-04-02,PHI,,CIN,W 9-4,CG,5,5,1,1,0,0,0,1,0,0,0,1,.273,.273,.409,.682,1,0,0,0,0,0,.250,0.64,-0.008,0.57,0.00%,0.35,7.00,9.70,1,DH
6,985,6,2024-04-03,PHI,,CIN,L 1-4,CG,4,3,1,1,0,0,1,1,0,0,1,1,.280,.308,.520,.828,4,0,0,0,0,0,.000,0.98,0.064,0.86,0.03%,0.60,16.00,21.70,1,DH
7,986,7,2024-04-05,PHI,@,WSN,W 4-0,CG,5,3,1,1,0,0,0,2,0,0,2,2,.286,.355,.500,.855,1,0,0,0,0,0,1.000,0.76,0.140,0.71,0.08%,2.22,13.00,19.20,1,DH
8,987,8,2024-04-06,PHI,@,WSN,W 5-2,CG,5,5,0,0,0,0,0,0,0,0,0,3,.242,.306,.424,.730,0,0,0,0,0,0,.000,0.54,-0.068,0.54,-0.04%,-1.20,0.00,0.00,1,DH
9,988,9,2024-04-07,PHI,@,WSN,L 2-3,CG,4,3,0,1,0,0,0,0,0,1,1,0,.250,.325,.417,.742,1,0,0,0,0,0,.333,0.91,-0.022,0.97,-0.01%,-0.05,5.00,6.00,1,DH
10,989,10,2024-04-08,PHI,@,STL,W 5-3 (10),GS-10,5,5,0,0,0,0,0,0,0,0,0,1,.220,.289,.366,.655,0,0,0,0,0,0,.000,0.93,-0.154,0.85,-0.09%,-1.95,0.00,0.00,1,DH
11,990,11,2024-04-09,PHI,@,STL,L 0-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.205,.286,.341,.627,0,0,0,0,0,0,.000,1.61,-0.085,1.61,-0.05%,-0.71,2.00,3.00,1,DH
12,991,12,2024-04-10,PHI,@,STL,W 4-3,CG,5,4,1,1,0,0,0,0,0,0,1,2,.208,.296,.333,.630,1,0,0,0,0,0,.500,0.97,-0.051,0.92,-0.03%,-0.61,7.00,9.20,1,DH
13,992,13,2024-04-11,PHI,,PIT,W 5-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.212,.293,.327,.620,1,0,0,0,0,0,.333,0.61,-0.004,0.60,0.00%,-0.12,3.00,3.00,1,DH
14,993,14,2024-04-12,PHI,,PIT,L 2-5,CG,4,3,1,1,0,0,0,0,0,0,1,2,.218,.306,.327,.634,1,0,0,0,0,0,1.000,0.82,-0.001,0.85,0.00%,0.30,7.00,9.20,1,DH
15,994,15,2024-04-13,PHI,,PIT,W 4-3,GS-9,5,3,2,3,0,0,1,1,0,0,2,0,.259,.358,.414,.772,6,0,0,0,0,0,1.000,1.62,0.351,1.61,0.21%,2.48,26.00,33.90,1,DH
16,995,16,2024-04-14,PHI,,PIT,L 2-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.242,.338,.387,.725,0,0,0,0,0,0,.000,0.89,-0.088,0.92,-0.05%,-0.95,0.00,0.00,1,DH
17,996,17,2024-04-15,PHI,,COL,W 2-1 (10),GS-8,4,3,0,0,0,0,0,0,0,0,1,1,.231,.333,.369,.703,0,0,0,0,0,0,.000,1.54,0.048,1.48,0.03%,-0.10,2.00,3.00,1,DH
18,997,18,2024-04-16,PHI,,COL,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.217,.316,.348,.664,0,0,0,0,0,0,.000,0.51,-0.054,0.50,-0.03%,-1.07,0.00,0.00,1,DH
19,998,19,2024-04-17,PHI,,COL,W 7-6,CG,5,5,2,2,0,0,2,3,0,0,0,2,.230,.321,.432,.754,8,0,0,0,0,0,.000,0.53,0.088,0.53,0.05%,1.74,30.00,40.90,1,DH
20,999,20,2024-04-19,PHI,,CHW,W 7-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.218,.307,.410,.717,0,0,0,0,0,0,.000,0.34,-0.034,0.35,-0.02%,-0.74,0.00,0.00,1,DH
21,1000,21,2024-04-20,PHI,,CHW,W 9-5,CG,5,4,0,0,0,0,0,0,0,0,1,2,.207,.301,.390,.691,0,0,0,0,0,0,.000,0.51,-0.040,0.51,-0.02%,-1.37,2.00,3.00,1,DH
22,1001,22,2024-04-21,PHI,,CHW,W 8-2,CG,5,1,3,1,0,0,1,2,0,0,3,0,.217,.327,.434,.760,4,0,0,0,1,0,.000,0.51,0.097,0.53,0.06%,2.02,26.00,37.60,1,DH
23,1002,23,2024-04-22,PHI,@,CIN,W 7-0,CG,5,3,1,0,0,0,0,1,0,0,1,2,.209,.320,.419,.739,0,0,0,0,1,0,.000,0.51,-0.017,0.58,-0.01%,-0.38,6.00,9.70,1,DH
24,1003,24,2024-04-23,PHI,@,CIN,L 1-8,CG,5,4,0,0,0,0,0,0,0,0,1,3,.200,.315,.400,.715,0,0,0,0,0,0,.000,0.89,-0.070,1.03,-0.05%,-1.52,2.00,3.00,1,DH
25,1004,25,2024-04-24,PHI,@,CIN,L 4-7,CG,5,4,1,1,0,0,0,0,0,0,1,1,.202,.319,.394,.712,1,0,0,0,0,0,.333,0.96,-0.012,1.10,-0.01%,-0.21,7.00,9.20,1,DH
