Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,249,1,2022-04-07,HOU,@,LAA,W 3-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,1,.000,0.78,-0.036,0.75,-0.02%,-0.43,6,RF
2,250,2,2022-04-08,HOU,@,LAA,W 13-6,CG,5,5,2,2,0,0,2,4,0,0,0,0,.250,.333,1.000,1.333,8,0,0,0,0,0,.000,0.52,-0.060,0.55,-0.04%,2.40,6,RF
3,251,3,2022-04-09,HOU,@,LAA,L 0-2,CG,3,3,0,1,0,0,0,0,1,0,0,0,.273,.333,.818,1.152,1,0,0,0,0,0,.333,1.35,-0.075,1.46,-0.05%,-0.37,6,RF
4,252,4,2022-04-10,HOU,@,LAA,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.200,.250,.600,.850,0,0,0,0,0,0,.000,0.79,-0.071,0.83,-0.05%,-0.88,6,RF
5,253,5,2022-04-12,HOU,@,ARI,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.167,.250,.500,.750,0,0,0,0,0,0,.000,1.46,-0.091,1.46,-0.06%,-0.57,5,RF
6,254,6,2022-04-13,HOU,@,ARI,L 2-3 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,1,.130,.200,.391,.591,0,0,0,0,0,0,.000,1.87,-0.226,1.89,-0.14%,-1.61,4,RF
7,255,7,2022-04-15,HOU,@,SEA,L 1-11,CG,4,4,0,0,0,0,0,0,0,0,0,3,.111,.172,.333,.506,0,0,0,0,0,0,.000,0.49,-0.051,0.54,-0.03%,-0.86,5,RF
8,256,8,2022-04-16,HOU,@,SEA,W 4-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.129,.182,.323,.504,1,0,0,0,0,0,.333,0.65,-0.024,0.71,-0.02%,-0.96,4,RF
9,257,9,2022-04-17,HOU,@,SEA,L 2-7,CG,4,2,0,0,0,0,0,0,0,0,2,1,.121,.216,.303,.519,0,0,0,0,0,0,.000,0.68,0.051,0.73,0.03%,0.04,4,RF
10,258,10,2022-04-18,HOU,,LAA,W 8-3,CG,4,2,1,0,0,0,0,0,0,0,2,0,.114,.244,.286,.530,0,0,0,0,0,0,.000,1.03,0.039,1.13,0.03%,0.38,6,RF
