Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,34,1,2021-04-01,TEX,@,KCR,L 10-14,CG,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.68,-0.229,1.65,-0.14%,-2.83,8,CF
2,35,2,2021-04-03,TEX,@,KCR,L 4-11,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.27,-0.026,0.25,-0.02%,-0.83,8,CF
3,36,3,2021-04-04,TEX,@,KCR,W 7-3,CG,4,3,1,0,0,0,0,0,0,0,1,2,.000,.077,.000,.077,0,0,0,0,0,0,.000,0.53,-0.029,0.44,-0.02%,-0.79,9,CF
4,37,4,2021-04-05,TEX,,TOR,L 2-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.071,.000,.071,0,0,0,0,0,0,,0.24,-0.006,0.21,0.00%,-0.37,8,PH
5,38,5,2021-04-06,TEX,,TOR,W 7-4,CG,3,3,0,1,0,0,0,0,0,0,0,2,.063,.118,.063,.180,1,0,0,0,0,0,1.000,0.16,-0.010,0.14,-0.01%,-0.09,9,CF
6,39,6,2021-04-07,TEX,,TOR,W 2-1,CG,3,3,0,1,0,0,0,1,0,0,0,1,.105,.150,.105,.255,1,0,0,0,0,0,.500,0.79,0.049,0.71,0.03%,0.07,8,CF
7,40,7,2021-04-09,TEX,,SDP,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.091,.130,.091,.221,0,0,0,0,0,0,.000,0.55,-0.042,0.48,-0.02%,-0.44,9,CF
8,41,9,2021-04-11,TEX,,SDP,L 0-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,.080,.148,.080,.228,0,0,1,0,0,0,.000,1.96,-0.026,1.54,-0.01%,-0.28,9,CF
9,42,10,2021-04-12,TEX,@,TBR,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,2,.107,.167,.107,.274,1,0,0,0,0,0,1.000,1.43,0.079,1.12,0.04%,0.12,9,CF
10,43,12,2021-04-14,TEX,@,TBR,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.094,.147,.094,.241,0,1,0,0,0,0,.000,0.84,-0.194,0.68,-0.09%,-2.22,9,CF
11,44,13,2021-04-15,TEX,@,TBR,W 6-4 (10),CG(10),4,4,0,1,0,0,0,0,1,0,0,1,.111,.158,.111,.269,1,0,0,0,0,0,.333,0.92,-0.073,0.81,-0.04%,-0.33,9,CF
12,45,14,2021-04-16,TEX,,BAL,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.103,.146,.103,.249,0,0,0,0,0,0,.000,0.66,-0.052,0.61,-0.03%,-0.46,9,CF
13,46,16,2021-04-18,TEX,,BAL,W 1-0 (10),GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.098,.140,.098,.237,0,0,0,0,0,0,.000,1.58,-0.106,1.24,-0.05%,-0.86,9,CF
14,47,19,2021-04-21,TEX,@,LAA,W 7-4,CG,4,2,1,0,0,0,0,0,0,0,2,2,.093,.170,.093,.263,0,0,0,0,0,0,,0.83,0.007,0.79,0.00%,0.30,9,CF
15,48,20,2021-04-23,TEX,@,CHW,L 7-9,GS-8,3,3,0,0,0,0,0,0,0,0,0,2,.087,.160,.087,.247,0,0,0,0,0,0,.000,1.03,-0.080,0.93,-0.04%,-0.66,9,CF
16,49,125,2021-08-24,TEX,@,CLE,W 7-3,CG,5,5,0,0,0,0,0,0,0,0,0,2,.078,.145,.078,.224,0,0,0,0,0,0,.000,0.72,-0.095,0.00,0.00%,-1.27,1,CF
17,50,126,2021-08-25,TEX,@,CLE,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.073,.136,.073,.208,0,1,0,0,0,0,.000,1.05,-0.131,0.00,0.00%,-1.37,8,CF
18,51,127,2021-08-26,TEX,@,CLE,L 6-10,CG,4,4,0,0,0,0,0,0,1,0,0,2,.068,.127,.068,.195,0,0,0,0,0,0,.000,0.80,-0.051,0.00,0.00%,-0.17,8,CF
19,52,129,2021-08-28,TEX,,HOU,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.065,.121,.065,.186,0,0,0,0,0,0,.000,0.93,-0.071,0.00,0.00%,-0.72,9,CF
20,53,130,2021-08-29,TEX,,HOU,W 13-2,CG,5,3,0,0,0,0,0,0,1,0,1,1,.062,.129,.062,.190,0,0,0,1,0,0,.000,0.26,0.012,0.00,0.00%,-0.64,9,CF
21,54,131,2021-08-30,TEX,,COL,W 4-3,CG,3,3,1,2,1,0,1,1,0,0,0,0,.088,.151,.147,.298,6,0,0,0,0,0,.500,0.50,0.158,0.00,0.00%,1.21,9,CF
22,55,132,2021-08-31,TEX,,COL,W 4-3,CG,4,3,1,1,0,0,1,1,2,0,1,0,.099,.169,.197,.366,4,0,0,0,0,0,.000,0.57,0.087,0.00,0.00%,1.17,8,CF
23,56,133,2021-09-01,TEX,,COL,L 5-9,CG,5,5,1,2,1,0,0,2,1,0,0,1,.118,.183,.224,.407,3,0,0,0,0,0,.500,1.18,0.094,0.00,0.00%,1.27,1,CF
24,57,134,2021-09-03,TEX,@,LAA,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.113,.174,.213,.387,0,0,0,0,0,0,.000,2.32,-0.240,0.00,0.00%,-1.42,9,CF
25,58,135,2021-09-04,TEX,@,LAA,L 1-4,CG,4,4,1,2,1,0,0,0,0,0,0,0,.131,.189,.238,.427,3,0,0,0,0,0,.500,1.02,0.068,0.00,0.00%,1.02,1,CF
26,59,136,2021-09-05,TEX,@,LAA,W 7-3,CG,5,5,0,1,0,0,0,0,0,0,0,3,.135,.189,.236,.425,1,0,0,0,0,0,.500,0.44,-0.003,0.00,0.00%,-0.75,1,CF
27,60,138,2021-09-07,TEX,@,ARI,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.140,.192,.237,.428,1,0,0,0,0,0,.250,0.65,-0.033,0.00,0.00%,-0.31,1,CF
28,61,139,2021-09-08,TEX,@,ARI,W 8-5,CG,5,5,1,1,0,1,0,0,0,0,0,0,.143,.192,.255,.447,3,0,0,0,0,0,.200,0.81,0.014,0.00,0.00%,-0.97,1,CF
29,62,140,2021-09-10,TEX,@,OAK,L 5-10,CG,5,5,1,2,1,0,0,1,0,0,0,0,.155,.202,.272,.474,3,0,0,0,0,0,.400,0.39,0.010,0.00,0.00%,0.98,1,CF
30,63,141,2021-09-11,TEX,@,OAK,W 8-6,CG,5,5,1,1,0,0,1,1,0,0,0,1,.157,.202,.296,.498,4,0,0,0,0,0,.000,0.71,0.013,0.00,0.00%,0.07,1,CF
