Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,207,1,2021-04-01,TOR,@,NYY,W 3-2 (10),CG(10),4,4,0,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,1,1,0,0,0,0,.500,2.07,-0.099,2.26,-0.07%,-0.15,6,LF
2,208,2,2021-04-03,TOR,@,NYY,L 3-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,1,0,0,0,0,.250,1.88,-0.109,2.05,-0.07%,-0.79,6,LF
3,209,3,2021-04-04,TOR,@,NYY,W 3-1,GS-9,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.64,0.028,0.69,0.02%,0.17,6,LF
4,210,5,2021-04-06,TOR,@,TEX,L 4-7,CG,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.53,-0.025,0.52,-0.02%,-0.13,6,LF
5,211,6,2021-04-07,TOR,@,TEX,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.200,.200,.400,0,0,0,0,0,0,.000,1.42,-0.154,1.40,-0.09%,-0.96,6,LF
6,212,7,2021-04-08,TOR,,LAA,L 5-7 (11),CG(11),5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,.333,1.05,-0.107,1.03,-0.06%,-0.60,6,LF
7,213,8,2021-04-09,TOR,,LAA,L 1-7,GS-3,1,1,0,0,0,0,0,0,0,0,0,1,.192,.192,.192,.385,0,0,0,0,0,0,,1.59,-0.042,1.53,-0.02%,-0.46,5,LF
8,214,10,2021-04-12,TOR,,NYY,L 1-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.172,.200,.172,.372,0,0,0,0,0,0,.000,1.38,-0.097,1.39,-0.06%,-0.33,6,LF
9,215,11,2021-04-13,TOR,,NYY,W 7-3,CG,4,3,1,0,0,0,0,0,0,0,0,1,.156,.206,.156,.362,0,0,1,0,0,0,.000,0.60,0.008,0.58,0.01%,-0.71,6,LF
10,216,12,2021-04-14,TOR,,NYY,W 5-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.167,.211,.167,.377,1,0,0,0,0,0,.333,1.53,-0.059,1.58,-0.04%,-0.70,6,LF
11,217,13,2021-04-15,TOR,@,KCR,L 5-7,CG,4,3,1,2,0,0,0,0,0,0,1,0,.205,.262,.205,.467,2,0,0,0,0,0,.667,0.56,0.013,0.54,0.01%,0.59,6,LF
12,218,14,2021-04-17 (1),TOR,@,KCR,W 5-1 (7),CG(7),3,3,0,1,1,0,0,2,0,0,0,0,.214,.267,.238,.505,2,0,0,0,0,0,.333,0.98,0.191,0.92,0.11%,1.53,5,LF
13,219,15,2021-04-17 (2),TOR,@,KCR,L 2-3 (7),CG(7),3,2,0,0,0,0,0,1,0,0,0,0,.205,.250,.227,.477,0,0,0,0,1,0,.000,1.43,-0.086,1.43,-0.05%,-0.62,5,LF 1B
14,220,17,2021-04-20,TOR,@,BOS,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.188,.231,.208,.439,0,0,0,0,0,0,.000,1.24,-0.127,1.33,-0.08%,-0.96,5,LF
15,221,18,2021-04-21,TOR,@,BOS,W 6-3,CG,5,4,0,1,0,0,0,1,1,0,0,0,.192,.228,.212,.440,1,0,0,0,1,0,.200,0.84,-0.010,0.81,-0.01%,-1.08,8,LF
16,222,19,2021-04-23,TOR,@,TBR,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.179,.213,.196,.410,0,0,0,0,0,0,.000,0.30,-0.012,0.32,-0.01%,-0.23,8,LF
17,223,20,2021-04-24,TOR,@,TBR,L 3-5,CG,4,4,0,1,0,0,0,0,0,0,0,2,.183,.215,.200,.415,1,0,0,0,0,0,.500,1.49,-0.011,1.62,-0.01%,-0.57,7,LF
18,224,21,2021-04-25,TOR,@,TBR,W 1-0,CG,4,4,0,2,0,0,0,0,0,0,0,1,.203,.232,.219,.451,2,0,0,0,0,0,.667,1.00,0.047,1.07,0.03%,0.48,6,LF
19,225,22,2021-04-27,TOR,,WSN,W 9-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.191,.219,.206,.425,0,0,0,0,0,0,.000,0.58,-0.072,0.54,-0.04%,-1.20,8,LF
20,226,23,2021-04-28,TOR,,WSN,L 2-8,CG,4,3,1,1,0,0,1,1,0,0,1,0,.197,.234,.254,.487,4,0,0,0,0,0,.000,0.31,0.046,0.31,0.03%,0.90,8,LF
21,227,24,2021-04-30,TOR,,ATL,W 13-5,CG,5,5,2,3,0,0,1,1,0,0,0,0,.224,.256,.316,.572,6,0,0,0,0,0,.500,0.36,0.057,0.33,0.03%,1.45,7,LF
22,228,25,2021-05-01,TOR,,ATL,W 6-5 (10),CG(10),4,4,0,1,1,0,0,1,0,0,0,1,.225,.256,.325,.581,2,0,0,0,0,0,.333,1.69,-0.045,1.59,-0.03%,-0.18,7,LF
