Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,415,70,2025-06-14,HOU,,MIN,W 3-2,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,,1.38,0.046,1.87,0.04%,0.26,2.00,3.00,9,PH 3B
2,416,71,2025-06-15,HOU,,MIN,W 2-1 (10),CG(10),3,3,0,0,0,0,0,0,0,0,0,2,.000,.250,.000,.250,0,0,0,0,0,0,.000,2.05,-0.164,2.82,-0.14%,-0.69,0.00,0.00,9,3B
3,417,72,2025-06-16,HOU,@,ATH,L 1-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.167,.286,.167,.452,1,1,0,0,0,0,.500,1.52,-0.118,2.01,-0.09%,-0.85,3.00,3.00,9,3B
4,418,73,2025-06-17,HOU,@,ATH,W 13-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,0,1,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-1.18,0.00,0.00,1,2B
5,419,74,2025-06-18,HOU,@,ATH,W 11-4,8-GF,2,2,0,0,0,0,0,0,0,0,0,2,.111,.200,.111,.311,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.67,0.00,0.00,3,PH 2B 3B
6,420,76,2025-06-20,HOU,@,LAA,W 3-2 (10),7-9,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,0,,0,0,,,,,,,,,0.00,0.00,8,2B
7,421,77,2025-06-21,HOU,@,LAA,L 1-9,CG,3,3,0,0,0,0,0,0,0,0,0,2,.083,.154,.083,.237,0,0,0,0,0,0,.000,0.43,-0.032,0.63,-0.03%,-0.61,0.00,0.00,9,2B 3B
8,422,78,2025-06-22,HOU,@,LAA,W 8-7,CG,4,4,1,1,0,0,0,0,0,0,0,0,.125,.176,.125,.301,1,0,0,0,0,0,.250,0.86,-0.028,1.27,-0.03%,-0.31,5.00,6.20,9,3B
9,423,79,2025-06-24,HOU,,PHI,W 1-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.125,.176,.125,.301,0,,0,0,,,,,,,,,0.00,0.00,8,2B
10,424,81,2025-06-26,HOU,,PHI,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.125,.176,.125,.301,0,,0,0,,,,,,,,,0.00,0.00,8,2B
11,425,83,2025-06-28,HOU,,CHC,L 3-12,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.118,.167,.118,.284,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.10,0.00,0.00,3,2B
12,426,84,2025-06-29,HOU,,CHC,W 2-0,CG,3,3,1,1,0,0,0,0,0,0,0,1,.150,.190,.150,.340,1,0,0,0,0,0,.500,0.80,0.012,1.04,0.01%,-0.08,5.00,6.20,9,3B
,,,,,,,9-3,,21,20,2,3,0,0,0,0,0,0,1,8,.150,.190,.150,.340,3,2,0,0,0,0,.250,0.91,-0.284,1.07,-0.24%,-4.22,15.00,18.40,,
