Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,468,1,2025-03-27,CHW,,LAA,W 8-1,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,2,0,0,0,0,0,.333,0.41,0.013,0.39,0.01%,-0.66,5.00,6.00,2,CF
2,469,2,2025-03-29,CHW,,LAA,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.125,.125,.250,.375,0,0,0,0,0,0,.000,1.36,-0.168,1.31,-0.10%,-0.93,0.00,0.00,2,CF
3,470,3,2025-03-30,CHW,,LAA,L 2-3,CG,4,4,1,2,0,0,0,0,1,0,0,0,.250,.250,.333,.583,2,0,0,0,0,0,.500,1.26,0.064,1.18,0.04%,0.28,13.00,15.20,2,CF
4,471,4,2025-03-31,CHW,,MIN,W 9-0,GS-6,3,1,1,0,0,0,0,1,0,0,1,0,.231,.267,.308,.574,0,0,0,0,1,0,.000,0.83,0.035,0.78,0.02%,-0.11,6.00,9.70,2,CF
5,472,5,2025-04-01,CHW,,MIN,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.176,.211,.235,.446,0,0,0,0,0,0,.000,0.99,-0.095,0.94,-0.05%,-0.89,0.00,0.00,2,CF
6,473,6,2025-04-02,CHW,,MIN,L 1-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.190,.217,.238,.455,1,0,0,0,0,0,.333,0.42,-0.036,0.40,-0.02%,-0.42,3.00,3.00,2,DH
7,474,7,2025-04-04,CHW,@,DET,L 4-7,CG,5,4,0,0,0,0,0,0,0,0,1,3,.160,.214,.200,.414,0,0,0,0,0,0,.000,0.59,-0.075,0.56,-0.04%,-0.74,2.00,3.00,2,CF
8,475,8,2025-04-05,CHW,@,DET,L 2-7,CG,4,3,1,0,0,0,0,0,0,0,1,1,.143,.219,.179,.397,0,1,0,0,0,0,.000,0.75,-0.062,0.62,-0.03%,-1.26,4.00,6.20,2,CF
9,476,9,2025-04-06,CHW,@,DET,L 3-4,CG,4,3,0,1,0,0,0,0,0,1,1,1,.161,.250,.194,.444,1,0,0,0,0,0,.500,0.92,0.002,0.77,0.00%,-0.06,5.00,6.00,2,CF
10,477,10,2025-04-08,CHW,@,CLE,L 0-1,CG,4,3,0,1,0,0,0,0,2,1,1,1,.176,.275,.206,.481,1,0,0,0,0,0,.500,2.03,0.140,1.55,0.06%,0.46,15.00,18.00,2,CF
11,478,11,2025-04-09,CHW,@,CLE,L 2-3,CG,5,5,0,0,0,0,0,0,0,0,0,1,.154,.244,.179,.424,0,0,0,0,0,0,.000,2.03,-0.252,1.50,-0.11%,-1.76,0.00,0.00,1,CF
12,479,13,2025-04-11,CHW,,BOS,W 11-1,GS-9,5,3,2,1,0,0,0,1,2,0,0,0,.167,.250,.190,.440,1,0,0,0,0,0,.333,0.51,0.059,0.30,0.02%,1.61,19.00,24.90,2,CF
13,480,14,2025-04-12,CHW,,BOS,W 3-2,CG,4,3,2,1,0,0,1,2,1,0,1,0,.178,.269,.267,.536,4,0,0,0,0,0,.000,1.69,0.387,1.10,0.15%,1.95,25.00,34.40,3,CF
14,481,15,2025-04-13,CHW,,BOS,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.163,.250,.245,.495,0,0,0,0,0,0,.000,1.17,-0.117,0.79,-0.05%,-0.76,0.00,0.00,2,CF
15,482,16,2025-04-15,CHW,,ATH,L 3-12,CG,4,3,0,0,0,0,0,0,0,0,1,2,.154,.250,.231,.481,0,0,0,0,0,0,.000,0.78,-0.038,0.49,-0.01%,-0.62,2.00,3.00,2,CF
16,483,17,2025-04-16,CHW,,ATH,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.143,.234,.214,.449,0,0,0,0,0,0,.000,2.18,-0.221,1.20,-0.07%,-1.55,0.00,0.00,3,CF
17,484,18,2025-04-17,CHW,,ATH,L 0-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.136,.235,.203,.439,0,0,0,0,0,0,.000,0.73,-0.030,0.40,-0.01%,-0.21,2.00,3.00,2,CF
