Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,738,1,2023-03-30,ATL,@,WSN,W 7-2,CG,5,5,1,2,1,0,0,0,0,0,0,2,.400,.400,.600,1.000,3,0,0,0,0,0,.667,1.10,-0.071,1.09,-0.04%,-0.80,2,1B
2,739,2,2023-04-01,ATL,@,WSN,W 7-1,CG,4,3,2,2,0,0,2,3,0,0,1,1,.500,.556,1.375,1.931,8,0,0,0,0,0,,0.52,0.098,0.57,0.06%,2.83,2,1B
3,740,3,2023-04-02,ATL,@,WSN,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,1,2,.364,.462,1.000,1.462,0,0,0,0,0,0,.000,0.90,-0.049,0.98,-0.03%,-0.62,2,1B
4,741,4,2023-04-03,ATL,@,STL,W 8-4,CG,5,5,1,1,0,0,0,1,0,0,0,2,.313,.389,.750,1.139,1,0,0,0,0,0,.333,0.35,-0.004,0.35,0.00%,-0.20,2,1B
5,742,5,2023-04-04,ATL,@,STL,W 4-1,CG,5,5,0,0,0,0,0,0,0,0,0,4,.238,.304,.571,.876,0,0,0,0,0,0,.000,0.58,-0.070,0.61,-0.05%,-1.28,2,1B
6,743,6,2023-04-05,ATL,@,STL,W 5-2,CG,5,5,2,3,2,0,1,3,0,0,0,1,.308,.357,.769,1.126,8,0,0,0,0,0,.667,0.44,0.231,0.48,0.15%,2.97,2,1B
7,744,7,2023-04-06,ATL,,SDP,W 7-6,CG,5,4,1,2,1,0,0,2,0,0,1,0,.333,.394,.767,1.161,3,0,0,0,0,0,.500,1.61,0.209,1.81,0.14%,1.92,2,1B
8,745,8,2023-04-07,ATL,,SDP,L 4-5,CG,5,2,1,0,0,0,0,0,0,0,3,1,.313,.421,.719,1.140,0,0,0,0,0,0,.000,1.84,0.059,2.15,0.04%,0.81,2,1B
9,746,9,2023-04-08,ATL,,SDP,L 1-4,CG,4,4,0,3,1,0,0,1,0,0,0,1,.361,.452,.750,1.202,4,0,0,0,0,0,1.000,0.67,0.101,0.77,0.07%,1.29,2,1B
10,747,10,2023-04-09,ATL,,SDP,L 2-10,CG,5,4,0,1,0,0,0,1,0,0,1,0,.350,.447,.700,1.147,1,0,0,0,0,0,.250,0.63,0.016,0.70,0.01%,0.70,2,1B
11,748,11,2023-04-10,ATL,,CIN,W 5-4 (10),CG(10),5,2,0,0,0,0,0,0,0,0,3,1,.333,.462,.667,1.128,0,1,0,0,0,0,.000,1.47,-0.020,1.58,-0.01%,-0.04,2,1B
12,749,12,2023-04-11,ATL,,CIN,W 7-6,CG,5,5,1,1,0,0,1,1,0,0,0,3,.319,.439,.681,1.119,4,1,0,0,0,0,.000,1.06,-0.076,1.18,-0.05%,-1.05,2,1B
13,750,13,2023-04-12,ATL,,CIN,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,4,.294,.410,.627,1.037,0,0,0,0,0,0,,1.41,-0.164,1.58,-0.11%,-1.51,2,1B
14,751,14,2023-04-14,ATL,@,KCR,W 10-3,CG,5,5,2,2,0,0,1,2,0,0,0,2,.304,.409,.661,1.070,5,0,0,0,0,0,.500,0.45,0.168,0.48,0.11%,1.64,2,1B
15,752,15,2023-04-15,ATL,@,KCR,W 9-3,CG,5,4,1,2,0,0,0,1,0,0,1,1,.317,.423,.650,1.073,2,0,0,0,0,0,.667,0.93,0.099,1.08,0.07%,1.59,2,1B
16,753,16,2023-04-16,ATL,@,KCR,W 5-4,CG,4,4,1,1,0,1,0,2,0,0,0,1,.313,.413,.656,1.070,3,0,0,0,0,0,.333,1.56,0.045,1.79,0.03%,1.16,2,1B
17,754,17,2023-04-17,ATL,@,SDP,W 2-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.299,.405,.627,1.032,0,0,0,0,0,0,.000,0.96,-0.091,1.16,-0.07%,-1.25,2,1B
18,755,18,2023-04-18,ATL,@,SDP,W 8-1,CG,5,4,2,1,0,0,1,3,0,0,1,2,.296,.405,.648,1.053,4,0,0,0,0,0,.000,0.60,-0.033,0.72,-0.02%,2.03,2,1B
19,756,19,2023-04-19,ATL,@,SDP,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.280,.386,.613,1.000,0,0,0,0,0,0,.000,2.08,-0.243,2.54,-0.18%,-1.83,2,1B
20,757,20,2023-04-21,ATL,,HOU,L 4-6,CG,5,4,0,0,0,0,0,0,0,0,1,1,.266,.376,.582,.959,0,0,0,0,0,0,.000,1.06,-0.060,1.21,-0.04%,-0.76,2,1B
21,758,21,2023-04-22,ATL,,HOU,L 3-6,CG,4,4,1,1,0,0,0,0,0,0,0,3,.265,.371,.566,.937,1,0,0,0,0,0,1.000,1.48,-0.096,1.71,-0.07%,-0.65,2,1B
22,759,22,2023-04-23,ATL,,HOU,L 2-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.256,.366,.547,.913,0,0,0,0,0,0,.000,1.00,-0.053,1.10,-0.04%,-0.22,2,1B
23,760,23,2023-04-24,ATL,,MIA,W 11-0,CG,5,4,2,2,1,0,0,0,0,0,1,1,.267,.377,.556,.933,3,0,0,0,0,0,.667,0.41,-0.013,0.51,-0.01%,0.33,2,1B
24,761,24,2023-04-25,ATL,,MIA,W 7-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.261,.382,.543,.925,0,0,0,0,0,0,.000,0.70,-0.049,0.88,-0.04%,-0.34,2,1B
25,762,25,2023-04-26,ATL,,MIA,W 6-4,CG,5,5,1,1,0,0,1,1,0,0,0,3,.258,.374,.557,.931,4,0,0,0,0,0,.000,1.04,0.052,1.34,0.04%,-0.46,2,1B
26,763,26,2023-04-27,ATL,,MIA,L 4-5,CG,4,3,0,0,0,0,0,1,0,0,0,1,.250,.370,.540,.910,0,0,1,0,0,0,.000,0.65,-0.045,0.84,-0.04%,-0.52,2,1B
27,764,27,2023-04-28,ATL,@,NYM,W 4-0 (5),CG(5),3,3,1,1,0,0,1,3,0,0,0,1,.252,.369,.563,.932,4,0,0,0,0,0,.000,1.21,0.201,1.68,0.17%,2.20,2,1B
28,765,28,2023-05-01 (1),ATL,@,NYM,W 9-8,CG,5,4,2,1,0,0,0,0,0,0,1,1,.252,.370,.551,.921,1,0,0,0,0,0,.333,0.78,0.047,1.04,0.04%,0.34,2,1B
29,766,29,2023-05-01 (2),ATL,@,NYM,L 3-5,CG,4,3,1,0,0,0,0,0,0,0,1,1,.245,.366,.536,.903,0,0,0,0,0,0,.000,1.53,-0.073,2.09,-0.06%,-0.53,2,1B
30,767,30,2023-05-02,ATL,@,MIA,W 6-0,CG,5,3,2,1,0,0,0,0,0,0,2,2,.248,.375,.531,.906,1,0,0,0,0,0,1.000,0.72,0.006,0.95,0.00%,0.23,2,1B
31,768,31,2023-05-03,ATL,@,MIA,W 14-6,CG,5,5,1,1,0,0,0,0,0,0,0,2,.246,.369,.517,.886,1,0,0,0,0,0,.333,0.29,-0.033,0.39,-0.03%,-0.73,2,1B
32,769,32,2023-05-04,ATL,@,MIA,W 6-3,CG,5,5,1,1,0,0,1,1,0,0,0,2,.244,.363,.528,.891,4,0,0,0,0,0,.000,1.12,-0.030,1.49,-0.02%,-0.51,2,1B
33,770,33,2023-05-05,ATL,,BAL,L 4-9,CG,5,4,1,1,0,0,0,0,0,0,1,1,.244,.364,.520,.884,1,0,0,0,0,0,.333,0.69,-0.017,0.83,-0.01%,-0.68,2,1B
