Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,85,1,2021-04-01,SFG,@,SEA,L 7-8 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.35,-0.035,0.32,-0.02%,-1.07,9,CF
2,86,2,2021-04-02,SFG,@,SEA,W 6-3,GS-7,2,2,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,.333,1,0,0,0,0,0,.500,0.60,-0.002,0.54,0.00%,-0.03,9,CF
3,87,4,2021-04-05,SFG,@,SDP,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,.500,0.67,-0.041,0.73,-0.03%,-0.42,7,CF
4,88,6,2021-04-07,SFG,@,SDP,W 3-2 (10),GS-9,3,2,0,0,0,0,0,0,0,0,1,2,.167,.231,.167,.397,0,0,0,0,0,1,,0.83,-0.012,0.88,-0.01%,0.01,8,SS CF
5,89,7,2021-04-09,SFG,,COL,W 3-1,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.143,.200,.143,.343,0,0,0,0,0,0,.000,1.20,-0.061,1.30,-0.04%,-0.53,7,CF
6,90,8,2021-04-10,SFG,,COL,W 4-3,CG,3,2,0,0,0,0,0,0,0,0,1,0,.125,.222,.125,.347,0,0,0,0,0,0,.000,0.72,-0.031,0.79,-0.02%,-0.27,8,CF
7,91,9,2021-04-11,SFG,,COL,W 4-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.125,.222,.125,.347,0,,0,0,,,,,,,,,3,CF
8,92,10,2021-04-12,SFG,,CIN,L 0-3,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,0,0,0,0,0,0,.000,0.86,0.012,0.93,0.01%,0.03,7,CF
9,93,11,2021-04-13,SFG,,CIN,W 7-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.105,.190,.105,.296,0,0,0,0,0,0,.000,2.65,-0.020,2.74,-0.01%,-0.31,3,PH CF
10,94,12,2021-04-14,SFG,,CIN,W 3-0,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.095,.174,.095,.269,0,0,0,0,0,0,.000,0.42,0.026,0.45,0.02%,0.90,3,PH CF
