Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,968,1,2024-03-28,MIN,@,KCR,W 4-1,GS-8,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.50,-0.160,1.52,-0.10%,-1.76,0.00,0.00,6,RF
2,969,4,2024-04-02,MIN,@,MIL,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.125,.125,.125,.250,1,0,0,0,0,0,.250,1.16,-0.039,1.09,-0.02%,-0.14,3.00,3.00,4,RF
3,970,5,2024-04-03,MIN,@,MIL,W 7-3,CG,5,5,0,0,0,0,0,0,0,0,0,1,.077,.077,.077,.154,0,0,0,0,0,0,.000,1.44,-0.215,1.29,-0.12%,-1.88,0.00,0.00,4,RF
4,971,6,2024-04-04,MIN,,CLE,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.059,.059,.059,.118,0,0,0,0,0,0,.000,1.49,-0.170,1.55,-0.11%,-1.18,0.00,0.00,4,RF
5,972,7,2024-04-06,MIN,,CLE,L 1-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.050,.095,.050,.145,0,0,0,0,0,0,.000,1.48,0.000,1.49,0.00%,-0.10,2.00,3.00,5,RF
6,973,21,2024-04-22,MIN,,CHW,W 7-0,CG,4,4,1,2,1,0,0,3,0,0,0,0,.125,.160,.167,.327,3,0,0,0,0,0,.500,0.66,0.218,0.41,0.08%,2.17,16.00,22.70,5,RF
7,974,22,2024-04-23,MIN,,CHW,W 6-5,CG,4,4,0,1,0,0,0,1,0,0,0,2,.143,.172,.179,.351,1,0,0,0,0,0,.500,1.27,-0.008,0.80,0.00%,0.33,5.00,6.50,4,RF
8,975,23,2024-04-24,MIN,,CHW,W 6-3,5-GF,2,2,1,2,1,0,0,1,0,0,0,0,.200,.226,.267,.492,3,0,0,0,0,0,1.000,0.92,0.179,0.63,0.07%,2.31,12.00,15.70,6,PH RF
9,976,24,2024-04-25,MIN,,CHW,W 6-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.212,.257,.273,.530,1,0,0,0,0,0,.333,1.10,0.042,0.82,0.02%,0.06,5.00,6.00,5,RF
10,977,25,2024-04-26,MIN,@,LAA,W 5-3,8-GF,2,2,0,0,0,0,0,0,0,0,0,0,.200,.243,.257,.500,0,0,0,0,0,0,.000,0.33,-0.001,0.27,0.00%,-0.38,0.00,0.00,3,PH RF
11,978,26,2024-04-27,MIN,@,LAA,W 16-5,GS-9,5,4,2,2,0,0,1,2,0,0,1,0,.231,.286,.359,.645,5,0,0,0,0,0,.333,0.80,0.111,0.67,0.06%,1.62,23.00,31.40,5,RF
12,979,28,2024-04-29,MIN,@,CHW,W 3-2,6-GF,2,2,0,1,0,0,0,1,0,0,0,0,.244,.295,.366,.661,1,0,0,0,0,0,.500,2.61,0.129,2.48,0.07%,0.34,5.00,6.50,5,PH RF
13,980,29,2024-04-30,MIN,@,CHW,W 6-5,CG,5,3,0,1,0,0,0,1,1,0,1,0,.250,.306,.364,.670,1,0,0,0,1,0,.250,2.16,0.174,2.10,0.10%,0.44,12.00,15.50,4,RF
14,981,30,2024-05-01,MIN,@,CHW,W 10-5,CG,5,4,1,1,0,0,0,1,0,0,1,1,.250,.315,.354,.669,1,0,0,0,0,0,.333,1.41,0.168,1.47,0.11%,0.51,9.00,12.70,4,RF
15,982,31,2024-05-03,MIN,,BOS,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.255,.328,.353,.681,1,0,0,0,0,0,.333,0.65,0.007,0.71,0.01%,-0.62,5.00,6.00,4,RF
16,983,32,2024-05-04,MIN,,BOS,W 3-1,CG,4,4,1,2,0,0,1,1,0,0,0,1,.273,.339,.418,.757,5,0,0,0,0,0,.500,0.68,0.105,0.79,0.07%,0.66,17.00,21.70,5,RF
17,984,33,2024-05-05,MIN,,BOS,L 2-9,CG,4,3,1,2,1,0,0,0,0,0,1,0,.293,.364,.448,.812,3,0,0,0,0,0,.667,0.59,0.073,0.69,0.05%,0.96,12.00,15.20,4,RF
18,985,34,2024-05-06,MIN,,SEA,W 3-1,CG,4,3,1,1,1,0,0,0,0,0,1,0,.295,.371,.459,.830,2,0,0,0,0,0,.333,0.93,0.122,1.05,0.08%,0.99,9.00,12.20,4,RF
19,986,35,2024-05-07,MIN,,SEA,L 6-10,CG,4,4,1,2,2,0,0,0,0,0,0,0,.308,.378,.492,.871,4,0,0,0,0,0,.500,1.24,0.137,1.47,0.10%,0.13,12.00,15.20,4,RF
20,987,36,2024-05-08,MIN,,SEA,W 6-3,CG,4,4,0,1,1,0,0,1,0,0,0,1,.304,.372,.493,.865,2,0,0,0,0,0,.333,0.41,0.003,0.45,0.00%,0.44,7.00,9.50,4,RF
21,988,37,2024-05-09,MIN,,SEA,W 11-1,CG,4,4,2,2,0,0,1,2,0,0,0,1,.315,.378,.534,.912,5,0,0,0,0,0,.500,0.49,0.062,0.59,0.05%,1.39,21.00,28.40,4,DH
22,989,38,2024-05-10,MIN,@,TOR,W 3-2,9-GF,1,1,0,1,0,0,0,1,0,0,0,0,.324,.386,.541,.926,1,0,0,0,0,0,1.000,1.13,0.084,1.35,0.06%,0.87,5.00,6.50,4,PH RF
23,990,39,2024-05-11,MIN,@,TOR,L 8-10,CG,5,5,1,2,1,0,0,0,0,0,0,1,.329,.386,.544,.931,3,0,0,0,0,0,.500,0.50,0.012,0.59,0.01%,-0.34,10.00,12.20,4,RF
24,991,40,2024-05-12,MIN,@,TOR,W 5-1,CG,4,4,1,1,1,0,0,2,0,0,0,2,.325,.380,.542,.923,2,0,0,0,0,0,.500,0.86,0.102,1.02,0.07%,1.76,11.00,16.20,4,RF
25,992,41,2024-05-14,MIN,,NYY,L 1-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.321,.376,.536,.912,0,0,0,0,0,0,,1.76,-0.040,2.16,-0.03%,-0.48,0.00,0.00,9,PH RF
26,993,42,2024-05-15,MIN,,NYY,L 0-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.318,.371,.523,.894,1,0,0,0,0,0,.250,1.00,-0.055,1.22,-0.04%,-0.45,3.00,3.00,4,RF
27,994,43,2024-05-16,MIN,,NYY,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.304,.356,.500,.856,0,0,0,0,0,0,.000,0.61,-0.065,0.72,-0.05%,-0.96,0.00,0.00,4,RF
28,995,44,2024-05-17,MIN,@,CLE,L 2-3,CG,4,3,0,1,1,0,0,0,0,0,0,0,.305,.356,.505,.861,2,0,0,0,0,0,.333,1.25,-0.002,1.64,0.00%,0.26,5.00,6.00,4,RF
