Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,579,1,2020-07-24,NYM,,ATL,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,.333,0,0,1,0,0,0,.000,1.14,-0.031,1.35,-0.02%,-0.09,4,RF
2,580,2,2020-07-25,NYM,,ATL,L 3-5 (10),CG(10),4,3,1,3,1,0,0,0,0,0,1,0,.600,.714,.800,1.514,4,0,0,0,0,0,1.000,1.22,0.180,1.44,0.13%,1.51,7,RF
3,581,3,2020-07-26,NYM,,ATL,L 1-14,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.500,.600,.625,1.225,1,0,0,0,0,0,.333,0.67,-0.032,0.79,-0.02%,-0.28,5,RF
4,582,4,2020-07-27,NYM,@,BOS,W 7-4,CG,4,4,1,1,0,0,1,2,0,0,0,3,.417,.500,.750,1.250,4,0,0,0,0,0,,0.54,0.130,0.57,0.08%,0.89,5,RF
5,583,5,2020-07-28,NYM,@,BOS,W 8-3,CG,5,4,0,1,0,0,0,0,1,0,1,3,.375,.474,.625,1.099,1,0,0,0,0,0,1.000,0.52,-0.041,0.56,-0.03%,-0.27,5,RF
6,584,6,2020-07-29,NYM,,BOS,L 5-6,CG,5,5,0,1,0,0,0,0,0,0,0,1,.333,.417,.524,.940,1,1,0,0,0,0,.250,2.96,-0.297,3.20,-0.19%,-1.59,4,RF
7,585,7,2020-07-30,NYM,,BOS,L 2-4,CG,4,3,0,0,0,0,0,0,0,1,1,2,.292,.393,.458,.851,0,0,0,0,0,0,.000,2.20,-0.280,2.41,-0.18%,-1.49,5,RF
8,586,8,2020-07-31,NYM,@,ATL,L 10-11,CG,5,4,1,1,0,0,0,1,0,0,1,0,.286,.394,.429,.823,1,0,0,0,0,0,.250,1.24,0.121,1.53,0.09%,0.64,5,RF
9,587,9,2020-08-01,NYM,@,ATL,L 1-7,CG,4,4,0,2,0,0,0,0,0,0,0,2,.313,.405,.438,.843,2,0,0,0,0,0,1.000,0.68,0.037,0.79,0.03%,0.54,4,RF
10,588,10,2020-08-02,NYM,@,ATL,L 0-4,CG,5,3,0,0,0,0,0,0,0,0,2,0,.286,.405,.400,.805,0,0,0,0,0,0,.000,0.97,0.000,1.06,0.00%,-0.28,4,RF
