Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,276,1,2025-03-28,COL,@,TBR,L 2-3,9-GF,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,,,,3.46,-0.139,2.97,-0.07%,-0.60,0.00,0.00,7,PR RF
2,277,2,2025-03-29,COL,@,TBR,W 2-1,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,0.00,0.00,7,RF
3,278,3,2025-03-30,COL,@,TBR,L 4-6,7-GF,2,2,1,1,0,0,1,2,0,0,0,1,.500,.500,2.000,2.500,4,0,0,0,0,0,,1.66,0.002,1.48,0.00%,1.27,16.00,22.20,9,PH LF
4,279,5,2025-04-02,COL,@,PHI,L 1-5,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,1.250,1.750,1,0,0,0,0,0,.500,0.85,-0.018,0.70,-0.01%,-0.12,3.00,3.00,9,LF
5,280,6,2025-04-03,COL,@,PHI,L 1-3,GS-9,3,3,0,1,0,1,0,0,0,0,0,1,.429,.429,1.143,1.571,3,0,0,0,0,0,.500,1.27,-0.046,0.93,-0.02%,-0.33,8.00,9.00,8,LF
6,281,7,2025-04-04,COL,,ATH,L 3-6 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,2,.273,.333,.727,1.061,0,0,0,0,0,0,.000,2.09,-0.144,1.41,-0.06%,-1.14,2.00,3.00,9,RF
7,282,9,2025-04-06,COL,,ATH,W 12-5,GS-8,3,2,1,0,0,0,0,0,0,0,1,1,.231,.333,.615,.949,0,0,0,0,0,0,.000,0.62,0.018,0.35,0.01%,-0.11,4.00,6.20,9,LF
8,283,10,2025-04-08,COL,,MIL,L 1-7,GS-9,3,3,0,1,1,0,0,0,0,0,0,0,.250,.333,.625,.958,2,0,0,0,0,0,.333,0.70,-0.031,0.45,-0.01%,0.12,5.00,6.00,9,LF
9,284,11,2025-04-09,COL,,MIL,L 2-17,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.235,.316,.588,.904,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.26,0.00,0.00,1,CF
10,285,12,2025-04-10,COL,,MIL,W 7-2,CG,4,2,2,1,1,0,0,0,0,0,2,0,.263,.391,.632,1.023,2,0,0,0,0,1,.500,1.02,0.052,0.55,0.02%,0.42,13.00,18.40,8,LF
11,286,13,2025-04-11,COL,@,SDP,L 0-8,CG,3,3,0,0,0,0,0,0,0,0,0,2,.227,.346,.545,.892,0,0,0,0,0,0,.000,0.33,-0.025,0.21,-0.01%,-0.56,0.00,0.00,9,CF
12,287,14,2025-04-12,COL,@,SDP,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.200,.310,.480,.790,0,0,0,0,0,0,.000,1.19,-0.089,0.64,-0.03%,-0.64,0.00,0.00,7,CF
13,288,15,2025-04-13,COL,@,SDP,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.179,.281,.429,.710,0,0,0,0,0,0,.000,0.31,-0.023,0.17,-0.01%,-0.56,0.00,0.00,6,CF
14,289,16,2025-04-14,COL,@,LAD,L 3-5,CG,4,4,1,2,0,0,0,0,0,0,0,0,.219,.306,.438,.743,2,0,0,0,0,0,.500,0.83,0.053,0.38,0.01%,0.25,8.00,9.20,6,CF
15,290,17,2025-04-15,COL,@,LAD,L 2-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.222,.300,.417,.717,1,0,0,0,0,0,.333,0.69,-0.002,0.27,0.00%,0.24,5.00,6.20,6,CF
16,291,18,2025-04-16,COL,@,LAD,L 7-8,CG,4,4,1,1,0,0,1,1,0,0,0,0,.225,.295,.475,.770,4,0,0,0,0,0,.000,0.95,0.023,0.37,0.01%,0.39,14.00,18.70,7,CF
17,292,19,2025-04-19,COL,,WSN,L 11-12,CG,5,3,3,2,0,1,1,4,0,0,1,0,.256,.347,.605,.952,7,0,1,0,0,0,.500,0.73,0.324,0.22,0.06%,4.32,36.00,50.60,7,CF
18,293,20,2025-04-20 (1),COL,,WSN,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.234,.321,.553,.874,0,0,0,0,0,0,.000,1.34,-0.147,0.37,-0.03%,-0.87,0.00,0.00,1,CF
19,294,21,2025-04-20 (2),COL,,WSN,W 3-1,CG,5,5,0,1,0,1,0,2,0,0,0,0,.231,.310,.558,.868,3,0,0,0,0,0,.200,1.32,0.118,0.30,0.02%,0.39,12.00,16.00,1,CF
20,295,22,2025-04-22,COL,@,KCR,L 3-4 (11),CG(11),4,4,0,1,0,0,0,0,0,0,0,0,.232,.306,.536,.842,1,0,0,0,0,0,.250,2.46,-0.319,0.58,-0.05%,-1.42,3.00,3.00,7,CF
21,296,23,2025-04-24 (1),COL,@,KCR,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.217,.288,.500,.788,0,0,0,0,0,0,.000,0.67,-0.068,0.15,-0.01%,-0.66,0.00,0.00,6,RF
22,297,25,2025-04-25,COL,,CIN,L 7-8,CG,5,4,0,0,0,0,0,0,0,0,1,1,.203,.282,.469,.750,0,0,0,0,0,0,.000,2.09,-0.210,0.39,-0.02%,-1.28,2.00,3.00,6,CF RF
23,298,26,2025-04-26,COL,,CIN,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,2,.206,.280,.456,.736,1,0,0,0,0,0,.500,0.95,-0.048,0.16,-0.01%,-0.38,3.00,3.00,7,RF
24,299,28,2025-04-28,COL,,ATL,L 3-6,CG,4,4,0,1,0,0,0,0,0,1,0,0,.208,.278,.444,.723,1,0,0,0,0,0,.250,1.31,-0.113,0.14,-0.01%,-0.95,3.00,3.00,6,RF
25,300,29,2025-04-29,COL,,ATL,L 2-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.200,.277,.427,.704,0,0,0,0,0,0,.000,0.38,-0.034,0.04,0.00%,-0.14,2.00,3.00,6,RF
26,301,30,2025-04-30,COL,,ATL,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.277,.427,.704,0,,0,0,,,,,,,,,0.00,0.00,6,RF
27,302,31,2025-05-01,COL,@,SFG,W 4-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.203,.276,.418,.694,1,0,0,0,0,0,.333,1.03,-0.073,0.09,0.00%,-0.60,3.00,3.00,6,RF
28,303,32,2025-05-02,COL,@,SFG,L 0-4,8-8,1,1,0,0,0,0,0,0,0,0,0,0,.200,.273,.413,.685,0,0,0,0,0,0,.000,0.92,-0.021,0.08,0.00%,-0.35,0.00,0.00,8,PH
29,304,33,2025-05-03,COL,@,SFG,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.190,.261,.393,.654,0,0,0,0,0,0,.000,1.10,-0.096,0.09,-0.01%,-1.04,0.00,0.00,8,RF
30,305,34,2025-05-04,COL,@,SFG,L 3-9,CG,4,4,1,2,0,1,0,0,0,0,0,1,.205,.271,.420,.691,4,0,0,0,0,0,.667,0.76,0.068,0.05,0.00%,0.79,13.00,15.20,7,RF
31,306,35,2025-05-07,COL,,DET,L 6-8 (10),CG(10),5,4,1,1,0,0,0,0,1,0,1,1,.207,.277,.413,.690,1,0,0,0,0,0,.333,1.49,0.049,0.07,0.00%,0.18,12.00,15.20,7,RF
