Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,229,1,2022-04-08,TEX,@,TOR,L 8-10,CG,5,5,0,2,0,0,0,2,0,0,0,1,.400,.400,.400,.800,2,0,0,0,0,0,.500,0.67,0.042,0.62,0.02%,1.82,5,1B
2,230,2,2022-04-09,TEX,@,TOR,L 3-4,CG,4,4,0,2,0,0,0,1,0,0,0,0,.444,.444,.444,.889,2,1,0,0,0,0,.500,1.40,0.013,1.28,0.01%,0.33,4,1B
3,231,3,2022-04-10,TEX,@,TOR,W 12-6,5-GF,3,2,0,1,0,0,0,1,0,0,1,0,.455,.500,.455,.955,1,0,0,0,0,0,.500,0.82,0.087,0.72,0.05%,0.97,7,PH 1B
4,232,4,2022-04-11,TEX,,COL,L 4-6 (10),CG(10),4,4,0,1,1,0,0,1,0,0,0,1,.400,.438,.467,.904,2,0,0,0,0,0,.333,1.45,0.054,1.23,0.03%,0.15,5,1B
5,233,5,2022-04-12,TEX,,COL,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.333,.400,.389,.789,0,0,0,0,0,0,.000,1.22,-0.044,0.98,-0.02%,-0.21,5,1B
6,234,6,2022-04-14,TEX,,LAA,W 10-5,CG,5,5,1,2,1,0,0,1,0,0,0,0,.348,.400,.435,.835,3,0,0,0,0,0,.400,0.39,0.048,0.33,0.03%,0.66,5,1B
7,235,7,2022-04-15,TEX,,LAA,L 6-9,CG,5,5,1,1,0,0,0,0,0,0,0,2,.321,.367,.393,.760,1,0,0,0,0,0,.333,0.94,-0.054,0.83,-0.03%,-0.46,5,1B
8,236,8,2022-04-16,TEX,,LAA,L 2-7,CG,4,4,0,3,0,0,0,0,0,0,0,0,.375,.412,.438,.849,3,0,0,0,0,0,.750,0.67,0.029,0.57,0.02%,0.60,4,1B
9,237,9,2022-04-17,TEX,,LAA,L 3-8,CG,4,3,1,1,0,0,0,0,0,0,1,0,.371,.421,.429,.850,1,0,0,0,0,0,.333,1.22,-0.014,0.95,-0.01%,-0.01,4,1B
10,238,10,2022-04-19,TEX,@,SEA,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.359,.405,.410,.815,1,0,0,0,0,0,.333,0.81,-0.075,0.63,-0.04%,-0.56,5,1B
