Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,130,1,2025-03-27,PIT,@,MIA,L 4-5,GS-6,3,3,1,1,0,0,1,2,0,0,0,2,.333,.333,1.333,1.667,4,0,0,0,0,0,,1.00,0.144,0.96,0.08%,1.36,16.00,22.20,6,2B
2,131,61,2025-06-03,PIT,,HOU,L 0-3,CG,3,3,0,1,0,0,0,0,0,1,0,1,.333,.333,.833,1.167,1,0,0,0,0,0,.500,1.78,-0.099,0.14,-0.01%,-0.69,3.00,3.00,6,2B
3,132,63,2025-06-05,PIT,,HOU,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,3,.200,.200,.500,.700,0,0,0,0,0,0,.000,0.93,-0.090,0.07,0.00%,-0.87,0.00,0.00,4,2B
4,133,64,2025-06-06,PIT,,PHI,W 5-4,CG,5,4,1,1,0,1,0,1,0,0,0,1,.214,.200,.571,.771,3,0,0,0,1,0,.250,2.41,0.103,0.15,0.00%,-0.45,12.00,15.70,2,2B
5,134,65,2025-06-07,PIT,,PHI,W 2-1,CG,4,4,1,1,0,1,0,0,0,0,0,0,.222,.211,.611,.822,3,0,0,0,0,0,.250,0.86,0.026,0.06,0.00%,0.29,10.00,12.20,1,2B
6,135,66,2025-06-08,PIT,,PHI,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.190,.217,.524,.741,0,0,0,0,0,0,.000,1.31,-0.089,0.11,-0.01%,-0.63,2.00,3.00,4,2B
7,136,67,2025-06-09,PIT,,MIA,W 10-3,CG,5,5,1,2,0,0,0,0,0,0,0,1,.231,.250,.500,.750,2,0,0,0,0,0,.500,0.42,-0.014,0.04,0.00%,0.23,8.00,9.20,5,2B
8,137,68,2025-06-10,PIT,,MIA,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.233,.250,.467,.717,1,0,0,0,0,0,.333,2.10,0.108,0.23,0.01%,-0.11,3.00,3.00,5,2B
9,138,69,2025-06-11,PIT,,MIA,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.242,.278,.455,.732,1,0,0,0,0,0,.333,0.67,0.003,0.06,0.00%,0.08,5.00,6.00,5,2B
10,139,71,2025-06-13,PIT,@,CHC,W 2-1 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,0,.222,.275,.417,.692,0,1,0,0,0,0,.000,1.73,-0.217,0.16,-0.01%,-0.98,2.00,3.00,5,2B
11,140,72,2025-06-14,PIT,@,CHC,L 1-2,CG,4,4,0,2,0,0,0,0,0,0,0,0,.250,.295,.425,.720,2,0,0,0,0,0,.500,0.75,0.044,0.09,0.00%,0.05,6.00,6.00,4,2B
12,141,73,2025-06-15,PIT,@,CHC,L 2-3 (10),CG(10),4,4,1,1,0,0,0,0,0,0,0,0,.250,.292,.409,.701,1,1,0,0,0,0,.250,1.25,-0.104,0.12,-0.01%,-0.36,5.00,6.20,3,2B
13,142,74,2025-06-17,PIT,@,DET,L 3-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.229,.269,.375,.644,0,0,0,0,0,0,.000,0.78,-0.075,0.05,0.00%,-0.77,0.00,0.00,5,2B
14,143,75,2025-06-19 (1),PIT,@,DET,L 2-9,CG,5,5,0,1,1,0,0,0,0,0,0,1,.226,.263,.377,.641,2,0,0,0,0,0,.250,0.34,-0.020,0.02,0.00%,-0.02,5.00,6.00,1,2B
