Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,212,1,2023-03-30,MIN,@,KCR,W 2-0,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.64,-0.085,1.65,-0.05%,-0.90,6,2B
2,213,2,2023-04-01,MIN,@,KCR,W 2-0,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.08,-0.055,1.14,-0.04%,-0.62,6,2B
3,214,3,2023-04-02,MIN,@,KCR,W 7-4,GS-5,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.36,-0.025,1.45,-0.02%,-0.27,6,2B
4,215,4,2023-04-03,MIN,@,MIA,W 11-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,.100,.100,.100,.200,1,0,0,0,0,0,.250,0.41,0.070,0.41,0.04%,0.33,6,2B LF
5,216,5,2023-04-04,MIN,@,MIA,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.071,.071,.071,.143,0,0,0,0,0,0,.000,1.72,-0.178,1.83,-0.11%,-1.11,1,2B
6,217,7,2023-04-07,MIN,,HOU,W 3-2 (10),6-GF(10),2,2,0,0,0,0,0,0,0,0,0,0,.063,.063,.063,.125,0,0,0,0,0,0,.000,2.60,-0.117,2.78,-0.08%,-0.66,7,PH LF
7,218,8,2023-04-08,MIN,,HOU,W 9-6,CG,4,3,2,1,0,0,0,0,0,0,1,0,.105,.150,.105,.255,1,0,0,0,0,0,.333,0.91,0.004,0.99,0.00%,0.30,5,LF
8,219,9,2023-04-09,MIN,,HOU,L 1-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.091,.130,.091,.221,0,0,0,0,0,0,.000,0.97,-0.079,1.10,-0.05%,-0.67,5,2B
9,220,10,2023-04-10,MIN,,CHW,L 3-4,CG,4,4,1,0,0,0,0,0,0,0,0,0,.077,.111,.077,.188,0,0,0,0,0,0,.000,1.88,0.058,2.13,0.04%,0.72,4,2B
10,221,11,2023-04-11,MIN,,CHW,W 4-3 (10),CG(10),4,4,0,2,1,0,0,0,0,0,0,0,.133,.161,.167,.328,3,0,0,0,0,0,.500,0.55,-0.004,0.63,0.00%,-0.13,5,2B
11,222,12,2023-04-12,MIN,,CHW,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.118,.143,.147,.290,0,0,0,0,0,0,.000,1.45,-0.152,1.71,-0.11%,-1.58,4,2B LF
12,223,13,2023-04-13,MIN,@,NYY,W 11-2,CG,5,5,0,0,0,0,0,0,0,0,0,2,.103,.125,.128,.253,0,0,0,0,0,0,.000,0.12,-0.015,0.14,-0.01%,-1.25,7,CF LF
13,224,14,2023-04-14,MIN,@,NYY,W 4-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.100,.122,.125,.247,0,0,0,0,0,0,.000,1.13,-0.064,1.32,-0.05%,-0.61,3,PH 2B LF
14,225,17,2023-04-18,MIN,@,BOS,L 4-5 (10),7-GF(10),1,1,1,0,0,0,0,0,0,0,0,0,.098,.119,.122,.241,0,0,0,0,0,0,.000,1.38,-0.036,1.56,-0.03%,-0.11,9,2B
15,226,18,2023-04-19,MIN,@,BOS,W 10-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.095,.116,.119,.235,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.25,4,PH LF
16,227,19,2023-04-20,MIN,@,BOS,L 5-11,CG,4,4,1,1,1,0,0,0,0,0,0,0,.109,.128,.152,.280,2,0,0,0,0,0,.250,0.28,-0.032,0.32,-0.02%,-0.45,7,SS CF
17,228,20,2023-04-21,MIN,,WSN,L 2-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.106,.125,.149,.274,0,0,0,0,0,0,,2.49,-0.064,2.77,-0.04%,-0.25,9,PH CF
18,229,21,2023-04-22,MIN,,WSN,L 4-10,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.104,.122,.146,.268,0,0,0,0,0,0,.000,0.37,-0.009,0.39,-0.01%,-0.17,9,PH CF
19,230,25,2023-04-26,MIN,,NYY,L 6-12,CG,4,4,1,1,0,1,0,0,0,0,0,0,.115,.132,.192,.324,3,0,0,0,0,0,.250,0.34,-0.007,0.38,-0.01%,0.34,7,SS CF
20,231,29,2023-04-30,MIN,,KCR,W 8-4,CG,4,3,1,1,0,0,0,2,0,0,0,0,.127,.143,.200,.343,1,0,0,1,0,0,.333,0.62,0.062,0.72,0.04%,0.73,7,CF
21,232,30,2023-05-02,MIN,@,CHW,L 2-3 (10),8-GF(10),2,2,1,1,0,0,1,1,0,0,0,0,.140,.155,.263,.418,4,0,0,0,0,0,.000,2.79,0.168,3.33,0.12%,0.68,9,PH CF
