Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,164,1,2022-04-07,CIN,@,ATL,W 6-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,1,0,0,0,0,.333,0.73,-0.029,0.68,-0.02%,-0.94,6,CF
2,165,2,2022-04-08,CIN,@,ATL,L 6-7,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.375,.625,2,0,0,0,0,0,.333,0.84,-0.058,0.81,-0.03%,-0.25,6,CF
3,166,3,2022-04-09,CIN,@,ATL,L 1-2,CG,3,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,.500,0,0,0,0,0,0,.000,1.00,-0.060,0.93,-0.03%,-0.44,6,CF
4,167,4,2022-04-10,CIN,@,ATL,W 6-3,CG,4,4,1,0,0,0,0,1,0,0,0,0,.143,.143,.214,.357,0,0,0,0,0,0,.000,0.94,-0.017,0.85,-0.01%,-0.56,6,CF
5,168,5,2022-04-12,CIN,,CLE,L 5-10,CG,3,3,0,0,0,0,0,0,0,0,0,1,.118,.118,.176,.294,0,0,0,0,0,0,.000,0.64,-0.048,0.58,-0.03%,-0.39,6,CF
6,169,12,2022-04-19,CIN,@,SDP,L 2-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.111,.111,.167,.278,0,0,0,0,0,0,.000,0.15,-0.004,0.09,0.00%,-0.15,5,PH
7,170,13,2022-04-20,CIN,@,SDP,L 0-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,.095,.136,.143,.279,0,0,0,0,0,0,.000,0.86,-0.006,0.48,0.00%,-0.28,5,CF
8,171,14,2022-04-22,CIN,,STL,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.080,.115,.120,.235,0,0,0,0,0,0,.000,1.51,-0.149,0.83,-0.05%,-1.38,5,CF
9,172,15,2022-04-23,CIN,,STL,L 0-5,CG,3,3,0,1,1,0,0,0,0,0,0,2,.107,.138,.179,.317,2,0,0,0,0,0,1.000,0.62,0.028,0.30,0.01%,0.07,6,CF
10,173,16,2022-04-24,CIN,,STL,W 4-1,CG,3,3,0,2,0,0,0,1,0,1,0,0,.161,.188,.226,.413,2,1,0,0,0,0,.667,0.77,0.014,0.33,0.00%,-0.72,6,CF
11,174,17,2022-04-26,CIN,,SDP,L 6-9,CG,4,3,2,2,0,0,1,1,0,0,0,0,.206,.229,.353,.582,5,0,0,0,0,0,.500,0.62,0.052,0.31,0.02%,1.82,6,CF
12,175,18,2022-04-27,CIN,,SDP,L 5-8,CG,5,3,0,0,0,0,0,0,0,0,1,0,.189,.231,.324,.555,0,0,0,0,0,0,.000,1.24,-0.069,0.51,-0.02%,-0.97,6,CF
13,176,19,2022-04-28,CIN,,SDP,L 5-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.184,.225,.316,.541,0,0,0,0,0,0,.000,1.62,-0.048,0.58,-0.01%,-0.24,2,PH
14,177,20,2022-04-29,CIN,@,COL,L 4-10,CG,4,4,1,2,1,0,0,0,0,0,0,0,.214,.250,.357,.607,3,0,0,0,0,0,.500,0.64,0.012,0.20,0.00%,0.86,8,CF
15,178,21,2022-04-30,CIN,@,COL,L 3-4,CG,3,3,0,1,0,0,0,0,0,0,0,0,.222,.255,.356,.611,1,0,0,0,0,0,.333,0.89,0.024,0.25,0.00%,0.32,6,CF
16,179,22,2022-05-01,CIN,@,COL,L 1-10,CG,3,3,0,0,0,0,0,0,0,0,0,0,.208,.240,.333,.573,0,0,0,0,0,0,.000,0.24,-0.019,0.06,0.00%,-0.71,6,CF
17,180,23,2022-05-03,CIN,@,MIL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.192,.222,.308,.530,0,0,0,0,0,0,.000,0.66,-0.067,0.16,-0.01%,-0.60,6,CF
18,181,41,2022-05-23,CIN,,CHC,L 4-7,CG,5,5,0,0,0,0,0,0,0,0,0,3,.175,.203,.281,.484,0,0,0,0,0,0,.000,0.71,-0.083,0.13,-0.01%,-0.93,1,CF
19,182,42,2022-05-24,CIN,,CHC,L 4-11,CG,4,4,1,1,0,0,0,0,0,0,0,0,.180,.206,.279,.485,1,0,0,0,0,0,.250,0.56,-0.072,0.09,-0.01%,-0.53,7,CF
20,183,43,2022-05-25,CIN,,CHC,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.172,.209,.266,.475,0,0,0,0,0,0,.000,0.55,-0.019,0.08,0.00%,-0.51,6,CF
21,184,44,2022-05-26,CIN,,CHC,W 20-5,CG,6,4,3,4,0,0,0,1,0,1,2,0,.221,.274,.309,.583,4,0,0,0,0,0,1.000,0.34,0.088,0.05,0.01%,2.82,1,CF
22,185,45,2022-05-27,CIN,,SFG,W 5-1,CG,5,4,0,0,0,0,0,1,0,0,0,2,.208,.260,.292,.551,0,0,0,0,0,0,.000,0.62,-0.067,0.11,-0.01%,-0.20,1,CF
23,186,46,2022-05-28,CIN,,SFG,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.211,.259,.289,.549,1,0,0,0,0,0,.333,0.52,-0.029,0.11,0.00%,-0.33,1,CF
24,187,47,2022-05-29,CIN,,SFG,L 4-6,CG,4,3,0,0,0,0,0,0,0,0,1,3,.203,.259,.278,.537,0,0,0,0,0,0,,0.79,-0.036,0.20,-0.01%,-0.35,1,CF
25,188,48,2022-05-31,CIN,@,BOS,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.193,.247,.265,.512,0,0,0,0,0,0,.000,1.03,0.139,0.17,0.01%,0.79,3,CF
26,189,49,2022-06-01,CIN,@,BOS,L 1-7,CG,4,4,0,1,0,0,0,1,0,0,0,0,.195,.247,.264,.512,1,0,0,0,0,0,.250,0.73,-0.051,0.14,-0.01%,0.06,1,CF
27,190,50,2022-06-02,CIN,,WSN,W 8-1,CG,5,4,1,2,0,0,0,0,0,0,1,1,.209,.265,.275,.540,2,0,0,0,0,0,.667,0.43,0.025,0.08,0.00%,1.04,1,CF
28,191,51,2022-06-03,CIN,,WSN,L 5-8,CG,5,5,1,1,0,0,0,0,0,0,0,1,.208,.262,.271,.533,1,0,0,0,0,0,.250,0.94,-0.102,0.20,-0.01%,-0.35,1,CF
29,192,52,2022-06-04,CIN,,WSN,L 8-10,CG,5,5,1,1,0,0,0,0,0,0,0,1,.208,.259,.267,.527,1,0,0,0,0,0,.250,0.69,-0.035,0.12,0.00%,-0.46,1,CF
30,193,53,2022-06-05,CIN,,WSN,L 4-5,CG,5,5,1,2,0,0,0,0,1,0,0,1,.217,.265,.274,.539,2,0,0,0,0,0,.500,2.14,-0.116,0.29,-0.01%,-0.22,1,CF
31,194,54,2022-06-06,CIN,,ARI,W 7-0 (7),CG(7),4,4,0,1,0,0,0,1,1,0,0,1,.218,.265,.273,.538,1,0,0,0,0,0,.333,0.67,0.028,0.08,0.00%,0.27,1,DH
32,195,55,2022-06-07,CIN,,ARI,W 14-8,CG,6,4,2,2,1,0,0,0,0,0,0,0,.228,.279,.289,.568,3,0,1,0,0,0,.500,0.19,0.046,0.03,0.00%,1.00,1,CF
33,196,59,2022-06-11,CIN,@,STL,L 4-5,CG,5,5,0,0,0,0,0,0,0,0,0,2,.218,.268,.277,.545,0,0,0,0,0,0,.000,0.88,-0.109,0.10,-0.01%,-1.34,1,CF
34,197,60,2022-06-12,CIN,@,STL,W 7-6,CG,4,3,0,0,0,0,0,1,0,0,0,0,.213,.260,.270,.530,0,0,0,0,1,0,.000,0.90,-0.004,0.08,0.00%,-0.25,1,CF
35,198,61,2022-06-13,CIN,@,ARI,W 5-4,CG,5,3,1,1,0,0,0,0,0,0,2,1,.216,.272,.272,.544,1,0,0,0,0,0,.500,0.92,0.076,0.09,0.01%,0.70,1,CF
36,199,62,2022-06-14,CIN,@,ARI,W 5-3 (12),CG(12),5,5,0,1,0,0,0,0,0,0,0,0,.215,.270,.269,.539,1,1,0,0,0,0,.200,1.66,-0.271,0.20,-0.02%,-1.61,6,CF
37,200,63,2022-06-15,CIN,@,ARI,L 4-7,CG,4,3,1,0,0,0,0,0,0,0,0,0,.211,.269,.263,.532,0,0,1,0,0,0,.000,1.40,-0.116,0.16,-0.01%,-1.01,6,CF
38,201,64,2022-06-17,CIN,,MIL,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.206,.268,.257,.526,0,1,0,0,0,0,.000,1.93,0.015,0.24,0.00%,-0.51,6,CF
39,202,65,2022-06-18,CIN,,MIL,L 3-7,CG,4,4,1,2,0,0,0,0,0,0,0,1,.214,.275,.264,.539,2,0,0,0,0,0,.667,0.79,0.052,0.08,0.00%,0.72,6,CF
40,203,66,2022-06-19,CIN,,MIL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.208,.268,.257,.524,0,0,0,0,0,0,.000,1.07,-0.107,0.07,0.00%,-0.90,6,CF
41,204,67,2022-06-21,CIN,,LAD,L 2-8,CG,3,3,0,0,0,0,0,0,0,0,0,2,.204,.263,.252,.514,0,0,0,0,0,0,.000,0.76,-0.058,0.03,0.00%,-0.45,7,CF
42,205,68,2022-06-22,CIN,,LAD,L 4-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.203,.261,.250,.511,0,0,0,0,0,0,,0.60,-0.015,0.02,0.00%,-0.59,7,CF
43,206,69,2022-06-23,CIN,,LAD,L 5-10,CG,4,4,1,2,0,0,0,0,1,0,0,1,.211,.267,.257,.523,2,0,0,0,0,0,.667,0.98,-0.005,0.02,0.00%,0.11,8,CF
44,207,70,2022-06-24,CIN,@,SFG,W 4-2,CG,4,3,1,2,1,0,0,2,1,0,0,0,.219,.274,.271,.545,3,0,0,0,0,0,.667,1.08,0.226,0.02,0.00%,2.22,8,CF
45,208,71,2022-06-25,CIN,@,SFG,L 2-9,CG,3,3,0,1,0,0,0,1,1,0,0,0,.222,.275,.272,.547,1,0,0,0,0,0,.333,1.02,0.107,0.04,0.00%,0.83,8,CF
46,209,72,2022-06-26,CIN,@,SFG,W 10-3,CG,4,3,2,2,0,0,0,1,0,0,1,0,.230,.286,.280,.565,2,0,0,0,0,0,.667,0.34,0.067,0.01,0.00%,2.75,8,CF
47,210,73,2022-06-28,CIN,@,CHC,W 5-3,CG,4,3,1,1,0,0,0,0,0,0,1,0,.232,.291,.280,.571,1,0,0,0,0,0,.333,0.73,-0.020,0.02,0.00%,0.12,8,CF
48,211,74,2022-06-29,CIN,@,CHC,L 3-8,CG,4,4,0,2,0,0,0,0,0,0,0,2,.238,.295,.286,.581,2,0,0,0,0,0,1.000,0.49,-0.001,0.02,0.00%,-0.04,8,CF
49,212,75,2022-06-30,CIN,@,CHC,L 7-15,CG,4,3,0,0,0,0,0,0,0,0,1,0,.234,.294,.281,.575,0,0,0,0,0,0,.000,0.27,-0.002,0.01,0.00%,-0.66,7,CF
50,213,76,2022-07-01,CIN,,ATL,L 1-9,CG,4,4,1,1,0,0,0,0,0,0,0,1,.234,.293,.280,.573,1,0,0,0,0,0,.333,0.73,-0.007,0.01,0.00%,-0.34,8,CF
51,214,77,2022-07-02,CIN,,ATL,L 1-4,CG,3,3,0,1,0,0,0,1,0,0,0,2,.236,.294,.281,.575,1,0,0,0,0,0,1.000,1.09,0.066,0.01,0.00%,0.49,8,CF
52,215,78,2022-07-03,CIN,,ATL,W 4-3,CG,3,3,1,1,0,0,0,0,0,0,0,1,.238,.294,.282,.576,1,0,0,0,0,0,.500,1.97,0.027,0.02,0.00%,-0.10,7,CF
53,216,79,2022-07-04,CIN,,NYM,L 4-7,CG,4,4,1,2,0,0,1,1,0,0,0,0,.243,.299,.303,.601,5,0,0,0,0,0,.333,0.57,0.027,0.01,0.00%,0.72,7,CF
54,217,80,2022-07-05,CIN,,NYM,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.245,.299,.303,.602,1,0,0,0,0,0,.500,1.66,-0.006,0.02,0.00%,-0.28,7,CF
55,218,81,2022-07-06,CIN,,NYM,L 3-8 (10),CG(10),4,3,1,2,0,0,1,2,0,0,1,0,.251,.308,.325,.632,5,0,0,0,0,0,.500,1.33,0.065,0.01,0.00%,0.72,7,CF
56,219,82,2022-07-07 (1),CIN,,PIT,L 2-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.306,.323,.629,0,0,0,0,0,0,.000,1.10,-0.029,0.01,0.00%,-0.25,9,PH CF
57,220,83,2022-07-07 (2),CIN,,PIT,W 5-1,CG,3,3,1,0,0,0,0,0,0,0,0,0,.246,.302,.318,.620,0,0,0,0,0,0,.000,1.12,-0.048,0.01,0.00%,-0.45,8,CF
58,221,84,2022-07-08,CIN,,TBR,W 2-1 (10),CG(10),4,3,0,2,1,0,0,0,0,0,0,1,.253,.307,.328,.635,3,0,0,1,0,0,1.000,1.48,0.094,0.01,0.00%,0.47,7,CF
59,222,85,2022-07-09,CIN,,TBR,W 5-4 (10),CG(10),5,4,0,2,0,0,0,2,0,0,1,0,.257,.314,.332,.645,2,0,0,0,0,0,.500,2.39,0.116,0.02,0.00%,1.29,9,CF
60,223,87,2022-07-12,CIN,@,NYY,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.252,.308,.325,.633,0,0,0,0,0,0,.000,2.58,-0.301,0.04,0.00%,-1.56,9,CF
