Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,547,1,2024-03-28,CHW,,DET,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.98,-0.074,0.97,-0.04%,-0.43,0.00,0.00,9,2B
2,548,2,2024-03-30,CHW,,DET,L 6-7 (10),CG(10),4,4,0,1,0,0,0,0,0,1,0,1,.143,.143,.143,.286,1,0,0,0,0,0,.333,0.92,0.071,0.89,0.04%,0.55,3.00,3.00,8,2B
3,549,4,2024-04-01,CHW,,ATL,L 0-9 (8),CG(8),3,2,0,0,0,0,0,0,0,1,1,0,.111,.200,.111,.311,0,0,0,0,0,0,.000,0.80,-0.023,0.62,-0.01%,-0.34,2.00,3.00,7,2B
4,550,5,2024-04-02,CHW,,ATL,W 3-2,CG,3,3,0,1,0,0,0,0,0,0,0,0,.167,.231,.167,.397,1,0,0,0,0,0,.333,0.61,-0.014,0.44,-0.01%,-0.19,3.00,3.00,8,2B
5,551,6,2024-04-04,CHW,@,KCR,L 1-10,CG,4,4,0,1,0,0,0,0,0,0,0,1,.188,.235,.188,.423,1,0,0,0,0,0,.333,0.78,-0.031,0.59,-0.01%,-0.43,3.00,3.00,8,2B
6,552,7,2024-04-05,CHW,@,KCR,L 1-2,CG,3,2,0,0,0,0,0,0,0,1,1,0,.167,.250,.167,.417,0,0,0,0,0,0,.000,1.54,-0.094,1.13,-0.04%,-0.64,2.00,3.00,8,2B
7,553,9,2024-04-07,CHW,@,KCR,L 3-5,GS-8,3,3,0,1,0,0,0,0,0,1,0,0,.190,.261,.190,.451,1,0,0,0,0,0,.333,1.00,-0.050,0.63,-0.02%,-0.49,3.00,3.00,8,SS 2B
8,554,10,2024-04-08,CHW,@,CLE,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.167,.259,.167,.426,0,0,0,0,0,0,.000,0.75,-0.049,0.44,-0.02%,-0.58,2.00,3.00,9,2B
9,555,11,2024-04-09,CHW,@,CLE,W 7-5,2-GF,3,3,0,0,0,0,0,0,0,0,0,1,.148,.233,.148,.381,0,1,0,0,0,0,.000,0.74,-0.070,0.42,-0.02%,-1.15,0.00,0.00,2,2B
10,556,12,2024-04-10,CHW,@,CLE,L 6-7 (10),CG(10),4,3,1,1,0,0,0,0,0,0,0,0,.167,.242,.167,.409,1,0,0,1,0,0,.333,1.30,0.120,0.76,0.04%,0.56,5.00,6.20,9,SS 2B
11,557,14,2024-04-13,CHW,,CIN,L 0-5,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.156,.229,.156,.385,0,0,0,0,0,0,.000,0.15,-0.007,0.07,0.00%,-0.38,0.00,0.00,6,PH 2B
12,558,15,2024-04-14,CHW,,CIN,L 4-11,CG,4,3,1,0,0,0,0,0,0,0,1,1,.143,.231,.143,.374,0,0,0,0,0,0,.000,0.43,-0.034,0.18,-0.01%,-0.31,4.00,6.20,9,2B
13,559,16,2024-04-15,CHW,,KCR,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.132,.214,.132,.346,0,0,0,0,0,0,.000,1.28,-0.100,0.55,-0.03%,-0.73,0.00,0.00,9,2B
14,560,17,2024-04-17 (1),CHW,,KCR,L 2-4,CG,3,2,0,1,0,0,0,0,0,0,1,0,.150,.244,.150,.394,1,0,0,0,0,0,.500,0.72,0.031,0.25,0.01%,0.31,5.00,6.00,8,2B
15,561,18,2024-04-17 (2),CHW,,KCR,W 2-1,CG,3,2,0,1,0,0,0,0,0,0,0,0,.167,.255,.167,.422,1,0,0,1,0,0,.500,1.23,-0.020,0.37,0.00%,-0.12,3.00,3.00,9,2B
16,562,19,2024-04-19,CHW,@,PHI,L 0-7,CG,3,3,0,1,0,0,0,0,0,0,0,1,.178,.260,.178,.438,1,0,0,0,0,0,.500,0.34,-0.024,0.11,-0.01%,-0.21,3.00,3.00,8,2B
17,563,20,2024-04-20,CHW,@,PHI,L 5-9,CG,5,2,1,0,0,0,0,0,0,0,3,1,.170,.291,.170,.461,0,0,0,0,0,0,.000,0.30,0.022,0.08,0.00%,0.37,8.00,12.20,1,SS 2B
18,564,21,2024-04-21,CHW,@,PHI,L 2-8,CG,4,4,0,1,0,0,0,0,0,0,0,0,.176,.288,.176,.465,1,0,0,0,0,0,.250,0.55,-0.042,0.14,-0.01%,-0.51,3.00,3.00,1,SS
19,565,22,2024-04-22,CHW,@,MIN,L 0-7,CG,4,4,0,2,0,0,0,0,0,0,0,1,.200,.302,.200,.502,2,0,0,0,0,0,.667,0.41,-0.025,0.10,0.00%,0.12,6.00,6.00,1,2B
20,566,23,2024-04-23,CHW,@,MIN,L 5-6,CG,5,4,0,1,0,0,0,0,0,0,0,0,.203,.309,.203,.512,1,0,1,0,0,0,.250,0.50,-0.014,0.10,0.00%,-0.06,5.00,6.00,1,2B
21,567,25,2024-04-25,CHW,@,MIN,L 3-6,CG,5,5,1,1,0,0,0,0,0,0,0,0,.203,.301,.203,.505,1,0,0,0,0,0,.200,1.11,-0.084,0.18,-0.01%,-0.74,5.00,6.20,1,2B
22,568,26,2024-04-26,CHW,,TBR,W 9-4,CG,5,5,1,2,1,0,0,0,0,0,0,0,.217,.308,.232,.540,3,0,0,0,0,0,.400,0.40,0.030,0.05,0.00%,1.42,10.00,12.20,1,2B
23,569,27,2024-04-27,CHW,,TBR,W 8-7 (10),CG(10),5,4,1,1,0,0,0,0,1,0,1,1,.219,.313,.233,.546,1,0,0,0,0,0,.333,1.71,0.203,0.24,0.02%,0.70,12.00,15.20,1,2B
24,570,28,2024-04-28,CHW,,TBR,W 4-2,CG,4,3,0,0,0,0,0,0,0,0,0,1,.211,.302,.224,.526,0,0,0,1,0,0,.000,0.71,-0.051,0.11,-0.01%,-0.60,0.00,0.00,1,2B
25,571,29,2024-04-29,CHW,,MIN,L 2-3,CG,4,3,1,1,0,0,0,0,0,0,0,0,.215,.303,.228,.531,1,0,0,1,0,0,.333,1.29,-0.021,0.25,0.00%,-0.12,5.00,6.20,1,2B
26,572,30,2024-04-30,CHW,,MIN,L 5-6,CG,5,4,0,0,0,0,0,0,0,0,1,0,.205,.298,.217,.515,0,0,0,0,0,0,.000,1.50,-0.127,0.23,-0.01%,-0.72,2.00,3.00,1,2B
27,573,32,2024-05-03,CHW,@,STL,L 0-3,CG,4,4,0,1,0,0,0,0,1,0,0,0,.207,.296,.218,.514,1,0,0,0,0,0,.250,0.82,-0.039,0.08,0.00%,-0.39,8.00,9.00,1,2B
28,574,33,2024-05-04,CHW,@,STL,W 6-5 (10),CG(10),5,5,1,1,0,0,0,0,0,0,0,3,.207,.291,.217,.509,1,0,0,0,0,0,.500,1.39,-0.038,0.11,0.00%,-0.35,5.00,6.20,1,2B
29,575,35,2024-05-06,CHW,@,TBR,L 2-8,CG,3,3,0,1,0,0,0,0,0,0,0,1,.211,.292,.221,.514,1,0,0,0,0,0,.500,0.68,0.025,0.08,0.00%,0.00,3.00,3.00,9,2B
30,576,36,2024-05-07,CHW,@,TBR,L 1-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.212,.291,.222,.513,1,0,0,0,0,0,.333,0.77,0.006,0.06,0.00%,0.21,3.00,3.00,1,2B
31,577,38,2024-05-09,CHW,,CLE,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.206,.283,.216,.499,0,0,0,0,0,0,.000,0.53,-0.038,0.05,0.00%,-0.73,0.00,0.00,8,2B
32,578,39,2024-05-10,CHW,,CLE,W 6-3,CG,3,3,1,0,0,0,0,0,0,0,0,0,.200,.276,.210,.485,0,0,0,0,0,0,.000,1.05,0.124,0.11,0.01%,0.83,2.00,3.20,9,2B
33,579,40,2024-05-11,CHW,,CLE,W 3-1,CG,3,3,1,1,1,0,0,1,0,0,0,0,.204,.277,.222,.500,2,0,0,0,0,0,.333,0.92,0.113,0.10,0.01%,0.97,9.00,12.70,8,2B
34,580,42,2024-05-14 (1),CHW,,WSN,L 3-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.205,.276,.223,.500,1,0,0,0,0,0,.333,1.53,0.010,0.16,0.00%,-0.08,5.00,6.20,8,2B
35,581,43,2024-05-14 (2),CHW,,WSN,W 4-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.200,.270,.217,.487,0,0,0,0,0,0,.000,0.63,-0.052,0.06,0.00%,-0.76,0.00,0.00,9,2B
36,582,45,2024-05-17,CHW,@,NYY,L 2-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.270,.217,.487,0,,0,0,,,,,,,,,0.00,0.00,4,PR 2B
37,583,46,2024-05-18,CHW,@,NYY,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,2,.195,.264,.212,.475,0,0,0,0,0,0,.000,0.48,-0.036,0.05,0.00%,-0.49,0.00,0.00,8,2B
38,584,48,2024-05-20,CHW,@,TOR,L 3-9,CG,4,4,0,3,0,0,0,0,0,0,0,1,.213,.278,.230,.508,3,0,0,0,0,0,1.000,1.07,0.021,0.08,0.00%,0.55,9.00,9.00,8,2B
39,585,49,2024-05-21,CHW,@,TOR,W 5-0,CG,4,4,0,1,0,0,0,1,0,0,0,1,.214,.277,.230,.508,1,0,0,0,0,0,.333,0.84,0.052,0.06,0.00%,0.10,5.00,6.50,9,2B
40,586,50,2024-05-22,CHW,@,TOR,L 2-9,CG,4,4,1,2,0,0,0,0,0,0,0,0,.223,.284,.238,.522,2,0,0,0,0,0,.500,0.25,0.037,0.02,0.00%,1.16,8.00,9.20,2,2B
41,587,51,2024-05-23,CHW,,BAL,L 6-8,CG,5,5,1,1,0,0,0,0,0,0,0,0,.222,.281,.237,.518,1,0,0,0,0,0,.200,0.91,-0.043,0.05,0.00%,-0.39,5.00,6.20,2,2B
42,588,52,2024-05-24,CHW,,BAL,L 4-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.223,.280,.237,.517,1,0,0,0,0,0,.333,1.22,-0.093,0.05,0.00%,-0.41,5.00,6.20,9,2B
43,589,53,2024-05-25,CHW,,BAL,L 3-5,GS-9,3,2,1,2,0,0,0,0,0,0,1,0,.234,.294,.248,.542,2,0,0,0,0,0,1.000,1.06,0.115,0.03,0.00%,1.19,10.00,12.20,8,2B
44,590,54,2024-05-26,CHW,,BAL,L 1-4,GS-8,2,1,0,0,0,0,0,0,0,0,1,0,.232,.297,.246,.543,0,0,0,0,0,0,.000,0.65,-0.008,0.02,0.00%,-0.03,2.00,3.00,7,2B
45,591,55,2024-05-27,CHW,,TOR,L 1-5,GS-9,4,3,0,1,0,0,0,0,0,0,0,0,.234,.302,.248,.550,1,0,1,0,0,0,.333,0.52,0.058,0.01,0.00%,0.53,5.00,6.00,2,2B
46,592,56,2024-05-28,CHW,,TOR,L 2-7,GS-8,3,3,0,2,1,1,0,1,0,0,0,1,.243,.309,.277,.586,5,0,0,0,0,0,1.000,0.78,0.144,0.01,0.00%,1.52,15.00,18.50,2,2B
47,593,57,2024-05-29,CHW,,TOR,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.237,.301,.270,.571,0,0,0,0,0,0,.000,0.64,-0.067,0.01,0.00%,-0.63,0.00,0.00,2,2B
48,594,58,2024-05-31,CHW,@,MIL,L 5-12,CG,4,3,1,1,0,0,0,0,0,1,1,1,.239,.306,.271,.577,1,0,0,0,0,0,.500,1.35,-0.005,0.00,0.00%,-0.20,7.00,9.20,2,2B
49,595,60,2024-06-02,CHW,@,MIL,L 3-6,CG,4,4,1,2,1,0,0,0,0,0,0,0,.245,.310,.283,.593,3,0,0,0,0,0,.500,1.39,0.237,0.00,0.00%,1.29,10.00,12.20,2,2B
50,596,62,2024-06-05,CHW,@,CHC,L 6-7,CG,5,5,0,2,0,0,0,1,0,0,0,1,.250,.313,.287,.599,2,0,0,0,0,0,.500,1.26,-0.017,0.00,0.00%,0.52,8.00,9.50,2,2B
51,597,63,2024-06-06,CHW,,BOS,L 2-14,CG,4,4,0,0,0,0,0,0,0,0,0,2,.244,.306,.280,.586,0,0,0,0,0,0,.000,0.23,-0.023,0.00,0.00%,-0.96,0.00,0.00,2,2B
52,598,64,2024-06-07,CHW,,BOS,W 7-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.244,.305,.279,.584,1,0,0,0,0,0,.250,0.46,-0.039,0.00,0.00%,-0.51,3.00,3.00,2,2B
53,599,66,2024-06-09,CHW,,BOS,L 4-6 (10),CG(10),5,4,0,0,0,0,0,0,0,0,0,2,.239,.298,.273,.571,0,0,0,1,0,0,.000,1.36,-0.132,0.00,0.00%,-1.06,0.00,0.00,2,2B
54,600,67,2024-06-10,CHW,@,SEA,L 4-8,CG,5,5,0,1,0,0,0,0,0,0,0,1,.238,.296,.271,.567,1,0,0,0,0,0,.250,1.06,-0.033,0.00,0.00%,-0.58,3.00,3.00,2,2B
55,601,68,2024-06-11,CHW,@,SEA,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.238,.295,.270,.565,1,0,0,0,0,0,.333,1.84,-0.129,0.00,0.00%,-0.90,3.00,3.00,8,2B
56,602,69,2024-06-12,CHW,@,SEA,L 1-2 (10),GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.234,.291,.266,.557,0,0,0,0,0,0,.000,1.22,-0.102,0.00,0.00%,-0.84,0.00,0.00,1,2B
57,603,70,2024-06-13,CHW,@,SEA,W 3-2 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,0,.233,.288,.264,.553,1,0,0,0,0,0,.200,1.22,0.051,0.00,0.00%,-0.14,3.00,3.00,1,2B
58,604,71,2024-06-14,CHW,@,ARI,L 1-7,GS-9,3,3,0,2,0,0,0,1,0,0,0,1,.240,.294,.270,.564,2,0,0,0,0,0,1.000,1.22,0.080,0.00,0.00%,1.06,8.00,9.50,7,2B
