Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,21,1,2020-07-24,CHC,,MIL,W 3-0,CG,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.333,0.57,-0.007,0.67,-0.01%,-0.30,8,2B
2,22,3,2020-07-26,CHC,,MIL,W 9-1,CG,4,4,1,2,1,0,0,1,0,0,0,0,.429,.429,.571,1.000,3,0,0,0,0,0,.500,0.44,0.071,0.52,0.05%,0.86,7,2B
3,23,4,2020-07-27,CHC,@,CIN,W 8-7,GS-9,4,4,0,1,0,0,0,0,0,0,0,1,.364,.364,.455,.818,1,0,0,0,0,0,.333,0.19,-0.020,0.22,-0.01%,-0.39,8,2B LF
4,24,5,2020-07-28,CHC,@,CIN,W 8-5,CG,4,3,0,1,0,0,0,2,0,0,0,0,.357,.333,.429,.762,1,1,0,0,1,0,.250,1.08,-0.028,1.29,-0.02%,-0.80,9,2B
5,25,6,2020-07-29,CHC,@,CIN,L 7-12,CG,4,4,2,2,0,0,0,2,0,0,0,2,.389,.368,.444,.813,2,0,0,0,0,0,1.000,0.27,-0.010,0.30,-0.01%,1.46,9,SS 2B
6,26,7,2020-07-31,CHC,,PIT,W 6-3,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.389,.368,.444,.813,0,,0,0,,,,,0.000,,0.00%,0.00,8,PR 2B
7,27,8,2020-08-01,CHC,,PIT,W 4-3,CG,4,2,0,0,0,0,0,0,0,0,2,1,.350,.391,.400,.791,0,0,0,0,0,0,.000,0.74,-0.074,0.86,-0.05%,-0.50,7,2B
8,28,9,2020-08-02,CHC,,PIT,W 2-1 (11),CG(11),4,4,0,0,0,0,0,0,0,0,0,1,.292,.333,.333,.667,0,0,0,0,0,0,.000,1.80,-0.227,2.02,-0.15%,-1.53,8,2B
9,29,10,2020-08-03,CHC,,KCR,W 2-0,CG,3,2,1,0,0,0,0,0,0,0,1,0,.269,.333,.308,.641,0,0,0,0,0,0,.000,0.93,0.000,0.90,0.00%,-0.11,8,2B
10,30,12,2020-08-05,CHC,@,KCR,W 6-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.233,.294,.267,.561,0,0,0,0,0,0,.000,0.66,-0.069,0.51,-0.03%,-0.99,8,2B CF
11,31,13,2020-08-06,CHC,@,KCR,L 2-13,CG,4,4,0,1,0,0,0,1,0,0,0,1,.235,.289,.265,.554,1,0,0,0,0,0,.333,0.30,-0.032,0.20,-0.01%,-0.18,8,SS 2B
12,32,16,2020-08-13,CHC,,MIL,W 4-2,CG,4,3,1,1,1,0,0,0,0,0,1,0,.243,.310,.297,.607,2,0,0,0,0,0,.333,0.76,0.015,0.51,0.01%,0.26,1,2B
13,33,17,2020-08-14,CHC,,MIL,L 3-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.225,.304,.275,.579,0,0,0,0,0,0,.000,2.11,-0.085,1.17,-0.03%,0.04,9,2B
14,34,18,2020-08-15,CHC,,MIL,L 5-6 (10),8-GF(10),0,0,0,0,0,0,0,0,0,1,0,0,.225,.304,.275,.579,0,,0,0,,,,1.83,-0.053,1.18,-0.02%,-0.25,9,PR 2B
15,35,19,2020-08-16,CHC,,MIL,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.205,.280,.250,.530,0,0,0,0,0,0,.000,1.51,-0.159,1.16,-0.07%,-1.01,9,SS
16,36,20,2020-08-17 (1),CHC,,STL,L 1-3 (7),CG(7),2,2,0,0,0,0,0,0,0,0,0,1,.196,.269,.239,.508,0,0,0,0,0,0,.000,1.03,-0.054,0.91,-0.03%,-0.37,9,2B
17,37,22,2020-08-18,CHC,,STL,W 6-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.196,.269,.239,.508,0,,0,0,,,,,,,,,9,2B
18,38,23,2020-08-19 (1),CHC,,STL,L 3-9 (7),CG(7),3,2,0,0,0,0,0,0,0,0,0,1,.188,.273,.229,.502,0,0,1,0,0,0,.000,0.58,0.023,0.47,0.01%,-0.09,9,SS 3B
19,39,24,2020-08-19 (2),CHC,,STL,W 4-2 (7),7-GF(7),1,1,0,1,0,0,0,0,0,0,0,0,.204,.286,.245,.531,1,0,0,0,0,0,1.000,4.61,0.132,4.29,0.07%,0.67,7,PH 2B
20,40,25,2020-08-21,CHC,,CHW,L 1-10,5-GF,2,2,0,1,0,0,0,1,0,0,0,0,.216,.293,.255,.548,1,0,0,0,0,0,.500,0.39,-0.017,0.28,-0.01%,0.23,2,SS 2B
21,41,26,2020-08-22,CHC,,CHW,L 4-7,9-GF,1,0,1,0,0,0,0,0,0,0,1,0,.216,.305,.255,.560,0,0,0,0,0,0,,0.49,0.024,0.37,0.01%,0.40,7,PH DH
22,42,27,2020-08-23,CHC,,CHW,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,1,1,.208,.306,.245,.552,0,0,0,0,0,0,.000,1.22,-0.013,1.07,-0.01%,-0.08,8,2B 3B
23,43,28,2020-08-24,CHC,@,DET,W 9-3,CG,5,4,1,1,0,0,0,1,2,0,0,1,.211,.313,.246,.559,1,1,1,0,0,0,.333,0.66,0.138,0.48,0.06%,0.68,9,2B
24,44,30,2020-08-26,CHC,@,DET,L 6-7,CG,4,3,2,3,0,0,0,1,0,0,1,0,.250,.352,.283,.635,3,0,0,0,0,0,1.000,0.92,0.157,0.65,0.07%,1.94,8,2B
25,45,31,2020-08-28,CHC,@,CIN,L 5-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.246,.347,.279,.626,0,0,0,0,0,0,,0.99,-0.027,0.91,-0.02%,-0.28,9,PH 2B
26,46,32,2020-08-29 (1),CHC,@,CIN,W 3-0 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,1,.234,.333,.266,.599,0,0,0,0,0,0,.000,0.83,-0.071,0.87,-0.05%,-0.88,9,2B 3B
27,47,33,2020-08-29 (2),CHC,@,CIN,L 5-6 (7),CG(7),3,2,1,0,0,0,0,1,0,0,0,0,.227,.321,.258,.578,0,0,0,0,1,0,.000,1.63,0.115,1.44,0.06%,0.34,8,SS
28,48,34,2020-08-30,CHC,@,CIN,W 10-1,CG,4,3,1,0,0,0,0,0,0,0,0,2,.217,.317,.246,.563,0,0,1,0,0,0,.000,0.75,-0.041,0.76,-0.03%,-0.92,9,2B
29,49,35,2020-09-01,CHC,@,PIT,W 8-7 (11),8-GF(11),1,1,1,0,0,0,0,0,0,0,0,0,.214,.313,.243,.556,0,0,0,0,0,0,.000,3.27,-0.098,2.31,-0.04%,-0.63,9,2B
30,50,36,2020-09-02,CHC,@,PIT,W 8-2,CG,4,3,1,1,0,0,0,0,0,0,0,1,.219,.314,.247,.561,1,0,0,0,0,0,.500,0.78,0.018,0.45,0.01%,0.25,9,2B
31,51,38,2020-09-04,CHC,,STL,W 4-1,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,.230,.322,.257,.579,1,0,0,0,0,0,1.000,0.06,0.003,0.04,0.00%,0.22,9,2B
32,52,39,2020-09-05 (1),CHC,,STL,L 2-4 (7),CG(7),3,3,0,1,0,0,0,0,0,0,0,1,.234,.322,.260,.582,1,0,0,0,0,0,.500,1.54,-0.032,0.85,-0.01%,-0.81,9,2B
33,53,40,2020-09-05 (2),CHC,,STL,L 1-5 (7),CG(7),3,3,1,1,0,0,0,0,0,0,0,1,.238,.323,.263,.585,1,0,0,0,0,0,.500,0.62,-0.009,0.43,0.00%,0.43,8,3B
34,54,42,2020-09-07,CHC,,STL,W 5-1,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.235,.319,.259,.578,0,0,0,0,0,0,.000,0.06,-0.002,0.07,0.00%,-0.26,9,2B
35,55,45,2020-09-10,CHC,,CIN,W 8-5,GS-7,4,4,1,2,1,0,0,3,1,0,0,0,.247,.327,.282,.609,3,0,0,0,0,0,.500,1.05,0.197,0.79,0.09%,1.96,9,2B
36,56,46,2020-09-11,CHC,@,MIL,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.239,.317,.273,.590,0,0,0,0,0,0,.000,1.32,-0.108,0.75,-0.04%,-0.77,9,SS
37,57,47,2020-09-12,CHC,@,MIL,W 4-2,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,.244,.320,.278,.598,1,0,0,0,0,0,.500,0.61,-0.003,0.46,0.00%,-0.05,9,3B
