Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2018-10-04,ATL,@,LAD,L 0-6,NLDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.31,-0.024,4.78,-0.21%,-0.60,,,6,2B
2,2,2,2018-10-05,ATL,@,LAD,L 0-3,NLDS G2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.75,-0.055,12.01,-0.48%,-0.53,,,6,2B
3,3,3,2018-10-07,ATL,,LAD,W 6-5,NLDS G3,CG,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333,0.64,0.008,6.60,0.05%,-0.01,,,7,2B
4,4,4,2018-10-08,ATL,,LAD,L 2-6,NLDS G4,CG,5,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,0.57,-0.044,11.03,-0.51%,-0.65,,,2,2B
5,5,1,2019-10-03,ATL,,STL,L 6-7,NLDS G1,CG,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,1.14,-0.104,17.83,-0.96%,-0.82,,,2,2B
6,6,2,2019-10-04,ATL,,STL,W 3-0,NLDS G2,CG,4,4,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.65,-0.001,9.98,-0.01%,-0.26,,,2,2B
7,7,3,2019-10-06,ATL,@,STL,W 3-1,NLDS G3,CG,5,4,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,.667,1.42,0.107,29.71,1.23%,0.25,,,2,2B
8,8,4,2019-10-07,ATL,@,STL,L 4-5 (10),NLDS G4,CG(10),5,4,1,1,0,0,1,3,0,0,0,0,4,0,0,0,1,0,.000,1.65,0.078,32.16,0.70%,0.62,,,2,2B
9,9,5,2019-10-09,ATL,,STL,L 1-13,NLDS G5,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.08,-0.005,3.13,-0.13%,-0.34,,,2,2B
10,10,1,2020-09-30,ATL,,CIN,W 1-0 (13),NLWC G1,CG(13),5,5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,.250,1.77,-0.081,18.33,-0.47%,-0.17,,,5,2B
11,11,2,2020-10-01,ATL,,CIN,W 5-0,NLWC G2,CG,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.333,0.72,-0.038,6.99,-0.20%,-0.24,,,5,2B
12,12,3,2020-10-06,ATL,,MIA,W 9-5,NLDS G1,CG,5,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,0.73,-0.094,11.38,-0.89%,-1.36,,,5,2B
13,13,4,2020-10-07,ATL,,MIA,W 2-0,NLDS G2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.53,-0.041,8.48,-0.36%,-0.60,,,5,2B
14,14,5,2020-10-08,ATL,@,MIA,W 7-0,NLDS G3,CG,5,4,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,.250,0.50,0.055,5.19,0.37%,-0.04,,,5,2B
15,15,6,2020-10-12,ATL,@,LAD,W 5-1,NLCS G1,CG,5,5,1,2,0,0,1,2,0,0,0,2,5,0,0,0,0,0,.500,1.32,0.028,34.57,0.53%,1.63,,,5,2B
16,16,7,2020-10-13,ATL,@,LAD,W 8-7,NLCS G2,CG,5,4,1,3,0,0,1,2,0,0,0,0,6,0,0,0,1,0,.500,0.33,0.010,8.44,0.20%,1.08,,,5,2B
17,17,8,2020-10-14,ATL,,LAD,L 3-15,NLCS G3,CG,4,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.250,0.04,-0.004,0.89,-0.07%,0.30,,,5,2B
18,18,9,2020-10-15,ATL,,LAD,W 10-2,NLCS G4,CG,4,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.500,0.71,0.031,22.71,0.55%,0.39,,,5,2B
19,19,10,2020-10-16,ATL,,LAD,L 3-7,NLCS G5,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.76,-0.050,17.90,-0.71%,-0.62,,,5,2B
20,20,11,2020-10-17,ATL,@,LAD,L 1-3,NLCS G6,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,1.13,-0.022,50.15,-0.53%,-0.09,,,5,2B
21,21,12,2020-10-18,ATL,@,LAD,L 3-4,NLCS G7,CG,4,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.000,1.53,-0.009,127.34,0.03%,0.27,,,5,2B
22,22,1,2021-10-08,ATL,@,MIL,L 1-2,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.99,-0.290,31.10,-2.70%,-2.23,,,3,2B
23,23,2,2021-10-09,ATL,@,MIL,W 3-0,NLDS G2,CG,4,4,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,.333,0.79,0.064,12.59,0.69%,0.46,,,3,2B
24,24,3,2021-10-11,ATL,,MIL,W 3-0,NLDS G3,CG,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.250,0.48,-0.037,10.00,-0.45%,0.22,,,3,2B
25,25,4,2021-10-12,ATL,,MIL,W 5-4,NLDS G4,CG,5,5,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.500,1.01,-0.026,22.45,-0.28%,-0.49,,,3,2B
26,26,5,2021-10-16,ATL,,LAD,W 3-2,NLCS G1,CG,4,4,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,.500,1.51,0.085,39.36,1.22%,0.05,,,3,2B
27,27,6,2021-10-17,ATL,,LAD,W 5-4,NLCS G2,CG,4,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,1.54,0.022,40.68,0.48%,0.03,,,3,2B
