Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,393,1,2021-04-02,BOS,,BAL,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,.000,1.26,-0.013,1.32,-0.01%,-0.24,5,3B
2,394,2,2021-04-03,BOS,,BAL,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.143,.000,.143,0,0,0,0,0,0,.000,1.41,-0.096,1.39,-0.06%,-0.74,5,3B
3,395,4,2021-04-05,BOS,,TBR,W 11-2,CG,5,5,0,0,0,0,0,0,0,0,0,2,.000,.083,.000,.083,0,0,0,0,0,0,.000,0.60,-0.082,0.52,-0.04%,-1.67,5,3B
4,396,5,2021-04-06,BOS,,TBR,W 6-5 (12),CG(12),5,5,0,2,0,0,0,1,0,0,0,1,.125,.176,.125,.301,2,0,0,0,0,0,.500,2.27,0.038,2.11,0.02%,-0.26,5,3B
5,397,6,2021-04-07,BOS,,TBR,W 9-2,CG,4,3,1,0,0,0,0,0,0,0,1,1,.105,.190,.105,.296,0,1,0,0,0,0,.000,0.78,0.000,0.75,0.00%,-0.86,2,3B
6,398,7,2021-04-08,BOS,@,BAL,W 7-3,CG,5,3,2,2,0,0,1,2,0,0,1,1,.182,.308,.318,.626,5,0,1,0,0,0,1.000,0.82,0.211,0.91,0.14%,2.52,4,3B
7,399,8,2021-04-10,BOS,@,BAL,W 6-4 (10),CG(10),5,5,1,2,0,0,1,2,0,1,0,1,.222,.323,.444,.767,5,0,0,0,0,0,.333,1.43,0.140,1.65,0.10%,1.10,5,3B
8,400,9,2021-04-11,BOS,@,BAL,W 14-9,CG,6,5,2,2,0,0,2,5,0,0,1,2,.250,.351,.625,.976,8,0,0,0,0,0,.000,0.46,0.062,0.54,0.05%,4.11,5,3B
9,401,10,2021-04-13,BOS,@,MIN,W 4-2,CG,4,3,1,1,0,0,1,1,0,0,1,1,.257,.366,.686,1.052,4,0,0,0,0,0,.000,1.18,0.090,1.28,0.06%,1.13,5,3B
10,402,11,2021-04-14 (1),BOS,@,MIN,W 3-2 (7),CG(7),4,4,0,1,0,0,0,0,0,0,0,1,.256,.356,.641,.997,1,0,0,0,0,0,.333,1.10,-0.028,1.22,-0.02%,-0.15,5,3B
11,403,12,2021-04-14 (2),BOS,@,MIN,W 7-1 (7),CG(7),4,4,1,2,1,0,0,2,0,0,0,0,.279,.367,.651,1.019,3,0,0,0,0,0,.500,0.92,0.163,1.06,0.11%,1.95,5,3B
