Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2018-10-04,ATL,@,LAD,L 0-6,NLDS G1,CG,4,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000,0.59,-0.029,9.18,-0.24%,-0.45,1,LF
2,2,2,2018-10-05,ATL,@,LAD,L 0-3,NLDS G2,CG,4,4,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.500,0.68,0.035,10.91,0.40%,0.55,1,LF
3,3,3,2018-10-07,ATL,,LAD,W 6-5,NLDS G3,CG,4,3,1,1,0,0,1,4,0,0,1,2,4,0,0,0,0,0,,1.16,0.203,12.00,1.18%,3.08,1,LF
4,4,4,2018-10-08,ATL,,LAD,L 2-6,NLDS G4,CG,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.73,-0.094,14.14,-1.14%,-0.94,1,LF
5,5,1,2019-10-03,ATL,,STL,L 6-7,NLDS G1,CG,5,4,1,3,1,0,1,2,0,1,1,0,7,0,0,0,0,0,.667,0.84,0.060,13.19,0.61%,1.72,1,CF
6,6,2,2019-10-04,ATL,,STL,W 3-0,NLDS G2,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,0.56,-0.053,8.60,-0.45%,-0.43,1,CF
7,7,3,2019-10-06,ATL,@,STL,W 3-1,NLDS G3,CG,5,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.000,1.14,-0.036,23.93,-0.43%,-0.40,1,CF
8,8,4,2019-10-07,ATL,@,STL,L 4-5 (10),NLDS G4,CG(10),5,5,0,4,1,1,0,0,0,0,0,0,7,0,0,0,0,0,.800,1.43,0.343,27.95,4.22%,2.30,1,CF
9,9,5,2019-10-09,ATL,,STL,L 1-13,NLDS G5,CG,4,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,0.06,0.006,2.40,0.14%,0.17,1,CF
10,10,1,2020-09-30,ATL,,CIN,W 1-0 (13),NLWC G1,CG(13),6,6,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.250,1.53,-0.037,15.89,-0.22%,-0.49,1,CF
11,11,2,2020-10-01,ATL,,CIN,W 5-0,NLWC G2,CG,5,5,0,3,1,0,0,1,1,0,0,2,4,0,0,0,0,0,1.000,0.69,0.198,6.67,1.08%,1.18,1,CF
12,12,3,2020-10-06,ATL,,MIA,W 9-5,NLDS G1,CG,5,4,2,2,0,0,1,1,0,0,0,2,5,0,1,0,0,0,1.000,1.39,0.161,21.75,1.41%,0.99,1,CF
13,13,4,2020-10-07,ATL,,MIA,W 2-0,NLDS G2,CG,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0.73,-0.080,11.67,-0.72%,-1.19,1,CF
14,14,5,2020-10-08,ATL,@,MIA,W 7-0,NLDS G3,CG,5,3,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.000,0.62,0.046,6.38,0.32%,-0.12,1,CF
15,15,6,2020-10-12,ATL,@,LAD,W 5-1,NLCS G1,CG,5,5,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.333,0.91,-0.050,23.70,-0.73%,-0.28,1,CF RF
16,16,7,2020-10-13,ATL,@,LAD,W 8-7,NLCS G2,CG,5,3,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,,0.58,0.022,14.88,0.43%,-0.12,1,RF
17,17,8,2020-10-14,ATL,,LAD,L 3-15,NLCS G3,GS-5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,0.08,0.002,1.56,0.03%,0.14,1,RF
18,18,9,2020-10-15,ATL,,LAD,W 10-2,NLCS G4,CG,5,4,2,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,.667,0.74,0.061,23.73,0.93%,0.20,1,RF
19,19,10,2020-10-16,ATL,,LAD,L 3-7,NLCS G5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.86,-0.087,20.38,-1.18%,-1.36,1,RF
20,20,11,2020-10-17,ATL,@,LAD,L 1-3,NLCS G6,CG,4,4,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,.250,0.90,0.013,39.94,0.33%,0.08,1,RF
21,21,12,2020-10-18,ATL,@,LAD,L 3-4,NLCS G7,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,0.94,-0.006,78.00,-0.16%,0.03,1,RF
22,22,1,2022-10-11,ATL,,PHI,L 6-7,NLDS G1,CG,5,4,1,3,1,0,0,0,0,0,1,0,4,0,0,0,0,0,.750,0.70,0.116,10.90,1.16%,1.37,1,RF
23,23,2,2022-10-12,ATL,,PHI,W 3-0,NLDS G2,CG,4,3,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,.500,0.68,0.036,10.45,0.29%,0.03,1,RF
24,24,3,2022-10-14,ATL,@,PHI,L 1-9,NLDS G3,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.53,0.051,11.03,0.65%,0.25,1,RF
25,25,4,2022-10-15,ATL,@,PHI,L 3-8,NLDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.66,-0.067,14.56,-0.83%,-0.67,1,RF
26,26,1,2023-10-07,ATL,,PHI,L 0-3,NLDS G1,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.46,-0.100,22.83,-0.95%,-0.81,1,RF
27,27,2,2023-10-09,ATL,,PHI,W 5-4,NLDS G2,CG,4,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,.000,1.39,0.059,21.33,0.59%,0.08,1,RF
28,28,3,2023-10-11,ATL,@,PHI,L 2-10,NLDS G3,CG,5,5,1,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,.400,0.41,0.034,8.61,0.41%,0.12,1,RF
29,29,4,2023-10-12,ATL,@,PHI,L 1-3,NLDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2.05,-0.215,45.30,-2.68%,-1.61,1,RF
,,,,,,,13-16,,,128,109,17,28,10,1,3,9,5,2,15,34,49,1,4,0,0,0,.347,0.87,0.592,18.34,4.46%,3.41,,
