Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,203,1,2025-03-27,MIL,@,NYY,L 2-4,CG,4,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,.667,1.33,-0.031,1.18,-0.02%,-0.18,6.00,6.00,5,CF RF
2,204,2,2025-03-29,MIL,@,NYY,L 9-20,CG,5,3,1,1,0,0,0,0,0,0,1,0,.429,.556,.429,.984,1,0,1,0,0,0,.333,0.25,0.051,0.22,0.03%,0.42,9.00,12.20,5,3B RF
3,205,3,2025-03-30,MIL,@,NYY,L 3-12,CG,4,4,0,2,0,0,0,1,0,0,0,1,.455,.538,.455,.993,2,0,0,0,0,0,.667,0.92,0.052,0.72,0.03%,0.87,8.00,9.50,5,RF
4,206,4,2025-03-31,MIL,,KCR,L 1-11,CG,4,3,0,1,0,0,0,0,0,0,1,0,.429,.529,.429,.958,1,0,0,0,0,0,.333,0.59,-0.026,0.46,-0.01%,0.04,5.00,6.00,5,CF RF
5,207,5,2025-04-01,MIL,,KCR,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.333,.429,.333,.762,0,0,0,0,0,0,.000,0.78,-0.088,0.58,-0.04%,-1.51,0.00,0.00,5,CF
6,208,6,2025-04-02,MIL,,KCR,W 3-2 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,2,.273,.385,.273,.657,0,0,0,0,0,0,.000,1.47,-0.146,1.11,-0.07%,-1.29,2.00,3.00,5,RF
7,209,7,2025-04-03,MIL,,CIN,W 1-0,CG,3,3,0,2,0,0,0,1,1,0,0,0,.320,.414,.320,.734,2,0,0,0,0,0,.667,1.43,0.158,1.26,0.08%,1.55,13.00,15.50,5,CF RF
8,210,8,2025-04-04,MIL,,CIN,W 3-2,CG,4,3,1,1,0,0,0,0,1,1,1,0,.321,.424,.321,.746,1,0,0,0,0,0,.333,0.62,0.007,0.55,0.00%,-0.20,12.00,15.20,5,RF
9,211,9,2025-04-05,MIL,,CIN,L 7-11,CG,5,5,2,4,1,1,0,1,0,0,0,0,.394,.474,.485,.959,7,0,0,0,0,0,.800,0.75,0.246,0.71,0.14%,3.92,25.00,30.90,5,CF RF
10,212,10,2025-04-06,MIL,,CIN,W 8-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,.378,.452,.459,.912,1,0,0,0,0,0,.250,0.64,0.045,0.58,0.02%,0.44,5.00,6.20,5,RF
11,213,11,2025-04-08,MIL,@,COL,W 7-1,CG,4,3,0,1,0,0,0,1,0,0,0,0,.375,.457,.450,.907,1,0,1,0,0,0,.333,0.55,0.065,0.52,0.04%,0.96,7.00,9.50,5,CF RF
12,214,12,2025-04-09,MIL,@,COL,W 17-2,CG,5,5,2,1,0,0,0,0,1,0,0,0,.356,.431,.422,.854,1,0,0,0,0,0,.200,0.35,-0.016,0.34,-0.01%,0.61,12.00,15.40,5,RF
13,215,13,2025-04-10,MIL,@,COL,L 2-7,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.356,.431,.422,.854,0,,0,0,,,,,,,,,0.00,0.00,5,CF
14,216,14,2025-04-11,MIL,@,ARI,W 7-0,CG,5,5,0,1,1,0,0,1,1,0,0,1,.340,.411,.420,.831,2,0,0,0,0,0,.250,0.89,0.079,0.87,0.05%,0.01,12.00,15.50,5,CF RF
15,217,15,2025-04-12,MIL,@,ARI,L 4-5,CG,4,3,1,0,0,0,0,0,0,0,1,0,.321,.400,.396,.796,0,0,0,0,0,0,.000,0.63,0.033,0.66,0.02%,-0.16,4.00,6.20,5,RF
16,218,16,2025-04-13,MIL,@,ARI,L 2-5,CG,4,3,0,1,0,0,0,0,0,0,1,1,.321,.406,.393,.799,1,1,0,0,0,0,.500,0.79,-0.062,0.82,-0.04%,-0.44,5.00,6.00,5,RF
17,219,17,2025-04-14,MIL,,DET,L 1-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.305,.397,.373,.770,0,0,0,0,0,0,.000,0.17,-0.017,0.15,-0.01%,-0.50,2.00,3.00,5,RF
18,220,18,2025-04-15,MIL,,DET,W 5-0,CG,4,3,1,1,0,1,0,0,1,0,1,0,.306,.403,.403,.806,3,0,0,0,0,0,.333,0.43,0.068,0.35,0.03%,0.89,17.00,21.20,6,RF
19,221,19,2025-04-16,MIL,,DET,W 5-1,CG,4,4,2,2,0,0,1,1,0,0,0,1,.318,.408,.455,.862,5,0,0,0,0,0,.500,0.62,-0.002,0.55,0.00%,0.09,19.00,24.90,5,RF
20,222,20,2025-04-18,MIL,,ATH,W 5-3,CG,4,3,0,1,1,0,0,0,0,0,1,0,.319,.413,.464,.876,2,0,0,0,0,0,.333,0.51,-0.002,0.48,0.00%,0.27,7.00,9.00,5,RF
21,223,21,2025-04-19,MIL,,ATH,L 1-3,CG,3,3,0,1,0,0,0,0,0,0,0,0,.319,.410,.458,.868,1,0,0,0,0,0,.333,1.09,-0.007,1.06,0.00%,0.06,3.00,3.00,5,RF
22,224,22,2025-04-20,MIL,,ATH,W 14-1,CG,5,4,1,3,0,0,0,0,2,1,1,0,.342,.432,.474,.906,3,0,0,0,0,0,.750,0.15,0.014,0.14,0.01%,0.45,23.00,27.20,6,CF
23,225,23,2025-04-21,MIL,@,SFG,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.338,.424,.463,.886,1,0,0,0,0,0,.333,1.85,-0.120,1.90,-0.07%,-0.81,3.00,3.00,6,CF RF
24,226,24,2025-04-22,MIL,@,SFG,W 11-3,CG,5,4,1,0,0,0,0,0,0,0,1,0,.321,.412,.440,.853,0,0,0,0,0,0,.000,0.38,-0.047,0.38,-0.03%,-0.58,4.00,6.20,5,RF
25,227,25,2025-04-23,MIL,@,SFG,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.318,.406,.432,.838,1,0,0,0,0,0,.250,1.00,-0.098,1.07,-0.06%,-0.89,3.00,3.00,5,RF
26,228,26,2025-04-24,MIL,@,SFG,L 5-6,CG,5,5,0,1,0,0,0,1,0,0,0,1,.312,.396,.419,.816,1,0,0,0,0,0,.250,1.71,-0.016,1.73,-0.01%,0.41,5.00,6.50,2,RF
27,229,27,2025-04-25,MIL,@,STL,L 2-3,CG,4,4,1,1,1,0,0,0,0,0,0,0,.309,.391,.423,.814,2,0,0,0,0,0,.250,1.80,-0.125,1.80,-0.08%,-0.47,7.00,9.20,5,CF RF
