Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,943,1,2020-07-24,KCR,@,CLE,L 0-2,CG,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,1,0,0,0,0,0,1.000,0.93,-0.060,1.09,-0.04%,-0.38,4,C
2,944,2,2020-07-25,KCR,@,CLE,W 3-2 (10),CG(10),4,4,1,1,0,0,1,1,0,0,0,0,.250,.250,.625,.875,4,0,0,0,0,0,.000,1.00,0.000,1.18,0.00%,0.46,4,C
3,945,3,2020-07-26,KCR,@,CLE,L 2-9,GS-7,3,3,0,1,0,0,0,1,0,0,0,1,.273,.273,.545,.818,1,0,0,0,0,0,.500,0.64,0.021,0.76,0.02%,0.48,4,C
4,946,4,2020-07-27,KCR,@,DET,W 14-6,GS-9,5,4,2,1,0,0,1,1,0,0,1,0,.267,.313,.667,.979,4,0,0,0,0,0,.000,0.74,0.087,0.88,0.06%,0.57,4,C
5,947,5,2020-07-28,KCR,@,DET,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.211,.250,.526,.776,0,0,0,0,0,0,.000,1.05,-0.109,1.27,-0.08%,-0.72,4,C DH
6,948,6,2020-07-29,KCR,@,DET,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.174,.208,.435,.643,0,0,0,0,0,0,.000,0.96,-0.104,1.17,-0.08%,-1.28,3,C
7,949,7,2020-07-30,KCR,@,DET,W 5-3,CG,5,5,0,1,1,0,0,1,0,0,0,1,.179,.207,.429,.635,2,0,0,0,0,0,.250,1.07,-0.009,1.28,-0.01%,-0.67,3,C
8,950,8,2020-07-31,KCR,,CHW,L 2-3,CG,4,4,0,3,0,0,0,1,0,0,0,0,.250,.273,.469,.741,3,0,0,0,0,0,.750,0.90,0.124,1.10,0.09%,1.15,3,C
9,951,9,2020-08-01,KCR,,CHW,L 5-11,CG,5,5,0,0,0,0,0,0,0,0,0,1,.216,.237,.405,.642,0,0,0,0,0,0,.000,0.58,-0.070,0.68,-0.05%,-1.43,3,C
10,952,10,2020-08-02,KCR,,CHW,L 2-9,CG,4,4,0,2,0,0,0,0,0,0,0,1,.244,.262,.415,.677,2,0,0,0,0,0,.667,0.75,0.066,0.86,0.05%,0.30,3,1B
11,953,11,2020-08-03,KCR,@,CHC,L 0-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.244,.261,.400,.661,1,0,0,0,0,0,.250,1.27,-0.091,1.26,-0.05%,-0.62,4,C
12,954,12,2020-08-04,KCR,@,CHC,L 4-5,CG,4,4,2,2,1,0,0,0,0,0,0,0,.265,.280,.429,.709,3,0,0,0,0,0,.500,1.03,0.038,0.93,0.02%,0.52,4,C
13,955,13,2020-08-05,KCR,,CHC,L 1-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.264,.278,.415,.693,1,0,0,0,0,0,.250,1.10,-0.060,0.89,-0.03%,-0.49,4,C
14,956,14,2020-08-06,KCR,,CHC,W 13-2,CG,5,5,1,3,2,0,0,2,0,0,0,1,.293,.305,.466,.771,5,0,0,0,0,0,.750,0.35,0.056,0.25,0.02%,2.36,3,C 1B
15,957,15,2020-08-07,KCR,,MIN,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.290,.302,.452,.753,1,0,0,0,0,0,.333,0.84,-0.061,0.76,-0.03%,-0.36,3,C
