Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,270,1,2024-03-28,DET,@,CHW,W 1-0,CG,4,4,0,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0,.500,0.76,0.005,0.76,0.00%,0.13,6.00,6.00,2,1B
2,271,2,2024-03-30,DET,@,CHW,W 7-6 (10),CG(10),5,5,1,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.200,1.27,-0.098,1.30,-0.06%,-0.60,7.00,9.70,2,1B
3,272,3,2024-03-31,DET,@,CHW,W 3-2,CG,5,4,0,0,0,0,0,0,0,0,1,3,.231,.286,.231,.516,0,0,0,0,0,0,.000,0.80,-0.057,0.83,-0.04%,-0.36,2.00,3.00,2,1B
4,273,4,2024-04-01,DET,@,NYM,W 5-0 (10),CG(10),4,4,1,0,0,0,0,0,0,0,0,0,.176,.222,.176,.399,0,0,0,0,0,0,.000,0.94,-0.094,0.96,-0.06%,-0.53,2.00,3.20,3,1B
5,274,5,2024-04-04 (1),DET,@,NYM,W 6-3 (11),CG(11),6,6,0,1,0,0,0,0,0,0,0,1,.174,.208,.174,.382,1,0,0,0,0,0,.200,1.89,-0.156,1.87,-0.09%,-1.21,3.00,3.00,2,1B
6,275,6,2024-04-04 (2),DET,@,NYM,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.185,.214,.185,.399,1,0,0,0,0,0,.333,0.77,-0.038,0.78,-0.02%,-0.37,3.00,3.00,2,1B
7,276,7,2024-04-05,DET,,OAK,W 5-4,CG,4,4,2,2,2,0,0,1,0,0,0,0,.226,.250,.290,.540,4,0,0,0,0,0,.500,1.03,0.189,1.12,0.12%,1.29,16.00,21.90,3,1B
8,277,8,2024-04-06,DET,,OAK,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.206,.250,.265,.515,0,0,0,0,0,0,.000,1.09,-0.080,1.19,-0.05%,-0.69,2.00,3.00,2,1B
9,278,9,2024-04-07,DET,,OAK,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.184,.225,.237,.462,0,1,0,0,0,0,.000,0.83,-0.072,0.89,-0.05%,-1.20,0.00,0.00,3,1B
10,279,10,2024-04-08,DET,@,PIT,L 4-7,CG,5,4,0,1,1,0,0,0,0,0,1,2,.190,.244,.262,.506,2,0,0,0,0,0,.500,1.06,-0.051,1.07,-0.03%,-0.75,7.00,9.00,3,1B
11,280,11,2024-04-09,DET,@,PIT,W 5-3,GS-9,4,3,0,1,0,0,0,1,0,0,0,0,.200,.265,.267,.532,1,0,1,0,0,0,.333,1.91,0.107,1.86,0.06%,0.81,7.00,9.50,4,1B
12,281,12,2024-04-12,DET,,MIN,W 8-2,CG,5,4,1,2,0,0,0,2,0,0,1,1,.224,.296,.286,.582,2,0,0,0,0,0,.667,0.42,0.065,0.47,0.04%,2.02,14.00,19.20,3,1B
