Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1015,1,2021-04-01,MIA,,TBR,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,,1.67,-0.170,1.53,-0.09%,-0.88,2,CF
2,1016,2,2021-04-02,MIA,,TBR,L 4-6,CG,5,5,0,3,1,0,0,0,0,0,0,0,.333,.333,.444,.778,4,0,0,0,0,0,.600,1.06,0.090,0.91,0.05%,0.56,2,CF
3,1017,3,2021-04-03,MIA,,TBR,W 12-7,CG,5,5,3,4,0,1,0,1,1,0,0,0,.500,.500,.714,1.214,6,0,0,0,0,0,.800,1.15,0.159,0.94,0.08%,2.54,2,CF
4,1018,4,2021-04-05,MIA,,STL,L 1-4,CG,4,1,0,0,0,0,0,1,0,0,0,0,.467,.500,.667,1.167,0,0,2,0,1,0,.000,0.81,-0.004,0.72,0.00%,0.18,2,CF
5,1019,5,2021-04-06,MIA,,STL,L 2-4,CG,5,5,0,1,0,0,0,0,0,0,0,0,.400,.435,.550,.985,1,0,0,0,0,0,.200,1.50,0.035,1.27,0.02%,1.05,2,CF
6,1020,6,2021-04-07,MIA,,STL,L 0-7,CG,4,3,0,0,0,0,0,0,0,0,1,0,.348,.407,.478,.886,0,0,0,0,0,0,.000,1.24,-0.039,1.03,-0.02%,-0.25,2,CF
7,1021,7,2021-04-08,MIA,@,NYM,L 2-3,CG,4,3,0,0,0,0,0,0,0,1,1,1,.308,.387,.423,.810,0,0,0,0,0,0,.000,1.03,-0.110,0.85,-0.06%,-0.88,3,CF
8,1022,8,2021-04-10,MIA,@,NYM,W 3-0,CG,4,4,1,2,1,0,0,0,1,0,0,2,.333,.400,.467,.867,3,0,0,0,0,0,1.000,0.87,0.067,0.69,0.03%,0.84,2,CF
9,1023,9,2021-04-11,MIA,@,NYM,L 5-6,GS-1,1,1,0,0,0,0,0,0,0,0,0,0,.323,.389,.452,.841,0,0,0,0,0,0,.000,1.45,-0.033,1.26,-0.02%,-0.36,2,CF
10,1024,10,2021-04-12,MIA,@,ATL,W 5-3 (10),CG(10),5,4,2,1,0,0,0,0,0,0,1,1,.314,.390,.429,.819,1,0,0,0,0,0,.333,1.73,0.147,1.47,0.08%,0.64,2,CF
11,1025,11,2021-04-13,MIA,@,ATL,W 14-8,CG,6,4,3,2,0,0,0,1,0,0,1,1,.333,.426,.436,.861,2,0,1,0,0,0,.667,0.68,0.114,0.56,0.06%,1.38,2,CF
12,1026,12,2021-04-14,MIA,@,ATL,W 6-5 (10),CG(10),5,5,2,1,0,0,0,0,0,0,0,3,.318,.404,.409,.813,1,1,0,0,0,0,.500,1.06,-0.039,0.99,-0.02%,-0.58,2,CF
13,1027,13,2021-04-15,MIA,@,ATL,L 6-7,CG,5,3,1,1,0,0,1,1,0,0,2,0,.319,.421,.468,.889,4,0,0,0,0,0,.000,1.28,0.041,1.31,0.03%,0.91,2,CF
14,1028,14,2021-04-16,MIA,,SFG,W 4-1,CG,4,4,1,1,0,0,1,3,0,0,0,2,.314,.410,.510,.920,4,0,0,0,0,0,.000,1.61,0.225,1.53,0.13%,1.72,2,CF
15,1029,15,2021-04-17,MIA,,SFG,W 7-6 (10),CG(10),6,4,2,1,0,0,0,1,1,0,2,0,.309,.418,.491,.909,1,0,0,0,0,0,.250,2.03,0.378,1.90,0.21%,0.62,2,CF
16,1030,16,2021-04-18,MIA,,SFG,L 0-1,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,.310,.414,.483,.897,1,0,0,0,0,0,.333,1.12,0.004,1.15,0.00%,0.27,2,CF
17,1031,52,2021-05-28,MIA,@,BOS,L 2-5 (6),CG(6),3,3,0,1,1,0,0,0,0,0,0,1,.311,.411,.492,.903,2,0,0,0,0,0,.500,0.77,-0.006,0.72,0.00%,-0.09,2,CF
18,1032,53,2021-05-29,MIA,@,BOS,L 1-3,CG,5,3,0,1,1,0,0,0,0,0,2,1,.313,.423,.500,.923,2,0,0,0,0,0,.500,1.23,0.042,1.03,0.02%,0.36,2,CF
19,1033,54,2021-06-01,MIA,@,TOR,L 1-5,CG,4,4,0,2,1,0,0,1,1,0,0,2,.324,.427,.515,.942,3,0,0,0,0,0,1.000,0.75,0.075,0.56,0.03%,0.92,2,CF
20,1034,55,2021-06-02,MIA,@,TOR,L 5-6,CG,5,4,1,1,0,0,1,1,0,0,1,1,.319,.425,.542,.967,4,0,0,0,0,1,.000,0.77,0.016,0.61,0.01%,-0.11,2,CF
21,1035,56,2021-06-03,MIA,@,PIT,L 3-5,CG,4,4,1,1,1,0,0,0,0,0,0,2,.316,.418,.539,.957,2,0,0,0,0,0,.500,1.05,0.065,0.72,0.03%,0.24,2,CF
