Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,428,1,2025-03-27,CLE,@,KCR,W 7-4 (10),CG(10),5,4,1,2,1,0,0,1,0,0,0,0,.500,.500,.750,1.250,3,0,0,1,0,0,.500,1.89,0.203,1.91,0.12%,0.82,12.00,15.70,1,LF
2,429,2,2025-03-29,CLE,@,KCR,L 3-4,CG,4,3,2,1,0,0,1,1,0,0,1,0,.429,.500,1.000,1.500,4,0,0,0,0,0,.000,1.43,0.058,1.50,0.04%,0.80,18.00,24.90,1,LF
3,430,3,2025-03-30,CLE,@,KCR,W 6-2,CG,5,5,1,3,0,0,0,1,0,0,0,0,.500,.538,.833,1.372,3,0,0,0,0,0,.600,0.65,0.115,0.64,0.07%,1.04,13.00,15.70,1,LF
4,431,4,2025-03-31,CLE,@,SDP,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.375,.412,.625,1.037,0,0,0,0,0,0,.000,0.69,-0.074,0.66,-0.04%,-0.87,0.00,0.00,1,LF
5,432,5,2025-04-01,CLE,@,SDP,L 0-7,GS-8,4,3,0,1,0,0,0,0,0,0,1,2,.368,.429,.579,1.008,1,0,0,0,0,0,1.000,1.15,-0.038,1.08,-0.02%,-0.50,5.00,6.00,1,LF
6,433,6,2025-04-02,CLE,@,SDP,L 2-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.348,.400,.522,.922,1,0,0,0,0,0,.333,0.69,-0.033,0.62,-0.02%,-0.25,5.00,6.20,1,LF
7,434,7,2025-04-04,CLE,@,LAA,W 8-6,CG,5,4,2,1,0,0,0,0,0,0,1,0,.333,.400,.481,.881,1,0,0,0,0,0,.250,0.66,-0.022,0.63,-0.01%,-0.31,9.00,12.40,1,LF
8,435,8,2025-04-05,CLE,@,LAA,L 4-10,GS-7,3,3,1,2,0,0,0,0,0,0,0,0,.367,.424,.500,.924,2,0,0,0,0,0,.667,0.82,0.038,0.79,0.02%,0.24,8.00,9.20,1,LF
9,436,9,2025-04-06,CLE,@,LAA,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.353,.405,.471,.876,1,0,0,0,0,0,.250,1.11,-0.119,1.04,-0.07%,-1.07,3.00,3.00,1,LF
10,437,10,2025-04-08,CLE,,CHW,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.316,.366,.421,.787,0,0,0,0,0,0,.000,1.08,-0.107,0.98,-0.06%,-0.78,0.00,0.00,1,LF
