Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,250,7,2025-04-02,ATL,@,LAD,L 5-6,CG,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.70,-0.015,0.49,-0.01%,-0.22,2.00,3.20,7,RF
2,251,9,2025-04-05,ATL,,MIA,L 0-4,8-GF,1,1,0,1,0,1,0,0,0,0,0,0,.200,.200,.600,.800,3,0,0,0,0,0,1.000,0.62,0.045,0.43,0.02%,0.92,8.00,9.00,9,PH RF
3,252,11,2025-04-09,ATL,,PHI,L 3-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.600,.800,0,,0,0,,,,,,,,,0.00,0.00,3,PR DH
4,253,12,2025-04-10,ATL,,PHI,W 4-2 (11),GS-7,2,2,0,0,0,0,0,0,1,0,0,0,.143,.143,.429,.571,0,0,0,0,0,0,.000,1.17,-0.071,0.73,-0.03%,-0.74,5.00,6.00,7,RF
5,254,13,2025-04-11,ATL,@,TBR,L 3-6,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.111,.111,.333,.444,0,0,0,0,0,0,.000,0.64,-0.032,0.39,-0.01%,-0.45,0.00,0.00,7,PH RF
6,255,14,2025-04-12,ATL,@,TBR,W 5-4,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.091,.091,.273,.364,0,0,0,0,0,0,.000,1.51,-0.079,0.85,-0.03%,-0.37,0.00,0.00,8,PH RF
7,256,15,2025-04-13,ATL,@,TBR,L 3-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.083,.083,.250,.333,0,0,0,0,0,0,,0.30,-0.008,0.18,0.00%,-0.29,0.00,0.00,3,PH DH
8,257,16,2025-04-14,ATL,@,TOR,W 8-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.063,.063,.188,.250,0,1,0,0,0,0,.000,0.32,-0.061,0.18,-0.02%,-1.25,0.00,0.00,7,RF
9,258,19,2025-04-18,ATL,,MIN,W 6-4,7-9,2,2,0,0,0,0,0,0,0,0,0,1,.056,.056,.167,.222,0,0,0,0,0,0,.000,0.87,-0.042,0.46,-0.01%,-0.59,0.00,0.00,9,PH RF
10,259,24,2025-04-23,ATL,,STL,W 4-1,7-GF,2,2,0,0,0,0,0,0,0,0,0,2,.050,.050,.150,.200,0,0,0,0,0,0,,1.00,-0.051,0.65,-0.02%,-0.40,0.00,0.00,8,PH RF
11,260,26,2025-04-26,ATL,@,ARI,W 8-7 (10),8-8,0,0,1,0,0,0,0,0,0,0,0,0,.050,.050,.150,.200,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,5,PR
12,261,35,2025-05-06,ATL,,CIN,W 2-1 (10),9-10,0,0,1,0,0,0,0,0,0,0,0,0,.050,.050,.150,.200,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,6,PR
13,262,37,2025-05-08,ATL,,CIN,W 5-4 (11),8-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,.048,.048,.143,.190,0,0,0,0,0,0,.000,4.69,-0.264,3.76,-0.13%,-0.72,0.00,0.00,3,PR DH
14,263,38,2025-05-09,ATL,@,PIT,L 2-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.043,.043,.130,.174,0,0,0,0,0,0,.000,1.07,-0.052,0.88,-0.03%,-0.46,0.00,0.00,8,RF
15,264,39,2025-05-10,ATL,@,PIT,W 3-2 (11),10-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,.043,.043,.130,.174,0,,0,0,,,,,,,,,0.00,0.00,3,PR DH
16,265,40,2025-05-11,ATL,@,PIT,L 3-4,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.043,.043,.130,.174,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,4,PR DH
17,266,43,2025-05-14,ATL,,WSN,L 4-5,CG,4,3,2,2,1,0,0,1,1,0,1,0,.115,.148,.231,.379,3,0,0,0,0,0,.667,1.59,0.079,1.38,0.04%,1.51,21.00,27.90,8,RF
18,267,45,2025-05-16,ATL,@,BOS,W 4-2,CG,4,3,0,0,0,0,0,1,0,0,1,2,.103,.161,.207,.368,0,1,0,0,0,0,.000,1.30,-0.015,1.09,-0.01%,-0.43,4.00,6.50,8,RF
19,268,48,2025-05-20,ATL,@,WSN,L 3-5,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.133,.188,.233,.421,1,0,0,0,0,0,1.000,1.41,0.066,1.32,0.04%,0.38,3.00,3.00,1,PH RF
20,269,49,2025-05-22,ATL,@,WSN,L 7-8 (10),7-GF(10),2,2,1,1,0,0,0,0,0,0,0,0,.156,.206,.250,.456,1,0,0,0,0,0,.500,2.98,-0.019,2.57,-0.01%,0.27,5.00,6.20,1,PH RF
