Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,380,1,2025-03-28,TBR,,COL,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.99,-0.168,1.81,-0.09%,-1.11,0.00,0.00,9,SS
2,381,2,2025-03-29,TBR,,COL,L 1-2,CG,4,3,0,1,0,0,0,1,1,0,1,0,.167,.286,.167,.452,1,0,0,0,0,0,.333,1.72,0.159,1.62,0.09%,0.96,12.00,15.50,8,SS
3,382,3,2025-03-30,TBR,,COL,W 6-4,CG,4,3,1,1,0,0,0,0,0,0,1,0,.222,.364,.222,.586,1,0,0,0,0,0,.333,0.87,0.041,0.78,0.02%,0.23,7.00,9.20,5,SS
4,383,4,2025-03-31,TBR,,PIT,W 6-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.222,.364,.222,.586,0,,0,0,,,,,,,,,0.00,0.00,3,SS
5,384,5,2025-04-01,TBR,,PIT,W 7-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.167,.333,.167,.500,0,0,0,0,0,0,.000,0.35,-0.035,0.34,-0.02%,-0.76,2.00,3.00,8,SS
6,385,6,2025-04-02,TBR,,PIT,L 2-4,CG,3,2,1,0,0,0,0,0,0,0,1,0,.143,.333,.143,.476,0,0,0,0,0,0,.000,1.33,0.069,1.27,0.04%,0.39,4.00,6.20,7,SS
7,386,7,2025-04-04,TBR,@,TEX,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.118,.286,.118,.403,0,0,0,0,0,0,.000,0.75,-0.055,0.75,-0.03%,-0.51,0.00,0.00,8,SS
8,387,8,2025-04-05,TBR,@,TEX,L 4-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.111,.273,.111,.384,0,0,0,0,0,0,.000,0.91,-0.023,0.92,-0.01%,-0.15,0.00,0.00,7,SS
9,388,9,2025-04-06,TBR,@,TEX,L 3-4,CG,4,4,0,1,0,0,0,0,1,0,0,1,.136,.269,.136,.406,1,0,0,0,0,0,.333,1.90,-0.058,1.78,-0.03%,-0.12,8.00,9.00,8,SS
10,389,10,2025-04-08,TBR,,LAA,L 3-4,CG,4,3,0,1,0,0,0,0,1,0,1,0,.160,.300,.160,.460,1,0,0,0,0,0,.333,2.41,0.235,2.23,0.13%,0.59,10.00,12.00,9,SS
11,390,11,2025-04-09,TBR,,LAA,W 5-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.143,.273,.143,.416,0,0,0,0,0,0,.000,0.56,-0.042,0.50,-0.02%,-0.53,0.00,0.00,9,SS
12,391,13,2025-04-11,TBR,,ATL,W 6-3,CG,3,2,1,1,0,0,0,0,0,0,1,0,.167,.306,.167,.472,1,0,0,0,0,0,.500,0.37,0.022,0.30,0.01%,0.44,7.00,9.20,9,SS
