Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,547,1,2020-07-24,SDP,,ARI,W 7-2,CG,4,3,2,1,0,0,0,1,2,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,.500,1.38,0.035,1.63,0.03%,0.94,3,LF
2,548,2,2020-07-25,SDP,,ARI,W 5-1,CG,4,2,1,1,0,0,0,0,2,0,2,1,.400,.625,.400,1.025,1,0,0,0,0,0,1.000,0.75,0.091,0.90,0.07%,1.24,3,LF
3,549,3,2020-07-26,SDP,,ARI,L 3-4,CG,5,4,0,0,0,0,0,0,0,0,1,0,.222,.462,.222,.684,0,0,0,0,0,0,.000,1.39,-0.137,1.65,-0.10%,-1.16,4,LF
4,550,4,2020-07-27,SDP,,ARI,W 6-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.154,.353,.154,.507,0,1,0,0,0,0,.000,0.65,-0.090,0.79,-0.07%,-1.83,4,LF
5,551,5,2020-07-28,SDP,@,SFG,W 5-3,GS-8,4,3,0,0,0,0,0,0,0,0,0,0,.125,.333,.125,.458,0,0,1,0,0,0,.000,0.74,-0.038,0.88,-0.03%,-0.38,4,LF
6,552,6,2020-07-29,SDP,@,SFG,L 6-7,CG,5,4,0,1,0,0,0,0,0,0,1,0,.150,.346,.150,.496,1,1,0,0,0,0,.250,0.99,-0.146,1.18,-0.10%,-0.51,4,DH
7,553,7,2020-07-30,SDP,@,SFG,W 12-7 (10),CG(10),5,5,2,3,1,0,0,2,0,0,0,1,.240,.387,.280,.667,4,0,0,0,0,0,.750,1.58,0.270,1.93,0.20%,1.45,4,LF
8,554,8,2020-07-31,SDP,@,COL,W 8-7,CG,5,5,1,2,0,0,1,4,1,0,0,0,.267,.389,.400,.789,5,0,0,0,0,0,.250,1.94,0.647,2.35,0.47%,3.55,4,LF
9,555,9,2020-08-01,SDP,@,COL,L 1-6,CG,4,3,0,1,0,0,0,0,0,0,1,1,.273,.400,.394,.794,1,0,0,0,0,0,.500,0.37,-0.001,0.42,0.00%,0.06,3,DH
10,556,10,2020-08-02,SDP,@,COL,L 6-9,CG,4,3,1,2,0,0,0,0,0,0,1,0,.306,.432,.417,.848,2,0,0,0,0,0,.667,0.73,0.040,0.88,0.03%,0.63,4,LF
11,557,11,2020-08-03,SDP,,LAD,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.275,.396,.375,.771,0,0,0,0,0,0,.000,1.13,-0.073,1.44,-0.06%,-0.89,4,LF
