Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1122,1,2025-03-27,PIT,@,MIA,L 4-5,CG,5,3,0,1,1,0,0,0,1,0,1,2,.333,.600,.667,1.267,2,0,1,0,0,0,1.000,1.99,0.156,1.91,0.09%,0.89,14.00,18.00,1,LF
2,1123,2,2025-03-28,PIT,@,MIA,W 4-3,CG,5,5,1,0,0,0,0,0,1,0,0,0,.125,.300,.250,.550,0,0,0,0,0,0,.000,0.61,-0.016,0.55,-0.01%,0.18,7.00,9.20,1,LF
3,1124,3,2025-03-29,PIT,@,MIA,L 4-5 (12),9-GF(12),1,1,0,0,0,0,0,0,0,0,0,1,.111,.273,.222,.495,0,0,0,0,0,0,,1.26,-0.037,1.20,-0.02%,-0.24,0.00,0.00,1,RF LF
4,1125,4,2025-03-30,PIT,@,MIA,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.154,.267,.231,.497,1,0,0,0,0,0,.333,1.00,-0.070,0.91,-0.04%,-0.46,3.00,3.00,3,LF
5,1126,5,2025-03-31,PIT,@,TBR,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.118,.211,.176,.387,0,0,0,0,0,0,.000,0.74,-0.074,0.61,-0.04%,-0.91,0.00,0.00,1,LF
6,1127,6,2025-04-01,PIT,@,TBR,L 0-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.095,.174,.143,.317,0,1,0,0,0,0,.000,0.58,-0.084,0.46,-0.04%,-1.42,0.00,0.00,5,LF
7,1128,7,2025-04-02,PIT,@,TBR,W 4-2,CG,4,2,0,0,0,0,0,0,1,0,2,0,.087,.222,.130,.353,0,0,0,0,0,0,.000,0.78,0.010,0.61,0.01%,0.08,9.00,12.00,4,LF
8,1129,8,2025-04-04,PIT,,NYY,L 4-9,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,.083,.214,.125,.339,0,0,0,0,0,0,.000,2.19,-0.009,1.63,0.00%,-0.09,0.00,0.00,6,LF
9,1130,9,2025-04-05,PIT,,NYY,L 4-10,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.077,.200,.115,.315,0,0,0,0,0,0,.000,0.77,-0.036,0.56,-0.02%,-0.73,0.00,0.00,5,PH LF
10,1131,10,2025-04-06,PIT,,NYY,W 5-4 (11),CG(11),5,4,0,1,0,0,0,2,0,0,0,3,.100,.200,.133,.333,1,0,0,0,1,0,.500,1.96,0.102,1.36,0.04%,-0.04,7.00,10.00,7,RF LF
11,1132,11,2025-04-07,PIT,,STL,W 8-4,CG,4,3,1,1,0,0,0,0,0,0,1,1,.121,.231,.152,.382,1,0,0,0,0,0,.500,0.33,0.018,0.27,0.01%,0.24,7.00,9.20,5,LF
12,1133,12,2025-04-08,PIT,,STL,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.108,.209,.135,.344,0,0,0,0,0,0,.000,1.19,-0.128,1.04,-0.07%,-1.19,0.00,0.00,6,RF LF
