Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2015-10-09,STL,,CHC,W 4-0,NLDS G1,8-GF,1,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,,0.37,0.077,5.80,0.68%,1.00,,,9,PH CF
2,2,3,2015-10-12,STL,@,CHC,L 6-8,NLDS G3,GS-6,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000,1.43,-0.042,29.95,-0.51%,-0.46,,,6,CF
3,3,4,2015-10-13,STL,@,CHC,L 4-6,NLDS G4,4-4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.96,-0.049,43.79,-0.61%,-0.41,,,9,PH
4,4,1,2019-10-02,TBR,@,OAK,W 5-1,ALWC G1,CG,4,4,1,2,0,0,1,1,1,0,0,1,5,0,0,0,0,0,.500,0.47,0.060,9.83,0.80%,0.85,,,2,DH
5,5,2,2019-10-04,TBR,@,HOU,L 2-6,ALDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,.250,0.87,-0.122,13.63,-1.12%,-1.43,,,2,LF
6,6,3,2019-10-05,TBR,@,HOU,L 1-3,ALDS G2,CG,4,4,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.667,1.13,0.025,18.11,0.23%,0.31,,,3,DH
7,7,4,2019-10-07,TBR,,HOU,W 10-3,ALDS G3,CG,5,4,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,.333,0.25,-0.010,2.59,-0.06%,0.66,,,3,DH
8,8,5,2019-10-08,TBR,,HOU,W 4-1,ALDS G4,CG,5,5,1,3,0,0,1,1,0,0,0,0,6,0,0,0,0,0,.500,0.27,0.104,5.26,1.14%,1.18,,,2,DH
9,9,6,2019-10-10,TBR,@,HOU,L 1-6,ALDS G5,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.44,-0.046,18.13,-1.06%,-0.68,,,2,DH
10,10,1,2020-09-30,SDP,,STL,L 4-7,NLWC G1,CG,4,4,1,2,1,0,0,1,1,0,0,0,3,0,0,0,0,0,.500,1.46,0.130,15.18,0.88%,1.59,,,5,DH
11,11,2,2020-10-01,SDP,,STL,W 11-9,NLWC G2,GS-9,5,5,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,.800,0.69,0.120,7.68,0.83%,1.06,,,5,LF
12,12,3,2020-10-02,SDP,,STL,W 4-0,NLWC G3,GS-8,4,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000,0.79,-0.117,16.54,-1.37%,-2.55,,,5,LF
13,13,4,2020-10-06,SDP,@,LAD,L 1-5,NLDS G1,CG,4,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,.000,0.92,-0.009,14.38,0.00%,-0.12,,,5,DH
14,14,5,2020-10-07,SDP,@,LAD,L 5-6,NLDS G2,CG,4,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.500,0.85,0.023,13.51,0.25%,0.30,,,4,DH
15,15,6,2020-10-08,SDP,,LAD,L 3-12,NLDS G3,GS-9,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.74,0.057,7.68,0.31%,0.19,,,5,LF
16,16,1,2023-10-03,ARI,@,MIL,W 6-3,NLWC G1,CG,5,4,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,.000,1.11,-0.131,11.52,-0.85%,-1.15,,,3,DH
17,17,2,2023-10-04,ARI,@,MIL,W 5-2,NLWC G2,CG,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,1.20,0.096,13.30,0.71%,0.83,,,3,DH
18,18,3,2023-10-07,ARI,@,LAD,W 11-2,NLDS G1,CG,5,5,3,4,0,0,1,1,0,0,0,0,7,0,0,0,0,0,.750,0.29,0.054,4.48,0.54%,1.89,,,3,DH
19,19,4,2023-10-09,ARI,@,LAD,W 4-2,NLDS G2,CG,5,5,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,.500,1.14,0.018,17.40,0.18%,0.22,,,3,DH
20,20,5,2023-10-11,ARI,,LAD,W 4-2,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.46,-0.066,4.80,-0.39%,-1.42,,,3,DH
21,21,6,2023-10-16,ARI,@,PHI,L 3-5,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.80,-0.085,20.88,-1.27%,-0.82,,,3,DH
22,22,7,2023-10-17,ARI,@,PHI,L 0-10,NLCS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.15,-0.117,30.43,-1.74%,-1.29,,,3,DH
23,23,8,2023-10-19,ARI,,PHI,W 2-1,NLCS G3,GS-7,3,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.000,1.34,0.024,27.85,0.40%,-0.09,,,5,RF
24,24,9,2023-10-20,ARI,,PHI,W 6-5,NLCS G4,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.04,-0.052,31.88,-0.90%,-0.61,,,5,RF
25,25,11,2023-10-23,ARI,@,PHI,W 5-1,NLCS G6,CG,4,4,1,1,0,0,1,1,0,0,0,1,4,1,0,0,0,0,.000,0.77,0.024,30.24,0.59%,-0.41,,,5,DH
26,26,12,2023-10-24,ARI,@,PHI,W 4-2,NLCS G7,GS-7,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.85,-0.067,70.56,-3.40%,-0.65,,,5,RF
27,27,13,2023-10-27,ARI,@,TEX,L 5-6 (11),WS G1,CG(11),5,5,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,1.20,-0.008,62.54,0.03%,-0.18,,,5,DH
28,28,14,2023-10-28,ARI,@,TEX,W 9-1,WS G2,GS-9,4,4,2,4,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1.000,0.74,0.037,38.96,1.18%,0.65,,,5,DH
29,29,15,2023-10-30,ARI,,TEX,L 1-3,WS G3,CG,4,4,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,.667,0.75,-0.024,46.68,-0.77%,-0.25,,,5,DH
30,30,16,2023-10-31,ARI,,TEX,L 7-11,WS G4,CG,4,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,.333,0.19,-0.014,11.34,-0.56%,-0.46,,,5,DH
31,31,17,2023-11-01,ARI,,TEX,L 0-5,WS G5,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,2.25,-0.163,82.82,-3.55%,-1.22,,,5,DH
32,32,1,2024-10-01,KCR,@,BAL,W 1-0,ALWC G1,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.53,-0.039,5.46,-0.24%,-0.33,0.00,0.00,7,RF
33,33,2,2024-10-02,KCR,@,BAL,W 2-1,ALWC G2,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.11,-0.026,12.27,-0.19%,-0.27,0.00,0.00,1,PH
