Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,28,1,2023-03-30,BOS,,BAL,L 9-10,CG,4,2,0,0,0,0,0,2,0,0,1,1,.000,.250,.000,.250,0,0,0,0,1,0,.000,1.28,0.023,1.26,0.01%,0.44,6,1B
2,29,2,2023-04-01,BOS,,BAL,W 9-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.64,-0.137,1.50,-0.08%,-0.73,6,1B
3,30,3,2023-04-02,BOS,,BAL,W 9-5,7-7,1,1,0,1,0,0,0,1,0,0,0,0,.167,.333,.167,.500,1,0,0,0,0,0,1.000,1.29,0.058,1.25,0.03%,0.78,7,PH
4,31,4,2023-04-03,BOS,,PIT,L 6-7,CG,5,5,1,1,0,0,1,2,0,0,0,3,.182,.286,.455,.740,4,0,0,0,0,0,.000,2.12,-0.082,1.94,-0.05%,0.39,6,1B
5,32,5,2023-04-04,BOS,,PIT,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.133,.222,.333,.556,0,0,0,0,0,0,.000,1.16,-0.121,0.98,-0.06%,-1.08,6,1B
6,33,6,2023-04-05,BOS,,PIT,L 1-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,.158,.227,.368,.596,2,0,0,0,0,0,.250,0.48,-0.031,0.41,-0.02%,-0.26,5,1B
7,34,7,2023-04-06,BOS,@,DET,W 6-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.130,.192,.304,.497,0,1,0,0,0,0,.000,0.74,-0.091,0.62,-0.05%,-0.97,6,1B
8,35,8,2023-04-08,BOS,@,DET,W 14-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.130,.192,.304,.497,0,,0,0,,,,,,,,,3,1B
9,36,9,2023-04-09,BOS,@,DET,W 4-1,CG,4,4,1,2,1,0,1,2,0,0,0,2,.185,.233,.481,.715,6,0,0,0,0,0,1.000,0.77,0.120,0.69,0.07%,1.82,8,1B
10,37,10,2023-04-10,BOS,@,TBR,L 0-1,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.172,.219,.448,.667,0,0,0,0,0,0,.000,1.05,-0.057,1.10,-0.04%,-0.47,8,1B
11,38,11,2023-04-11,BOS,@,TBR,L 2-7,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.161,.206,.419,.625,0,0,0,0,0,0,.000,0.17,-0.008,0.17,-0.01%,-0.58,8,PH 1B
12,39,12,2023-04-12,BOS,@,TBR,L 7-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.143,.184,.371,.556,0,0,0,0,0,0,.000,1.27,-0.124,1.16,-0.07%,-0.96,4,1B
13,40,13,2023-04-13,BOS,@,TBR,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.132,.190,.342,.533,0,0,0,0,0,0,.000,0.82,-0.022,0.70,-0.01%,-0.47,4,1B
14,41,14,2023-04-14,BOS,,LAA,W 5-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.122,.196,.317,.513,0,0,0,0,0,0,.000,0.80,-0.070,0.58,-0.03%,-0.46,7,1B
15,42,15,2023-04-15,BOS,,LAA,W 9-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.133,.200,.311,.511,1,0,0,0,0,0,.500,1.96,-0.121,1.52,-0.06%,-0.63,7,1B
16,43,17,2023-04-17,BOS,,LAA,L 4-5,CG,4,3,1,1,1,0,0,0,0,0,1,0,.146,.222,.333,.556,2,0,0,0,0,0,.333,1.21,0.083,1.03,0.04%,1.13,5,1B
17,44,18,2023-04-18,BOS,,MIN,W 5-4 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,4,.135,.220,.308,.528,0,0,0,0,0,0,,2.51,-0.048,2.13,-0.03%,-0.87,6,1B
18,45,19,2023-04-19,BOS,,MIN,L 4-10,CG,4,2,1,0,0,0,0,0,0,0,2,0,.130,.238,.296,.534,0,0,0,0,0,0,.000,0.27,0.011,0.23,0.01%,0.31,7,1B
19,46,20,2023-04-20,BOS,,MIN,W 11-5,CG,4,2,2,1,0,0,0,0,0,0,2,1,.143,.269,.304,.572,1,0,0,0,0,0,1.000,0.47,0.049,0.38,0.02%,0.95,6,1B
20,47,21,2023-04-21,BOS,@,MIL,W 5-3,CG,4,3,1,0,0,0,0,0,0,0,1,1,.136,.268,.288,.556,0,0,0,0,0,0,.000,0.95,-0.035,0.79,-0.02%,-0.57,6,1B
21,48,23,2023-04-23,BOS,@,MIL,W 12-5,CG,5,3,1,0,0,0,0,0,0,0,2,1,.129,.276,.274,.551,0,0,0,0,0,0,.000,0.74,-0.020,0.59,-0.01%,0.09,6,1B
22,49,24,2023-04-24,BOS,@,BAL,L 4-5,CG,4,4,1,1,0,0,1,1,0,0,0,2,.136,.275,.318,.593,4,0,0,0,0,0,.000,1.71,-0.068,1.57,-0.04%,0.10,6,1B
23,50,25,2023-04-25,BOS,@,BAL,W 8-6,CG,4,3,2,1,0,0,0,0,0,0,1,0,.145,.286,.319,.605,1,0,0,0,0,0,.333,0.44,0.062,0.38,0.03%,0.64,6,1B
24,51,26,2023-04-26,BOS,@,BAL,L 2-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,.139,.284,.306,.590,0,0,0,0,0,0,.000,1.21,-0.059,1.13,-0.03%,-0.34,6,1B
25,52,27,2023-04-28,BOS,,CLE,L 2-5,CG,4,3,1,0,0,0,0,0,0,0,1,1,.133,.283,.293,.576,0,0,0,0,0,0,.000,1.48,-0.119,1.17,-0.06%,-0.68,5,1B
26,53,30,2023-05-01,BOS,,TOR,W 6-5,CG,4,3,1,0,0,0,0,0,0,0,1,2,.128,.281,.282,.563,0,0,0,0,0,0,.000,1.79,-0.130,1.57,-0.07%,-1.20,7,1B
