Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,160,1,2024-03-28,BOS,@,SEA,W 6-4,CG,5,5,0,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,.250,0.99,0.004,0.92,0.00%,-0.54,5.00,6.50,4,1B
2,161,2,2024-03-29,BOS,@,SEA,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.111,.111,.111,.222,0,0,0,0,0,0,.000,1.64,-0.164,1.63,-0.10%,-0.96,0.00,0.00,5,1B
3,162,3,2024-03-30,BOS,@,SEA,L 3-4 (10),GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.083,.154,.083,.237,0,0,0,0,0,0,.000,1.11,-0.008,1.04,-0.01%,-0.25,2.00,3.00,4,1B
4,163,4,2024-03-31,BOS,@,SEA,W 5-1,CG,4,3,1,0,0,0,0,0,0,0,1,2,.067,.176,.067,.243,0,0,0,0,0,0,.000,0.63,0.007,0.56,0.00%,-0.32,4.00,6.20,4,1B
5,164,5,2024-04-01,BOS,@,OAK,W 9-0,GS-8,4,4,0,2,1,0,0,1,0,0,0,1,.158,.238,.211,.449,3,0,0,0,0,0,.667,0.77,0.051,0.76,0.03%,0.69,10.00,12.50,4,1B
6,165,6,2024-04-02,BOS,@,OAK,W 5-4 (11),CG(11),5,3,1,1,0,0,0,0,0,0,2,1,.182,.308,.227,.535,1,0,0,0,0,1,.500,2.24,-0.068,2.17,-0.04%,-0.30,9.00,12.20,6,1B DH
7,166,7,2024-04-03,BOS,@,OAK,W 1-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,.192,.300,.231,.531,1,1,0,0,0,0,.250,1.18,-0.144,1.20,-0.09%,-1.65,5.00,6.20,4,1B
8,167,8,2024-04-05,BOS,@,LAA,W 8-6,CG,5,4,1,2,0,0,1,1,0,0,1,1,.233,.343,.367,.710,5,0,0,0,0,0,.500,0.82,0.197,0.87,0.13%,1.21,19.00,24.70,6,1B
9,168,9,2024-04-06,BOS,@,LAA,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,3,.212,.316,.333,.649,0,0,0,0,0,0,,1.59,-0.119,1.75,-0.08%,-0.90,0.00,0.00,6,1B
10,169,10,2024-04-07,BOS,@,LAA,W 12-2,CG,5,5,1,2,0,0,0,0,0,0,0,0,.237,.326,.342,.668,2,0,0,0,0,0,.400,0.34,0.013,0.38,0.01%,0.45,8.00,9.20,4,1B
