Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,25,17,2023-04-18 (1),CLE,@,DET,L 3-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,.500,.500,.750,1.250,3,0,0,0,0,0,.500,1.15,0.083,1.27,0.06%,0.13,8,SS
2,26,21,2023-04-22 (2),CLE,,MIA,L 2-3,CG,4,3,1,0,0,0,0,0,0,0,1,0,.286,.375,.429,.804,0,0,0,0,0,0,.000,2.40,-0.197,2.31,-0.11%,-0.85,8,3B
3,27,37,2023-05-10,CLE,,DET,L 0-5,CG,4,4,0,2,0,0,0,0,0,0,0,1,.364,.417,.455,.871,2,0,0,0,0,0,.667,0.49,0.022,0.48,0.01%,-0.07,6,2B
4,28,38,2023-05-12,CLE,,LAA,L 4-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.364,.417,.455,.871,0,,0,0,,,,,,,,,4,PR DH
5,29,39,2023-05-13,CLE,,LAA,W 8-6,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.364,.417,.455,.871,0,,0,0,,,,,0.000,,0.00%,0.00,4,PR DH
6,30,42,2023-05-17,CLE,@,CHW,L 2-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.333,.375,.400,.775,1,0,0,0,0,0,.500,0.82,0.026,0.66,0.01%,-0.04,6,3B
7,31,45,2023-05-21 (1),CLE,@,NYM,L 4-5,CG,4,4,1,1,1,0,0,0,0,0,0,1,.316,.350,.421,.771,2,0,0,0,0,0,.333,1.53,-0.072,1.09,-0.03%,0.06,7,2B
8,32,51,2023-05-27,CLE,,STL,L 1-2 (10),7-8,1,1,0,0,0,0,0,0,0,0,0,0,.300,.333,.400,.733,0,0,0,0,0,0,.000,1.16,-0.029,0.67,-0.01%,-0.16,9,PH
9,33,52,2023-05-28,CLE,,STL,W 4-3,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.273,.304,.364,.668,0,0,0,0,0,0,.000,0.97,-0.053,0.49,-0.02%,-0.61,6,2B
10,34,57,2023-06-02,CLE,@,MIN,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.269,.296,.346,.642,1,0,0,0,0,0,.333,1.48,-0.092,1.07,-0.04%,-0.48,2,3B
11,35,58,2023-06-03,CLE,@,MIN,W 4-2,4-GF,3,2,0,1,0,0,0,0,1,0,1,0,.286,.333,.357,.690,1,0,0,0,0,0,.500,0.68,0.014,0.47,0.01%,0.46,2,SS
12,36,59,2023-06-04,CLE,@,MIN,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.294,.313,.607,0,0,0,0,0,0,.000,0.77,-0.078,0.60,-0.04%,-0.67,2,SS
13,37,60,2023-06-06,CLE,,BOS,L 4-5,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.250,.294,.313,.607,0,,0,0,,,,,0.000,,0.00%,0.00,5,PR DH
14,38,62,2023-06-08,CLE,,BOS,W 10-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.294,.313,.607,0,,0,0,,,,,,,,,3,3B
15,39,63,2023-06-09,CLE,,HOU,W 10-9 (14),10-GF(14),2,2,1,1,1,0,0,1,0,0,0,0,.265,.306,.353,.659,2,0,0,0,0,0,.500,4.34,0.201,3.21,0.09%,0.55,5,PR DH
16,40,64,2023-06-10,CLE,,HOU,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.263,.300,.342,.642,1,1,0,0,0,0,.333,1.26,-0.100,0.99,-0.05%,-0.88,7,2B
