Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,172,1,2021-04-01,STL,@,CIN,W 11-6,CG,5,4,2,1,0,0,1,2,0,0,0,1,.250,.400,1.000,1.400,4,0,1,0,0,0,.000,0.44,0.052,0.48,0.03%,1.30,5,LF
2,173,2,2021-04-03,STL,@,CIN,L 6-9,CG,4,4,0,1,0,0,0,0,0,0,0,3,.250,.333,.625,.958,1,0,0,0,0,0,1.000,0.66,-0.057,0.72,-0.04%,-0.73,5,LF
3,174,3,2021-04-04,STL,@,CIN,L 1-12,CG,4,4,1,1,1,0,0,0,0,0,0,1,.250,.308,.583,.891,2,0,0,0,0,0,.333,0.56,0.056,0.60,0.04%,-0.07,5,LF
4,175,4,2021-04-05,STL,@,MIA,W 4-1,CG,4,4,0,0,0,0,0,0,0,1,0,2,.188,.235,.438,.673,0,0,0,0,0,0,.000,0.59,-0.109,0.56,-0.06%,-1.86,5,LF
5,176,5,2021-04-06,STL,@,MIA,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.150,.190,.350,.540,0,0,0,0,0,0,.000,1.29,-0.130,1.29,-0.08%,-1.14,7,LF
6,177,6,2021-04-07,STL,@,MIA,W 7-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.125,.160,.292,.452,0,0,0,0,0,0,.000,0.58,-0.061,0.60,-0.04%,-1.27,7,LF
7,178,7,2021-04-08,STL,,MIL,W 3-1,CG,3,3,0,1,0,0,0,1,0,0,0,2,.148,.179,.296,.475,1,0,0,0,0,0,1.000,2.64,0.172,3.03,0.12%,0.67,8,LF
8,179,8,2021-04-10,STL,,MIL,L 5-9,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,.143,.172,.286,.458,0,1,0,0,0,0,.000,2.21,-0.118,2.63,-0.08%,-1.11,7,LF
9,180,19,2021-04-23,STL,,CIN,W 5-4,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.138,.167,.276,.443,0,0,0,0,0,0,.000,0.11,-0.003,0.11,0.00%,-0.15,9,LF
10,181,20,2021-04-24,STL,,CIN,W 2-0,CG,4,3,1,0,0,0,0,0,0,0,1,0,.125,.176,.250,.426,0,0,0,0,0,0,.000,0.72,-0.020,0.79,-0.01%,-0.37,6,LF
11,182,21,2021-04-25,STL,,CIN,W 5-2,CG,3,3,2,2,0,0,2,2,0,0,0,1,.171,.216,.457,.673,8,0,0,0,0,0,,0.36,0.169,0.40,0.11%,1.78,7,LF
12,183,22,2021-04-26,STL,,PHI,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.158,.200,.421,.621,0,0,0,0,0,0,.000,1.31,-0.101,1.37,-0.06%,-0.60,7,LF
13,184,23,2021-04-27,STL,,PHI,W 5-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.167,.205,.405,.609,1,0,0,0,0,0,.333,0.60,-0.026,0.60,-0.02%,-0.48,6,LF
14,185,24,2021-04-28,STL,,PHI,L 3-5,CG,4,4,1,3,0,0,1,2,1,0,0,0,.217,.250,.500,.750,6,1,0,0,0,0,.667,1.35,0.180,1.38,0.11%,1.90,6,LF
15,186,25,2021-04-29,STL,,PHI,W 4-3 (10),CG(10),4,4,1,0,0,0,0,0,0,0,0,3,.200,.231,.460,.691,0,0,0,0,0,0,.000,2.22,0.122,2.30,0.08%,0.12,5,LF
16,187,26,2021-04-30,STL,@,PIT,W 7-3,CG,4,4,2,3,0,0,1,1,1,0,0,1,.241,.268,.537,.805,6,0,0,0,0,0,1.000,0.61,0.103,0.72,0.07%,1.44,6,LF
17,188,27,2021-05-01,STL,@,PIT,W 12-5,CG,5,5,1,2,0,0,0,2,0,0,0,1,.254,.279,.525,.804,2,0,0,0,0,0,.500,0.45,0.024,0.55,0.02%,0.68,6,LF
18,189,28,2021-05-02,STL,@,PIT,W 3-0,CG,4,4,1,2,1,0,0,0,0,0,0,0,.270,.292,.540,.832,3,0,0,0,0,0,.500,0.69,0.070,0.87,0.05%,0.80,6,LF
19,190,29,2021-05-03,STL,,NYM,W 6-5,CG,4,4,0,1,1,0,0,1,0,0,0,1,.269,.290,.537,.827,2,0,0,0,0,0,.333,0.96,0.062,1.16,0.05%,0.27,6,LF
20,191,30,2021-05-05 (1),STL,,NYM,W 4-1 (7),CG(7),3,2,0,0,0,0,0,0,0,0,1,0,.261,.292,.522,.813,0,0,0,0,0,0,.000,0.57,0.014,0.71,0.01%,0.27,6,LF
21,192,31,2021-05-05 (2),STL,,NYM,L 2-7 (7),CG(7),4,3,1,0,0,0,0,0,1,0,0,1,.250,.289,.500,.789,0,0,1,0,0,0,.000,0.67,0.012,0.86,0.01%,-0.15,6,LF
22,193,33,2021-05-07,STL,,COL,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.237,.275,.474,.749,0,0,0,0,0,0,.000,0.42,-0.045,0.50,-0.03%,-0.94,6,LF
23,194,34,2021-05-08,STL,,COL,W 9-8,GS-8,4,3,0,1,0,0,0,1,0,0,0,1,.241,.274,.468,.742,1,1,0,0,1,0,.333,0.56,-0.038,0.68,-0.03%,-0.87,7,LF
24,195,35,2021-05-09,STL,,COL,W 2-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.241,.274,.468,.742,0,,0,0,,,,,,,,,9,LF
25,196,36,2021-05-11,STL,@,MIL,W 6-1 (11),CG(11),5,5,1,1,0,0,1,3,0,0,0,2,.238,.270,.488,.758,4,0,0,0,0,0,.000,1.43,0.067,2.13,0.06%,1.98,7,LF
26,197,37,2021-05-12,STL,@,MIL,L 1-4,CG,3,3,1,1,0,0,1,1,0,0,0,1,.241,.272,.517,.789,4,0,0,0,0,0,.000,0.99,0.216,1.55,0.20%,0.66,7,LF
27,198,38,2021-05-13,STL,@,MIL,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.231,.260,.495,.755,0,0,0,0,0,0,.000,1.29,-0.116,2.08,-0.11%,-1.30,6,LF
28,199,39,2021-05-14,STL,@,SDP,L 4-5,CG,4,4,1,2,0,0,1,2,0,0,0,1,.242,.270,.526,.796,5,0,0,0,0,0,.500,1.00,0.077,1.31,0.06%,1.51,7,LF
29,200,40,2021-05-15,STL,@,SDP,L 3-13,CG,4,3,0,1,0,0,0,0,0,0,0,1,.245,.279,.520,.799,1,0,1,0,0,0,.500,0.28,-0.015,0.38,-0.01%,-0.06,6,LF
30,201,41,2021-05-16,STL,@,SDP,L 3-5,GS-7,3,2,0,1,1,0,0,0,1,0,1,0,.250,.290,.530,.820,2,0,0,0,0,0,.500,0.82,0.046,1.10,0.04%,0.35,6,LF
31,202,50,2021-05-27,STL,@,ARI,W 5-4 (10),GS-10,5,5,1,1,0,0,1,2,0,0,0,3,.248,.286,.543,.829,4,0,0,0,0,0,.000,0.97,0.087,1.24,0.07%,0.42,6,LF
32,203,51,2021-05-28,STL,@,ARI,W 8-6,CG,4,4,1,2,1,0,1,2,0,0,0,1,.257,.293,.578,.871,6,0,0,0,0,0,.500,0.38,0.134,0.51,0.11%,2.14,6,LF
33,204,52,2021-05-29,STL,@,ARI,W 7-4,CG,5,5,2,3,2,0,1,3,0,0,0,1,.272,.306,.623,.929,8,0,0,0,0,0,.667,0.54,0.052,0.73,0.04%,1.95,6,LF
34,205,53,2021-05-30,STL,@,ARI,L 2-9,CG,4,4,0,1,0,0,0,0,0,0,0,3,.271,.304,.610,.914,1,0,0,0,0,0,1.000,0.64,-0.011,0.84,-0.01%,-0.86,4,LF
35,206,54,2021-05-31,STL,@,LAD,L 4-9,CG,4,4,1,1,0,0,1,1,0,0,0,2,.270,.302,.623,.925,4,0,0,0,0,0,.000,0.52,0.031,0.74,0.03%,0.55,6,LF
36,207,55,2021-06-01,STL,@,LAD,W 3-2,CG,4,4,1,2,0,0,0,0,1,0,0,2,.278,.308,.619,.927,2,0,0,0,0,0,1.000,1.65,0.119,2.25,0.10%,0.03,6,LF
37,208,56,2021-06-02,STL,@,LAD,L 3-14,GS-6,2,2,0,1,0,0,0,0,0,0,0,0,.281,.311,.617,.928,1,0,0,0,0,0,.500,0.11,0.001,0.16,0.00%,0.06,5,LF
38,209,57,2021-06-03,STL,,CIN,L 2-4,CG,4,4,1,1,0,0,0,1,0,0,0,2,.280,.309,.606,.915,1,0,0,0,0,0,.500,1.66,-0.076,2.33,-0.06%,-0.29,3,LF
39,210,58,2021-06-04,STL,,CIN,L 4-6,CG,4,3,1,0,0,0,0,0,0,0,1,2,.274,.308,.593,.900,0,0,0,0,0,0,.000,0.77,-0.066,1.09,-0.06%,-0.42,6,LF
40,211,59,2021-06-05,STL,,CIN,L 2-5,CG,4,4,0,2,2,0,0,0,0,0,0,1,.281,.313,.604,.917,4,0,0,0,0,0,.667,0.97,0.156,1.32,0.13%,1.42,6,LF
41,212,60,2021-06-06,STL,,CIN,L 7-8,CG,5,5,1,1,0,0,1,2,0,0,0,0,.278,.309,.611,.920,4,0,0,0,0,0,.000,1.77,-0.253,2.35,-0.20%,0.04,5,LF
42,213,61,2021-06-08,STL,,CLE,L 1-10,CG,4,3,1,1,0,0,0,0,0,0,1,1,.279,.314,.605,.920,1,0,0,0,0,0,.500,0.43,0.014,0.46,0.01%,-0.14,5,LF
43,214,62,2021-06-09,STL,,CLE,W 8-2,CG,4,4,3,3,0,0,2,3,0,0,0,1,.291,.325,.649,.974,9,0,0,0,0,0,1.000,0.72,0.142,0.75,0.09%,2.57,5,LF
44,215,63,2021-06-11,STL,@,CHC,L 5-8,CG,4,3,1,0,0,0,0,0,0,0,0,2,.286,.323,.636,.960,0,0,1,0,0,0,.000,0.98,-0.060,1.30,-0.05%,-0.78,5,LF
45,216,64,2021-06-12,STL,@,CHC,L 2-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.285,.321,.627,.948,1,0,0,0,0,0,.333,0.55,-0.031,0.66,-0.02%,-0.10,5,LF
46,217,65,2021-06-13,STL,@,CHC,L 0-2,CG,4,3,0,1,0,0,0,0,0,0,1,2,.286,.326,.621,.947,1,0,0,0,0,0,1.000,1.04,-0.050,1.12,-0.03%,-0.44,5,LF
47,218,66,2021-06-14,STL,,MIA,W 4-2,CG,4,4,0,2,2,0,0,1,0,0,0,1,.291,.330,.630,.960,4,0,0,0,0,0,.667,1.71,0.169,1.35,0.08%,0.82,5,LF
48,219,67,2021-06-15,STL,,MIA,W 2-1,CG,3,2,0,0,0,0,0,0,0,1,1,2,.287,.330,.623,.952,0,0,0,0,0,0,,1.27,-0.073,1.07,-0.04%,-0.48,4,LF
49,220,68,2021-06-16,STL,,MIA,W 1-0,CG,4,4,0,1,0,0,0,0,0,1,0,1,.287,.328,.614,.942,1,1,0,0,0,0,.333,1.69,-0.127,1.56,-0.07%,-0.75,3,LF
50,221,69,2021-06-17,STL,@,ATL,L 0-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.282,.323,.603,.926,0,0,0,0,0,0,.000,0.86,-0.069,0.87,-0.04%,-0.66,5,LF
51,222,70,2021-06-18,STL,@,ATL,L 1-9,CG,3,3,0,0,0,0,0,0,0,0,0,1,.277,.317,.593,.911,0,0,0,0,0,0,.000,0.36,-0.028,0.36,-0.02%,-0.61,5,LF
