Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,107,1,2025-03-27,ATH,@,SEA,L 2-4,CG,3,3,2,2,0,0,2,2,0,0,0,1,.667,.667,2.667,3.333,8,0,0,0,0,0,,1.03,0.412,1.02,0.25%,1.91,28.00,37.40,6,1B
2,108,2,2025-03-28,ATH,@,SEA,W 7-0,CG,5,5,0,2,1,0,0,1,0,0,0,1,.500,.500,1.375,1.875,3,0,0,0,0,0,.500,0.64,-0.047,0.61,-0.03%,0.21,10.00,12.50,5,1B
3,109,3,2025-03-29,ATH,@,SEA,W 4-2,CG,4,4,0,1,0,0,0,0,0,0,0,3,.417,.417,1.000,1.417,1,0,0,0,0,0,1.000,0.67,-0.050,0.69,-0.03%,-0.32,3.00,3.00,5,1B
4,110,4,2025-03-30,ATH,@,SEA,L 1-2,CG,4,3,1,2,0,0,1,1,0,0,1,0,.467,.500,1.133,1.633,5,1,0,0,0,0,.500,1.30,0.203,1.36,0.13%,1.14,19.00,24.70,5,1B
5,111,5,2025-03-31,ATH,,CHC,L 3-18,CG,4,4,0,0,0,0,0,0,0,0,0,2,.368,.400,.895,1.295,0,0,0,0,0,0,.000,0.40,-0.040,0.36,-0.02%,-0.88,0.00,0.00,5,1B
6,112,6,2025-04-01,ATH,,CHC,L 4-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,.348,.375,.783,1.158,1,0,0,0,0,0,.250,1.20,-0.049,1.04,-0.03%,-0.40,3.00,3.00,6,1B
7,113,7,2025-04-02,ATH,,CHC,L 2-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.296,.321,.667,.988,0,0,0,0,0,0,.000,0.49,-0.046,0.41,-0.02%,-0.79,0.00,0.00,5,1B
8,114,8,2025-04-04,ATH,@,COL,W 6-3 (11),CG(11),5,4,1,2,0,0,0,1,0,0,1,1,.323,.364,.645,1.009,2,0,0,0,0,0,.667,2.03,0.120,1.64,0.06%,1.04,12.00,15.70,5,1B
9,115,9,2025-04-05,ATH,@,COL,W 7-4,CG,5,5,1,2,1,0,0,1,0,0,0,1,.333,.368,.639,1.007,3,0,0,0,0,0,.500,1.39,0.197,1.14,0.10%,1.32,12.00,15.70,5,1B
10,116,10,2025-04-06,ATH,@,COL,L 5-12,CG,4,3,2,2,0,0,1,2,0,0,1,0,.359,.405,.718,1.123,5,0,0,0,0,0,.500,0.53,0.208,0.47,0.11%,2.28,23.00,31.40,4,1B
11,117,11,2025-04-07,ATH,,SDP,L 4-5,CG,4,3,2,2,0,0,2,2,0,0,1,0,.381,.435,.857,1.292,8,0,0,0,0,0,.000,1.02,0.142,0.87,0.07%,1.64,30.00,40.40,3,1B
12,118,12,2025-04-08,ATH,,SDP,W 10-4,GS-8,4,3,1,1,0,0,0,0,0,0,1,0,.378,.440,.822,1.262,1,0,0,0,0,0,.333,0.56,0.011,0.44,0.01%,-0.07,7.00,9.20,3,1B
13,119,13,2025-04-09,ATH,,SDP,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,0,.354,.426,.771,1.197,0,0,0,0,0,0,.000,1.61,0.062,1.33,0.03%,-0.11,2.00,3.00,3,1B
14,120,14,2025-04-11,ATH,,NYM,L 6-7,CG,5,4,1,0,0,0,0,0,0,0,1,0,.327,.407,.712,1.118,0,0,0,0,0,0,.000,2.05,-0.224,1.64,-0.11%,-1.78,4.00,6.20,3,1B
15,121,15,2025-04-12,ATH,,NYM,W 3-1,CG,4,4,1,1,0,0,0,1,0,0,0,2,.321,.397,.679,1.075,1,0,0,0,0,0,.500,0.79,0.031,0.61,0.01%,-0.07,7.00,9.70,3,1B
16,122,16,2025-04-13,ATH,,NYM,L 0-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.305,.388,.644,1.032,0,0,0,0,0,0,.000,1.07,-0.041,0.83,-0.02%,-0.66,2.00,3.00,3,1B
17,123,17,2025-04-15,ATH,@,CHW,W 12-3,CG,5,5,3,3,0,0,2,6,0,0,0,0,.328,.403,.734,1.137,9,0,0,0,0,0,.333,0.97,0.186,0.76,0.09%,4.16,41.00,57.60,3,1B
18,124,18,2025-04-16,ATH,@,CHW,W 3-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.324,.395,.706,1.101,1,0,0,0,0,0,.333,1.03,-0.007,0.87,0.00%,-0.40,5.00,6.20,3,1B
19,125,19,2025-04-17,ATH,@,CHW,W 8-0,CG,5,5,1,1,0,0,1,1,0,0,0,1,.315,.383,.712,1.095,4,0,0,0,0,0,.000,0.45,-0.006,0.40,0.00%,0.22,14.00,18.70,3,1B
20,126,20,2025-04-18,ATH,@,MIL,L 3-5,CG,5,4,0,2,0,0,0,1,0,0,0,0,.325,.384,.701,1.085,2,0,0,0,1,0,.400,1.52,-0.116,1.35,-0.06%,-0.45,8.00,9.50,3,1B
21,127,21,2025-04-19,ATH,@,MIL,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.309,.367,.667,1.033,0,0,0,0,0,0,.000,0.86,-0.086,0.74,-0.05%,-0.82,0.00,0.00,3,1B
22,128,22,2025-04-20,ATH,@,MIL,L 1-14,CG,4,3,0,0,0,0,0,0,0,0,1,3,.298,.362,.643,1.005,0,0,0,0,0,0,,0.18,-0.002,0.17,0.00%,-0.10,2.00,3.00,3,1B
23,129,23,2025-04-22,ATH,,TEX,L 5-8,CG,5,5,0,0,0,0,0,0,0,0,0,1,.281,.343,.607,.950,0,0,0,0,0,0,.000,0.74,-0.088,0.71,-0.05%,-1.30,0.00,0.00,3,1B
24,130,24,2025-04-23,ATH,,TEX,W 5-2,GS-9,4,3,2,1,1,0,0,0,0,0,1,1,.283,.350,.609,.958,2,0,0,0,0,0,.500,0.26,0.031,0.23,0.02%,0.28,11.00,15.40,3,LF
25,131,25,2025-04-24,ATH,,TEX,W 4-3,CG,4,4,0,2,1,0,0,2,0,0,0,0,.292,.355,.615,.970,3,0,0,0,0,0,.500,1.61,0.194,1.57,0.11%,1.87,12.00,16.00,3,LF 1B
26,132,26,2025-04-25,ATH,,CHW,W 6-5,CG,4,4,1,3,0,0,0,1,1,0,0,0,.310,.369,.620,.989,3,0,0,0,0,0,.750,0.85,0.133,0.76,0.07%,1.15,18.00,21.70,3,LF 1B
27,133,27,2025-04-26,ATH,,CHW,L 3-10,CG,4,3,0,0,0,0,0,0,0,0,1,1,.301,.365,.602,.967,0,1,0,0,0,0,.000,0.47,-0.044,0.45,-0.03%,-0.55,2.00,3.00,3,DH
28,134,28,2025-04-27,ATH,,CHW,W 3-2 (10),GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.292,.361,.585,.946,0,1,0,0,0,0,.000,1.63,-0.162,1.47,-0.09%,-1.46,2.00,3.00,4,LF
