Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,521,3,2024-03-30,HOU,,NYY,L 3-5,CG,3,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,1,0,0,0,0,0,.500,0.95,-0.035,0.81,-0.02%,-0.21,5.00,6.20,9,C
2,522,4,2024-03-31,HOU,,NYY,L 3-4,9-9,1,1,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,1.000,5.40,0.185,4.19,0.09%,0.61,3.00,3.00,9,PH
3,523,6,2024-04-02,HOU,,TOR,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,2,.286,.286,.286,.571,0,0,0,0,0,0,.000,0.94,-0.074,0.76,-0.04%,-0.81,0.00,0.00,9,C
4,524,11,2024-04-08,HOU,@,TEX,W 10-5,CG,4,4,2,2,0,0,1,3,0,0,0,1,.364,.364,.636,1.000,5,0,0,0,0,0,.500,0.89,0.135,0.74,0.07%,2.11,23.00,31.90,9,C
5,525,12,2024-04-09,HOU,@,KCR,L 3-4 (10),10-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.333,.333,.583,.917,0,0,0,0,0,0,,3.42,-0.092,2.66,-0.04%,-0.36,0.00,0.00,7,PH 1B
6,526,14,2024-04-11,HOU,@,KCR,L 3-13,CG,4,4,1,1,1,0,0,0,0,0,0,1,.313,.313,.563,.875,2,0,0,0,0,0,.333,0.14,-0.010,0.10,0.00%,-0.65,7.00,9.20,8,C
7,527,16,2024-04-13,HOU,,TEX,W 9-2,7-7,1,1,0,1,0,0,0,1,0,0,0,0,.353,.353,.588,.941,1,0,0,0,0,0,1.000,4.07,0.131,2.62,0.05%,1.00,5.00,6.50,9,PH
8,528,17,2024-04-14,HOU,,TEX,W 8-5,CG,4,4,1,1,1,0,0,2,0,0,0,1,.333,.333,.571,.905,2,0,0,0,0,0,.333,0.62,0.093,0.44,0.04%,1.15,11.00,16.20,7,C
9,529,19,2024-04-16,HOU,,ATL,L 2-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.318,.318,.545,.864,0,0,0,0,0,0,.000,0.52,-0.014,0.32,-0.01%,-0.43,0.00,0.00,9,PH
10,530,20,2024-04-17,HOU,,ATL,L 4-5 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.269,.269,.462,.731,0,1,0,0,0,0,.000,0.99,-0.121,0.56,-0.04%,-0.99,0.00,0.00,9,C
11,531,23,2024-04-21,HOU,@,WSN,L 0-6,CG,3,3,0,1,0,0,0,0,0,0,0,0,.276,.276,.448,.724,1,0,0,0,0,0,.333,0.37,0.009,0.21,0.00%,0.28,3.00,3.00,9,C
12,532,25,2024-04-24,HOU,@,CHC,L 3-4,CG,4,2,1,1,1,0,0,0,0,0,2,0,.290,.333,.484,.817,2,0,0,0,0,0,.500,1.49,0.000,0.69,0.00%,0.35,11.00,15.20,8,C
13,533,28,2024-04-28,HOU,@,COL,W 8-2,CG,4,3,1,1,0,0,0,0,0,0,0,0,.294,.351,.471,.822,1,0,1,0,0,0,.333,0.55,0.020,0.23,0.01%,0.37,7.00,9.20,9,C
14,534,29,2024-04-30,HOU,,CLE,W 10-9 (10),10-GF(10),1,1,1,1,0,0,1,2,0,0,0,0,.314,.368,.571,.940,4,0,0,0,0,0,,5.84,0.842,2.71,0.23%,1.75,16.00,22.20,9,PH
15,535,30,2024-05-01,HOU,,CLE,L 2-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.282,.333,.513,.846,0,0,0,0,0,0,.000,2.11,-0.248,1.04,-0.07%,-1.33,0.00,0.00,7,C
16,536,33,2024-05-04,HOU,,SEA,L 0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.262,.311,.476,.787,0,1,0,0,0,0,.000,0.64,-0.053,0.37,-0.02%,-0.96,0.00,0.00,9,C
17,537,35,2024-05-07,HOU,@,NYY,L 3-10,CG,4,4,1,0,0,0,0,0,0,0,0,0,.239,.286,.435,.720,0,1,0,0,0,0,.000,0.45,-0.047,0.18,-0.01%,-0.80,2.00,3.20,7,C
18,538,38,2024-05-10,HOU,@,DET,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.245,.302,.429,.730,1,0,0,0,0,0,.333,0.90,0.031,0.34,0.01%,-0.13,5.00,6.00,8,C
19,539,41,2024-05-13,HOU,,OAK,W 9-2,CG,4,4,0,1,1,0,0,2,0,0,0,1,.245,.298,.434,.732,2,0,0,0,0,0,.333,0.35,-0.033,0.15,-0.01%,0.80,9.00,13.00,8,C
20,540,42,2024-05-14,HOU,,OAK,W 2-1 (10),10-GF(10),1,1,0,1,0,0,0,1,0,0,0,0,.259,.310,.444,.755,1,0,0,0,0,0,1.000,4.78,0.175,2.36,0.05%,0.58,5.00,6.50,9,PH
21,541,45,2024-05-17,HOU,,MIL,W 5-4,CG,4,4,1,2,0,0,0,0,0,0,0,1,.276,.323,.448,.771,2,0,0,0,0,0,.667,1.03,-0.006,0.62,0.00%,-0.50,8.00,9.20,8,C
22,542,46,2024-05-18,HOU,,MIL,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.271,.317,.441,.758,0,0,0,0,0,0,,1.67,-0.046,1.10,-0.02%,-0.35,0.00,0.00,9,PH
23,543,47,2024-05-19,HOU,,MIL,W 9-4,CG,5,4,1,0,0,0,0,0,0,0,0,1,.254,.309,.413,.722,0,0,1,0,0,0,.000,0.52,-0.035,0.31,-0.01%,-1.15,4.00,6.20,8,C
24,544,49,2024-05-21,HOU,,LAA,W 6-5 (10),9-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.250,.304,.406,.711,0,0,0,0,0,0,.000,2.61,-0.112,1.56,-0.04%,-0.43,0.00,0.00,9,PH C
25,545,50,2024-05-22,HOU,,LAA,L 1-2,CG,3,3,0,1,1,0,0,0,0,0,0,0,.254,.306,.418,.723,2,0,0,0,0,0,.333,1.88,-0.085,1.15,-0.03%,-0.23,5.00,6.00,9,C
26,546,54,2024-05-27,HOU,@,SEA,L 2-3,CG,3,2,0,1,0,0,0,1,0,0,0,0,.261,.307,.420,.727,1,0,0,0,1,0,.333,1.43,0.033,1.11,0.02%,0.18,5.00,6.50,9,C
27,547,56,2024-05-29,HOU,@,SEA,L 1-2 (10),10-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.257,.303,.414,.717,0,0,0,0,0,0,.000,3.42,-0.092,2.13,-0.04%,-0.33,0.00,0.00,9,PH C
28,548,57,2024-05-30,HOU,@,SEA,W 4-0,CG,4,4,1,1,0,0,1,2,0,0,0,0,.257,.300,.446,.746,4,0,0,0,0,0,.000,0.48,0.088,0.27,0.03%,0.85,16.00,22.20,7,C
