Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,134,1,2024-03-28,KCR,,MIN,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.16,-0.112,1.19,-0.07%,-0.80,0.00,0.00,3,1B
2,135,2,2024-03-30,KCR,,MIN,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.125,.000,.125,0,0,0,0,0,0,.000,1.20,-0.067,1.14,-0.04%,-0.34,2.00,3.00,3,1B
3,136,3,2024-03-31,KCR,,MIN,W 11-0,CG,5,4,1,1,0,0,0,0,0,0,1,2,.091,.231,.091,.322,1,0,0,0,0,0,.500,0.28,0.023,0.25,0.01%,-0.36,7.00,9.20,3,DH
4,137,4,2024-04-01,KCR,@,BAL,L 4-6,GS-8,4,3,1,1,0,0,0,0,0,0,1,0,.143,.294,.143,.437,1,0,0,0,0,0,.333,1.38,0.062,1.22,0.03%,0.27,7.00,9.20,3,1B
5,138,5,2024-04-02,KCR,@,BAL,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.167,.286,.167,.452,1,0,0,0,0,0,.250,0.46,-0.026,0.39,-0.01%,-0.62,3.00,3.00,3,1B
6,139,6,2024-04-03,KCR,@,BAL,L 3-4,CG,4,3,1,0,0,0,0,0,0,0,1,0,.143,.280,.143,.423,0,0,0,0,0,0,.000,0.88,-0.107,0.81,-0.06%,-0.96,4.00,6.20,3,DH
7,140,7,2024-04-04,KCR,,CHW,W 10-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.120,.241,.120,.361,0,0,0,0,0,0,.000,0.60,-0.066,0.48,-0.03%,-1.39,0.00,0.00,3,1B
8,141,8,2024-04-05,KCR,,CHW,W 2-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.138,.242,.138,.380,1,0,0,0,0,0,.333,0.88,-0.067,0.76,-0.04%,-0.38,5.00,6.20,3,1B
9,142,9,2024-04-06,KCR,,CHW,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.121,.216,.121,.337,0,0,0,0,0,0,.000,1.28,-0.141,1.19,-0.08%,-1.84,0.00,0.00,3,1B
10,143,11,2024-04-09,KCR,,HOU,W 4-3 (10),GS-10,5,4,0,0,0,0,0,0,0,0,1,0,.108,.214,.108,.322,0,0,0,0,0,0,.000,1.13,0.087,1.15,0.05%,0.55,2.00,3.00,3,1B
