Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,4,2021-10-12,ATL,,MIL,W 5-4,NLDS G4,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2.22,-0.064,49.16,-0.80%,-0.34,,,8,PH
2,2,1,2022-10-11,ATL,,PHI,L 6-7,NLDS G1,CG,5,4,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,.333,1.62,-0.168,25.44,-1.68%,-0.76,,,5,DH
3,3,3,2022-10-14,ATL,@,PHI,L 1-9,NLDS G3,7-7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.66,-0.015,13.81,-0.17%,-0.36,,,9,PH
4,4,4,2022-10-15,ATL,@,PHI,L 3-8,NLDS G4,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.59,-0.045,13.14,-0.56%,-0.49,,,7,DH
5,5,1,2023-10-03,MIL,,ARI,L 3-6,NLWC G1,CG,5,4,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,.667,1.27,0.020,13.18,0.06%,0.30,,,2,C
6,6,2,2023-10-04,MIL,,ARI,L 2-5,NLWC G2,CG,5,5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,1.24,-0.025,13.70,-0.12%,-0.73,,,2,C
7,7,1,2024-10-01,MIL,,NYM,L 4-8,NLWC G1,CG,4,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,.333,1.25,0.016,13.00,0.07%,0.11,7.00,10.00,3,C
8,8,2,2024-10-02,MIL,,NYM,W 5-3,NLWC G2,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.333,1.57,-0.191,17.34,-1.25%,-1.12,3.00,3.00,3,C
9,9,3,2024-10-03,MIL,,NYM,L 2-4,NLWC G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.08,-0.106,22.45,-1.24%,-1.30,0.00,0.00,3,DH
,,,,,,,2-7,,,32,30,1,6,1,0,0,2,0,0,2,10,7,2,0,0,0,0,.300,1.28,-0.578,20.14,-5.69%,-4.68,10.00,13.00,,
