Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1142,1,2024-03-28,SFG,@,SDP,L 4-6,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.47,-0.069,1.48,-0.04%,-0.52,0.00,0.00,3,PH 1B
2,1143,2,2024-03-29,SFG,@,SDP,W 8-3,CG,5,4,1,1,0,0,0,1,0,0,0,0,.167,.286,.167,.452,1,0,1,0,0,0,.250,0.36,0.032,0.35,0.02%,0.47,9.00,12.70,5,1B
3,1144,3,2024-03-30,SFG,@,SDP,W 9-6,CG,4,3,2,1,0,0,0,1,0,0,1,0,.222,.364,.222,.586,1,0,0,0,0,0,.333,0.52,0.030,0.53,0.02%,0.99,11.00,15.90,5,1B
4,1145,4,2024-03-31,SFG,@,SDP,L 4-13,GS-2,0,0,0,0,0,0,0,0,0,0,0,0,.222,.364,.222,.586,0,,0,0,,,,,,,,,0.00,0.00,5,1B
5,1146,5,2024-04-01,SFG,@,LAD,L 3-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,.231,.333,.231,.564,1,0,0,0,0,0,.250,1.80,-0.169,1.86,-0.11%,-1.03,5.00,6.50,5,1B
6,1147,6,2024-04-02,SFG,@,LAD,L 4-5,CG,4,3,1,2,1,0,0,0,0,0,1,0,.313,.421,.375,.796,3,0,0,0,0,0,.667,1.61,0.270,1.61,0.16%,1.87,12.00,15.20,5,1B
7,1148,8,2024-04-05,SFG,,SDP,W 3-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.294,.400,.353,.753,0,0,0,0,0,0,,1.36,-0.033,1.22,-0.02%,-0.15,0.00,0.00,2,PH 1B
8,1149,9,2024-04-06,SFG,,SDP,L 0-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.278,.381,.333,.714,0,0,0,0,0,0,.000,0.74,-0.020,0.71,-0.01%,-0.35,0.00,0.00,2,PH 1B
9,1150,10,2024-04-07,SFG,,SDP,W 3-2,8-8,1,1,0,1,0,0,0,0,0,0,0,0,.316,.409,.368,.778,1,0,0,0,0,0,1.000,1.81,0.069,1.58,0.04%,0.25,3.00,3.00,2,PH
10,1151,11,2024-04-08,SFG,,WSN,L 1-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.261,.346,.304,.651,0,1,0,0,0,0,.000,0.99,-0.116,0.90,-0.06%,-1.50,0.00,0.00,2,1B
11,1152,12,2024-04-09,SFG,,WSN,L 3-5,5-9,3,3,0,1,0,0,0,0,0,0,0,1,.269,.345,.308,.653,1,0,0,0,0,0,.500,2.48,0.045,2.17,0.02%,0.03,3.00,3.00,2,PH 1B
12,1153,13,2024-04-10,SFG,,WSN,W 7-1,CG,4,3,0,0,0,0,0,1,0,0,0,0,.241,.303,.276,.579,0,0,0,0,1,0,.000,0.54,-0.018,0.42,-0.01%,-0.66,2.00,3.50,2,1B
13,1154,14,2024-04-12,SFG,@,TBR,L 1-2,6-9,2,1,0,0,0,0,0,0,0,0,1,1,.233,.314,.267,.581,0,0,0,0,0,0,,1.76,0.098,1.43,0.05%,0.28,2.00,3.00,7,PH 1B
14,1155,16,2024-04-14,SFG,@,TBR,L 4-9,CG,4,4,0,1,0,0,0,0,0,0,0,1,.235,.308,.265,.572,1,0,0,0,0,0,.333,0.59,-0.046,0.46,-0.02%,-0.38,3.00,3.00,2,1B
