Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,610,1,2024-03-28,TBR,,TOR,L 2-8,CG,4,4,1,3,1,0,1,2,0,0,0,0,.750,.750,1.750,2.500,7,0,0,0,0,0,.667,0.60,0.175,0.59,0.10%,2.03,24.00,31.20,1,1B
2,611,2,2024-03-29,TBR,,TOR,W 8-2,CG,5,5,2,2,0,0,0,2,0,0,0,1,.556,.556,1.000,1.556,2,0,0,0,0,0,.500,0.61,0.089,0.59,0.05%,2.57,14.00,19.40,1,1B
3,612,3,2024-03-30,TBR,,TOR,W 5-1,CG,5,3,0,0,0,0,0,1,0,0,1,0,.417,.429,.750,1.179,0,0,0,0,1,0,.000,0.58,-0.004,0.55,0.00%,-0.20,4.00,6.50,1,1B
4,613,4,2024-03-31,TBR,,TOR,L 2-9,GS-8,3,2,0,0,0,0,0,0,0,0,1,2,.357,.412,.643,1.055,0,0,0,0,0,0,,0.80,-0.038,0.81,-0.02%,-0.13,2.00,3.00,1,1B
5,614,5,2024-04-01,TBR,,TEX,L 3-9,CG,5,5,0,0,0,0,0,0,0,0,0,3,.263,.318,.474,.792,0,0,0,0,0,0,.000,0.55,-0.074,0.50,-0.04%,-1.49,0.00,0.00,1,DH
6,615,6,2024-04-02,TBR,,TEX,W 5-2,CG,4,4,1,1,0,0,0,1,0,0,0,1,.261,.308,.435,.742,1,0,0,0,0,0,.333,0.69,0.087,0.58,0.04%,0.59,7.00,9.70,1,1B
7,616,7,2024-04-03,TBR,,TEX,L 1-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.269,.333,.423,.756,1,0,0,0,0,0,.333,2.27,-0.181,2.04,-0.10%,-0.42,5.00,6.00,1,1B
8,617,8,2024-04-05,TBR,@,COL,L 7-10,CG,5,4,2,2,1,0,0,1,0,0,1,1,.300,.371,.467,.838,3,0,0,0,0,0,.667,0.87,0.092,0.72,0.05%,1.50,16.00,21.90,1,1B
9,618,9,2024-04-06,TBR,@,COL,W 8-6,CG,5,5,0,1,0,0,0,2,0,0,0,1,.286,.350,.429,.779,1,0,0,0,0,0,.250,2.01,0.208,1.50,0.09%,0.45,7.00,10.00,1,1B
10,619,10,2024-04-07,TBR,@,COL,W 3-2,CG,5,5,0,0,0,0,0,0,0,0,0,1,.250,.311,.375,.686,0,0,0,0,0,0,.000,0.78,-0.099,0.63,-0.05%,-1.57,0.00,0.00,1,DH
11,620,11,2024-04-08,TBR,@,LAA,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.227,.286,.341,.627,0,0,0,0,0,0,.000,0.44,-0.045,0.41,-0.03%,-0.80,0.00,0.00,1,1B
12,621,12,2024-04-09,TBR,@,LAA,W 6-4,CG,5,5,0,0,0,0,0,0,0,0,0,1,.204,.259,.306,.565,0,0,0,0,0,0,.000,0.98,-0.128,0.83,-0.07%,-1.40,0.00,0.00,1,1B
13,622,13,2024-04-10,TBR,@,LAA,W 4-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,.208,.259,.302,.561,1,0,0,0,0,0,.250,0.90,0.102,0.83,0.06%,0.80,5.00,6.20,1,1B
14,623,14,2024-04-12,TBR,,SFG,W 2-1,CG,4,3,0,0,0,0,0,1,0,0,1,0,.196,.258,.286,.544,0,0,0,0,0,0,.000,1.43,0.049,1.27,0.03%,0.35,4.00,6.50,1,1B
15,624,15,2024-04-13,TBR,,SFG,L 2-11,GS-8,3,3,0,1,0,0,0,0,0,0,0,1,.203,.262,.288,.550,1,1,0,0,0,0,.500,1.09,-0.085,1.01,-0.05%,-0.57,3.00,3.00,1,1B
16,625,16,2024-04-14,TBR,,SFG,W 9-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,.206,.261,.302,.562,2,0,0,0,0,0,.250,0.40,0.046,0.35,0.02%,0.14,7.00,9.20,1,1B
17,626,17,2024-04-15,TBR,,LAA,L 3-7,CG,4,4,1,1,0,0,0,0,0,0,0,1,.209,.260,.299,.559,1,0,0,0,0,0,.333,1.08,-0.085,1.03,-0.05%,-0.71,5.00,6.20,1,1B
18,627,18,2024-04-16,TBR,,LAA,W 7-6 (13),GS-10,5,4,0,0,0,0,0,0,0,0,1,0,.197,.256,.282,.538,0,0,0,0,0,0,.000,1.89,0.255,1.79,0.15%,0.46,2.00,3.00,1,1B
19,628,19,2024-04-17,TBR,,LAA,L 4-5,CG,5,5,1,2,1,0,0,0,0,0,0,0,.211,.265,.303,.568,3,0,0,0,0,0,.400,2.12,-0.199,2.09,-0.12%,-0.55,10.00,12.20,1,1B
20,629,20,2024-04-18,TBR,,LAA,W 2-1,CG,4,4,0,2,0,0,0,0,0,0,0,0,.225,.276,.313,.588,2,0,0,0,0,0,.500,0.49,0.001,0.47,0.00%,0.18,6.00,6.00,1,DH
21,630,21,2024-04-19,TBR,@,NYY,L 3-5,GS-9,5,5,0,1,0,0,0,0,0,0,0,1,.224,.272,.306,.578,1,1,0,0,0,0,.250,1.52,-0.006,1.64,0.00%,-0.58,3.00,3.00,1,1B
22,631,22,2024-04-20,TBR,@,NYY,W 2-0 (10),CG(10),5,5,0,2,0,0,0,0,0,0,0,1,.233,.278,.311,.589,2,0,0,0,0,0,.500,1.07,-0.052,1.07,-0.03%,-0.53,6.00,6.00,1,1B
