Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1019,1,2022-04-08,CHW,@,DET,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.63,-0.044,0.63,-0.03%,-1.03,4,C
2,1020,2,2022-04-09,CHW,@,DET,W 5-2,CG,4,4,1,1,0,0,1,2,0,0,0,1,.143,.250,.571,.821,4,0,0,0,0,0,.000,0.96,0.001,0.91,0.00%,0.20,4,C
3,1021,4,2022-04-12,CHW,,SEA,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.182,.250,.455,.705,1,0,0,0,0,0,.333,0.86,-0.051,0.87,-0.03%,-0.92,4,DH
4,1022,5,2022-04-13,CHW,,SEA,W 6-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.200,.250,.400,.650,1,0,0,0,0,0,.250,0.45,-0.025,0.48,-0.02%,-0.43,4,C
5,1023,7,2022-04-15,CHW,,TBR,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.167,.211,.333,.544,0,0,0,0,0,0,.000,0.78,-0.062,0.80,-0.04%,-0.70,4,C
6,1024,8,2022-04-16,CHW,,TBR,W 3-2,CG,4,4,0,1,0,0,0,1,0,0,0,1,.182,.217,.318,.536,1,0,0,0,0,0,.333,1.07,0.041,1.18,0.03%,0.04,4,DH
7,1025,9,2022-04-17,CHW,,TBR,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,1,2,.160,.222,.280,.502,0,0,0,0,0,0,.000,1.33,-0.076,1.47,-0.05%,-0.74,4,C
8,1026,10,2022-04-20 (1),CHW,@,CLE,L 1-11,CG,4,4,0,0,0,0,0,0,0,0,0,0,.138,.194,.241,.435,0,0,0,0,0,0,.000,0.18,-0.017,0.20,-0.01%,-0.73,5,C
9,1027,11,2022-04-20 (2),CHW,@,CLE,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.121,.171,.212,.384,0,0,0,0,0,0,.000,1.34,-0.141,1.48,-0.09%,-0.89,4,DH
10,1028,12,2022-04-21,CHW,@,CLE,L 3-6,CG,4,3,0,0,0,0,0,1,0,0,0,0,.111,.154,.194,.348,0,0,0,0,1,0,.000,1.07,-0.070,1.19,-0.05%,-0.64,5,C
11,1029,14,2022-04-23,CHW,@,MIN,L 2-9,CG,4,3,0,1,1,0,0,0,0,0,1,0,.128,.186,.231,.417,2,0,0,0,0,0,.333,0.41,0.013,0.41,0.01%,0.14,4,DH
