Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,630,1,2025-03-27,HOU,,NYM,W 3-1,CG,4,2,0,0,0,0,0,0,0,0,2,1,.000,.500,.000,.500,0,0,0,0,0,0,.000,0.56,-0.021,0.50,-0.01%,-0.20,4.00,6.00,3,DH
2,631,2,2025-03-28,HOU,,NYM,L 1-3,CG,4,2,0,0,0,0,0,1,0,0,1,0,.000,.375,.000,.375,0,0,0,0,1,0,.000,2.04,-0.002,1.96,0.00%,0.05,4.00,6.50,3,DH
3,632,3,2025-03-29,HOU,,NYM,W 2-1,CG,4,4,0,1,1,0,0,1,0,0,0,1,.125,.333,.250,.583,2,0,0,0,0,0,.333,1.20,0.106,1.08,0.06%,-0.16,7.00,9.50,3,DH
4,633,4,2025-03-31,HOU,,SFG,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.083,.250,.167,.417,0,0,0,0,0,0,.000,0.89,-0.092,0.80,-0.05%,-1.05,0.00,0.00,3,DH
5,634,5,2025-04-01,HOU,,SFG,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.063,.200,.125,.325,0,0,0,0,0,0,.000,1.25,-0.118,1.12,-0.06%,-0.76,0.00,0.00,3,DH
6,635,6,2025-04-02,HOU,,SFG,L 3-6,CG,5,4,0,2,0,0,0,2,0,0,1,1,.150,.280,.200,.480,2,0,0,0,0,0,.667,1.07,0.234,0.92,0.12%,1.81,12.00,16.00,3,LF
7,636,7,2025-04-03,HOU,@,MIN,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.125,.241,.167,.408,0,0,0,0,0,0,.000,0.45,-0.047,0.38,-0.02%,-0.68,0.00,0.00,3,DH
8,637,8,2025-04-05,HOU,@,MIN,L 1-6,CG,5,5,0,1,0,0,0,0,0,0,0,2,.138,.235,.172,.408,1,0,0,0,0,0,.333,0.60,-0.051,0.56,-0.03%,-1.12,3.00,3.00,3,DH
9,638,9,2025-04-06,HOU,@,MIN,W 9-7 (10),CG(10),5,4,1,2,0,0,1,3,0,0,0,0,.182,.256,.303,.559,5,0,0,0,1,0,.250,1.86,0.322,1.64,0.17%,1.48,21.00,28.70,3,DH
10,639,10,2025-04-07,HOU,@,SEA,L 3-4,CG,4,1,0,0,0,0,0,0,0,0,3,1,.176,.302,.294,.596,0,0,0,0,0,1,,2.01,0.019,1.85,0.01%,0.06,6.00,9.00,3,LF
