Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,122,1,2023-03-30,DET,@,TBR,L 0-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.89,-0.023,0.82,-0.01%,-0.24,1,PH RF
2,123,2,2023-04-01,DET,@,TBR,L 2-12,CG,4,4,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,.333,0.51,-0.052,0.48,-0.03%,-0.70,8,2B
3,124,3,2023-04-02,DET,@,TBR,L 1-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.167,.167,.167,.333,0,0,0,0,0,0,,0.12,-0.003,0.10,0.00%,-0.11,8,PH 2B
4,125,4,2023-04-03,DET,@,HOU,W 7-6 (11),GS-8,4,4,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,.500,1.07,-0.036,0.88,-0.02%,-0.30,8,2B
5,126,6,2023-04-05,DET,@,HOU,L 2-8,CG,4,4,1,1,0,0,0,0,1,0,0,1,.214,.214,.214,.429,1,0,0,0,0,0,.333,1.23,-0.060,1.10,-0.03%,-0.64,8,2B
6,127,8,2023-04-08,DET,,BOS,L 5-14,CG,4,3,1,0,0,0,0,0,0,0,1,0,.176,.222,.176,.399,0,0,0,0,0,0,.000,0.16,-0.017,0.13,-0.01%,-0.52,8,2B P
7,128,9,2023-04-09,DET,,BOS,L 1-4,8-GF,2,2,0,0,0,0,0,0,0,0,0,0,.158,.200,.158,.358,0,0,0,0,0,0,.000,3.38,-0.151,2.67,-0.07%,-1.05,9,PH RF
8,129,12,2023-04-13,DET,@,TOR,W 3-1,GS-7,3,2,0,1,1,0,0,1,0,0,1,0,.190,.261,.238,.499,2,0,0,0,0,0,.500,1.30,0.169,0.86,0.07%,1.39,8,2B
9,130,13,2023-04-14,DET,,SFG,W 7-5 (11),8-GF(11),2,2,1,0,0,0,0,0,1,0,0,1,.174,.240,.217,.457,0,0,0,0,0,0,.000,3.39,0.264,2.09,0.10%,0.78,8,PH 2B
10,131,14,2023-04-15,DET,,SFG,W 7-6 (11),CG(11),4,4,1,1,1,0,0,1,0,0,0,2,.185,.241,.259,.501,2,0,0,0,0,0,.500,1.15,-0.050,0.80,-0.02%,0.56,7,3B
11,132,15,2023-04-18 (1),DET,,CLE,W 4-3,CG,4,4,0,2,0,0,0,0,0,1,0,0,.226,.273,.290,.563,2,0,0,0,0,0,.500,1.18,-0.089,0.96,-0.04%,-0.53,8,2B
12,133,17,2023-04-19,DET,,CLE,L 2-3,8-GF,1,1,1,1,0,0,1,1,0,0,0,0,.250,.294,.406,.700,4,0,0,0,0,0,,1.73,0.142,1.62,0.08%,1.00,9,PH LF
13,134,18,2023-04-21,DET,@,BAL,L 1-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.242,.286,.394,.680,0,0,0,0,0,0,,1.02,-0.026,0.89,-0.01%,-0.10,8,PH 2B
