Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,26,1,2020-07-24,HOU,,SEA,W 8-2,6-GF,2,1,1,1,1,0,0,0,0,0,1,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,1.000,0.08,0.010,0.09,0.01%,0.82,8,PH DH
2,27,3,2020-07-26,HOU,,SEA,L 6-7,5-GF,2,2,0,0,0,0,0,0,0,0,0,0,.333,.500,.667,1.167,0,0,0,0,0,0,.000,1.42,-0.074,1.70,-0.05%,-0.64,7,PH DH
3,28,5,2020-07-28,HOU,,LAD,L 2-5,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.200,.333,.400,.733,0,0,0,0,0,0,.000,0.68,-0.038,0.74,-0.03%,-0.52,8,PH DH
4,29,6,2020-07-29,HOU,,LAD,L 2-4 (13),11-12,1,1,0,0,0,0,0,0,0,0,0,0,.167,.286,.333,.619,0,0,0,0,0,0,.000,3.18,-0.108,3.46,-0.07%,-0.60,7,PH
5,30,8,2020-08-01,HOU,@,LAA,L 4-5 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,2,.091,.167,.182,.348,0,0,0,0,0,0,.000,2.58,-0.329,3.22,-0.25%,-1.45,8,DH
6,31,9,2020-08-02,HOU,@,LAA,W 6-5 (11),8-8,1,1,0,0,0,0,0,0,0,0,0,0,.083,.154,.167,.321,0,0,0,0,0,0,.000,3.43,-0.081,4.31,-0.06%,-0.37,9,PH
7,32,10,2020-08-04,HOU,@,ARI,W 8-2,CG,5,3,2,0,0,0,0,0,0,0,0,0,.067,.222,.133,.356,0,0,2,0,0,0,.000,0.56,-0.003,0.62,0.00%,-0.57,7,DH
8,33,11,2020-08-05,HOU,@,ARI,L 7-14,CG,4,4,2,2,0,0,1,2,0,0,0,1,.158,.273,.368,.641,5,0,0,0,0,0,.500,0.61,0.118,0.68,0.08%,1.20,6,DH
9,34,13,2020-08-07,HOU,@,OAK,L 2-3 (13),10-10,1,1,0,0,0,0,0,0,0,0,0,1,.150,.261,.350,.611,0,0,0,0,0,0,,6.09,-0.164,7.83,-0.13%,-0.58,1,PH
10,35,18,2020-08-12,HOU,,SFG,W 5-1,CG,4,3,1,1,0,0,0,0,0,0,1,1,.174,.296,.348,.644,1,0,0,0,0,0,.500,1.16,0.087,1.24,0.06%,0.79,7,2B
