Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,599,1,2021-04-01,MIA,,TBR,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.29,-0.131,1.18,-0.07%,-0.74,4,RF LF
2,600,2,2021-04-02,MIA,,TBR,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.68,-0.067,0.58,-0.04%,-0.75,6,LF
3,601,3,2021-04-03,MIA,,TBR,W 12-7,8-GF,1,1,1,1,0,0,1,1,0,0,0,0,.111,.111,.444,.556,4,0,0,0,0,0,,0.23,0.033,0.19,0.02%,1.00,9,PH RF
4,602,4,2021-04-05,MIA,,STL,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.077,.077,.308,.385,0,0,0,0,0,0,.000,0.88,-0.094,0.78,-0.05%,-0.94,4,RF
5,603,5,2021-04-06,MIA,,STL,L 2-4,CG,5,5,0,1,0,0,0,0,0,0,0,3,.111,.111,.278,.389,1,1,0,0,0,0,.500,1.26,-0.162,1.06,-0.08%,-1.82,4,RF
6,604,7,2021-04-08,MIA,@,NYM,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.095,.136,.238,.374,0,0,0,0,0,0,.000,0.83,-0.064,0.69,-0.03%,-0.50,6,RF
7,605,8,2021-04-10,MIA,@,NYM,W 3-0,8-8,1,1,0,1,1,0,0,0,0,0,0,0,.136,.174,.318,.492,2,0,0,0,0,0,1.000,0.46,0.025,0.37,0.01%,0.22,9,PH
8,606,9,2021-04-11,MIA,@,NYM,L 5-6,GS-1,0,0,0,0,0,0,0,0,0,0,0,0,.136,.174,.318,.492,0,,0,0,,,,,,,,,5,RF
9,607,10,2021-04-12,MIA,@,ATL,W 5-3 (10),CG(10),5,3,1,1,0,0,1,1,0,0,2,0,.160,.250,.440,.690,4,0,0,0,0,0,.000,1.44,0.051,1.22,0.03%,0.41,5,RF
10,608,11,2021-04-13,MIA,@,ATL,W 14-8,CG,5,5,4,4,1,0,2,7,0,0,0,1,.267,.333,.733,1.067,11,0,0,0,0,0,1.000,1.55,0.371,1.28,0.18%,5.97,5,LF
11,609,12,2021-04-14,MIA,@,ATL,W 6-5 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,4,.257,.316,.657,.973,1,0,0,0,0,0,1.000,1.38,-0.070,1.29,-0.04%,-1.08,4,RF
12,610,13,2021-04-15,MIA,@,ATL,L 6-7,9-GF,1,1,1,1,1,0,0,1,0,0,0,0,.278,.333,.694,1.028,2,0,0,0,0,0,1.000,4.58,0.386,4.69,0.24%,1.24,1,PH RF
13,611,14,2021-04-16,MIA,,SFG,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.250,.302,.625,.927,0,0,0,0,0,0,.000,0.65,-0.066,0.61,-0.04%,-0.80,4,RF
14,612,15,2021-04-17,MIA,,SFG,W 7-6 (10),CG(10),6,6,1,1,0,1,0,1,0,0,0,3,.239,.286,.609,.894,3,0,0,0,0,0,.333,1.96,-0.159,1.84,-0.09%,-0.76,4,RF
15,613,16,2021-04-18,MIA,,SFG,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.224,.269,.571,.841,0,0,0,0,0,0,.000,1.07,-0.082,1.10,-0.05%,-0.58,5,LF
16,614,17,2021-04-20,MIA,,BAL,L 5-7,CG,5,5,0,1,0,0,0,2,0,0,0,2,.222,.263,.537,.800,1,0,0,0,0,0,.333,1.67,-0.053,1.56,-0.03%,0.43,4,RF
17,615,18,2021-04-21,MIA,,BAL,W 3-0,CG,4,4,0,1,0,0,0,1,0,0,0,0,.224,.262,.517,.780,1,0,0,0,0,0,.250,0.92,-0.011,0.75,-0.01%,-0.04,4,RF
18,616,19,2021-04-22,MIA,@,SFG,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.213,.250,.492,.742,0,1,0,0,0,0,.000,1.19,-0.131,1.09,-0.07%,-1.30,4,RF
19,617,20,2021-04-23,MIA,@,SFG,L 3-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.203,.239,.469,.708,0,0,0,0,0,0,.000,0.88,-0.071,0.85,-0.04%,-0.57,5,LF
20,618,21,2021-04-24,MIA,@,SFG,W 5-2,8-8,1,1,0,0,0,0,0,0,0,0,0,1,.200,.235,.462,.697,0,0,0,0,0,0,,1.39,-0.035,1.19,-0.02%,-0.16,9,PH
21,619,22,2021-04-25,MIA,@,SFG,L 3-4,CG,4,4,0,1,0,0,0,0,1,0,0,2,.203,.236,.449,.685,1,0,0,0,0,0,.500,1.52,-0.057,1.34,-0.03%,-0.32,6,CF RF
22,620,23,2021-04-26,MIA,@,MIL,W 8-0,CG,4,3,1,0,0,0,0,0,0,0,0,2,.194,.237,.431,.667,0,0,1,0,0,0,.000,0.61,-0.071,0.55,-0.04%,-0.93,6,CF
23,621,24,2021-04-27,MIA,@,MIL,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.184,.225,.408,.633,0,0,0,0,0,0,.000,1.12,-0.124,1.03,-0.07%,-0.73,6,CF
24,622,25,2021-04-28,MIA,@,MIL,W 6-2,CG,5,4,0,1,0,0,0,0,0,0,1,1,.188,.235,.400,.635,1,0,0,0,0,0,.333,0.75,-0.013,0.68,-0.01%,-0.46,5,CF RF
25,623,26,2021-04-30,MIA,@,WSN,L 1-2 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,1,.188,.233,.388,.622,1,0,0,0,0,0,.250,1.37,-0.118,1.42,-0.07%,-0.77,4,RF LF
26,624,27,2021-05-01,MIA,@,WSN,L 2-7,GS-6,3,3,0,0,0,0,0,0,0,0,0,1,.182,.226,.375,.601,0,0,0,0,0,0,.000,0.69,-0.052,0.72,-0.03%,-0.56,4,LF
27,625,28,2021-05-02,MIA,@,WSN,L 1-3,8-8,1,1,0,0,0,0,0,0,0,0,0,1,.180,.223,.371,.594,0,0,0,0,0,0,,0.24,-0.006,0.23,0.00%,-0.10,9,PH
28,626,29,2021-05-04,MIA,,ARI,W 9-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.183,.224,.366,.590,1,0,0,0,0,0,.333,0.53,-0.013,0.43,-0.01%,-0.52,4,RF
29,627,30,2021-05-05,MIA,,ARI,W 8-0,CG,4,4,1,2,0,0,1,4,0,0,0,0,.196,.235,.402,.637,5,0,0,0,0,0,.333,0.74,0.076,0.63,0.04%,2.83,4,RF
30,628,31,2021-05-06,MIA,,ARI,W 3-1,CG,3,3,1,1,0,0,1,1,0,0,0,0,.200,.238,.430,.668,4,0,0,0,0,0,.000,0.80,0.179,0.71,0.10%,0.79,4,RF LF
31,629,32,2021-05-07,MIA,,MIL,W 6-1,CG,4,3,1,2,1,0,0,1,0,0,1,0,.214,.257,.447,.703,3,0,0,0,0,0,.667,0.79,0.111,0.74,0.06%,1.64,4,LF
32,630,33,2021-05-08,MIA,,MIL,L 2-6,CG,4,4,0,1,0,0,0,1,0,0,0,3,.215,.257,.439,.696,1,0,0,0,0,0,1.000,0.69,0.001,0.69,0.00%,0.29,4,CF
33,631,34,2021-05-09,MIA,,MIL,L 1-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.207,.248,.423,.671,0,0,0,0,0,0,.000,1.38,-0.140,1.26,-0.08%,-0.88,4,RF
34,632,36,2021-05-11,MIA,@,ARI,L 3-11,CG,4,3,0,0,0,0,0,0,1,0,1,0,.202,.248,.412,.660,0,0,0,0,0,0,.000,0.64,-0.048,0.53,-0.02%,-0.45,4,LF
35,633,37,2021-05-12,MIA,@,ARI,W 3-2,CG,4,4,0,2,0,0,0,0,0,0,0,1,.212,.256,.415,.671,2,0,0,0,0,0,.667,0.66,0.040,0.51,0.02%,0.51,4,RF
36,634,38,2021-05-13,MIA,@,ARI,W 5-1,CG,4,4,0,2,0,0,0,1,0,0,0,0,.221,.264,.418,.682,2,0,0,0,0,0,.500,1.14,0.038,0.89,0.02%,0.83,4,RF
37,635,39,2021-05-14,MIA,@,LAD,L 6-9,CG,4,4,1,1,0,0,1,3,0,0,0,1,.222,.263,.437,.700,4,0,0,0,0,0,.000,0.85,-0.033,0.79,-0.02%,1.37,4,LF
38,636,41,2021-05-16,MIA,@,LAD,W 3-2,CG,4,4,1,1,0,0,1,3,0,0,0,1,.223,.263,.454,.717,4,0,0,0,0,0,.000,1.51,0.227,1.20,0.11%,1.54,4,RF
39,637,42,2021-05-18,MIA,@,PHI,L 3-8,CG,4,3,0,0,0,0,0,1,0,0,0,1,.218,.255,.444,.699,0,0,0,0,1,0,.000,1.11,-0.038,1.16,-0.02%,-0.54,4,RF
40,638,43,2021-05-19,MIA,@,PHI,W 3-1,CG,4,4,0,2,0,0,0,1,0,0,0,1,.226,.262,.445,.707,2,0,0,0,0,0,.667,1.30,0.019,1.18,0.01%,-0.16,4,CF RF
41,639,45,2021-05-21,MIA,,NYM,L 5-6 (12),CG(12),6,5,1,1,0,0,0,0,0,0,1,1,.225,.265,.437,.702,1,0,0,0,0,0,.250,1.98,-0.235,2.29,-0.16%,-0.64,4,RF
