Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,822,1,2023-03-30,BAL,@,BOS,W 10-9,CG,5,4,3,2,2,0,0,0,1,0,1,1,.500,.600,1.000,1.600,4,0,0,0,0,0,.667,0.59,0.104,0.60,0.06%,1.31,8,2B
2,823,2,2023-04-01,BAL,@,BOS,L 8-9,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.500,.600,1.000,1.600,0,,0,0,,,,,,,,,1,2B
3,824,3,2023-04-02,BAL,@,BOS,L 5-9,CG,4,4,2,3,1,0,1,2,0,0,0,0,.625,.667,1.375,2.042,7,0,0,0,0,0,.667,0.99,0.164,0.99,0.10%,2.17,8,2B
4,825,4,2023-04-03,BAL,@,TEX,W 2-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.455,.500,1.000,1.500,0,1,0,0,0,0,.000,0.73,-0.072,0.66,-0.04%,-0.88,7,2B
5,826,5,2023-04-04,BAL,@,TEX,W 7-2,CG,4,3,1,0,0,0,0,0,0,0,1,0,.357,.438,.786,1.223,0,0,0,0,0,0,.000,0.35,0.008,0.32,0.00%,-0.53,7,2B
6,827,6,2023-04-05,BAL,@,TEX,L 2-5,CG,3,3,0,1,0,0,0,1,0,0,0,1,.353,.421,.706,1.127,1,0,0,0,0,0,.500,1.46,0.093,1.48,0.06%,0.60,8,2B
7,828,7,2023-04-07,BAL,,NYY,W 7-6,CG,4,3,0,1,0,0,0,1,0,0,1,0,.350,.435,.650,1.085,1,0,0,0,0,0,.333,1.17,0.072,1.16,0.04%,0.76,7,2B
8,829,8,2023-04-08,BAL,,NYY,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.333,.407,.583,.991,1,0,0,0,0,0,.250,1.04,-0.062,1.09,-0.04%,-0.61,7,2B
9,830,9,2023-04-09,BAL,,NYY,L 3-5,7-GF,2,1,0,0,0,0,0,0,1,0,1,0,.320,.414,.560,.974,0,0,0,0,0,0,.000,1.59,0.061,1.52,0.03%,0.38,7,PH 2B
10,831,10,2023-04-10,BAL,,OAK,W 5-1,CG,4,3,0,0,0,0,0,0,0,0,1,0,.286,.394,.500,.894,0,0,0,0,0,0,.000,0.47,-0.033,0.39,-0.02%,-0.54,7,2B
11,832,11,2023-04-11,BAL,,OAK,W 12-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.276,.382,.483,.865,0,0,0,0,0,0,.000,0.02,0.000,0.02,0.00%,-0.16,6,PH DH
12,833,12,2023-04-12,BAL,,OAK,L 4-8,CG,4,4,1,1,0,0,0,0,0,0,0,0,.273,.368,.455,.823,1,0,0,0,0,0,.250,1.28,-0.035,1.15,-0.02%,-0.63,8,RF
13,834,13,2023-04-13,BAL,,OAK,W 8-7,CG,4,4,1,1,0,0,0,1,0,0,0,1,.270,.357,.432,.790,1,0,0,0,0,0,.333,1.55,-0.033,1.35,-0.02%,0.04,6,2B
14,835,14,2023-04-14,BAL,@,CHW,W 6-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.256,.341,.410,.751,0,0,0,0,0,0,.000,0.97,-0.049,0.89,-0.03%,-0.41,7,2B
15,836,15,2023-04-15,BAL,@,CHW,L 6-7 (10),CG(10),5,4,1,1,0,0,0,0,0,0,1,2,.256,.347,.395,.742,1,0,0,0,0,0,.500,2.00,-0.063,1.93,-0.04%,-0.25,6,2B
16,837,16,2023-04-16,BAL,@,CHW,W 8-4,CG,5,5,1,1,0,0,0,0,1,0,0,0,.250,.333,.375,.708,1,0,0,0,0,0,.200,0.90,-0.053,0.83,-0.03%,-0.79,5,2B
