Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,268,1,2024-03-28,BAL,,LAA,W 11-3,CG,5,4,3,2,0,0,0,2,0,0,1,0,.500,.600,.500,1.100,2,0,0,0,0,0,.500,0.57,0.188,0.54,0.11%,1.73,18.00,25.60,2,C
2,269,2,2024-03-30,BAL,,LAA,W 13-4,GS-8,4,3,2,1,0,0,0,0,0,0,1,0,.429,.556,.429,.984,1,0,0,0,0,0,.333,0.47,0.004,0.46,0.00%,0.38,9.00,12.40,2,C
3,270,3,2024-03-31,BAL,,LAA,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.273,.385,.273,.657,0,0,0,0,0,0,.000,1.70,-0.171,1.71,-0.10%,-1.63,0.00,0.00,2,DH
4,271,4,2024-04-01,BAL,,KCR,W 6-4,CG,4,3,1,2,1,0,0,0,0,0,1,0,.357,.471,.429,.899,3,0,0,0,0,0,.667,1.31,0.118,1.23,0.07%,1.02,12.00,15.20,2,C
5,272,5,2024-04-02,BAL,,KCR,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.278,.381,.333,.714,0,0,0,0,0,0,.000,0.84,-0.087,0.84,-0.05%,-0.81,0.00,0.00,2,C
6,273,6,2024-04-03,BAL,,KCR,W 4-3,CG,4,3,0,2,1,0,0,1,0,0,1,0,.333,.440,.429,.869,3,0,0,0,0,0,.667,1.04,0.120,0.97,0.07%,1.33,12.00,15.50,2,DH
7,274,7,2024-04-05,BAL,@,PIT,W 5-2,CG,5,5,0,2,0,0,0,1,0,0,0,2,.346,.433,.423,.856,2,0,0,0,0,0,.667,0.77,0.082,0.72,0.05%,0.56,8.00,9.50,2,C
8,275,8,2024-04-06,BAL,@,PIT,L 4-5 (11),CG(11),5,3,0,0,0,0,0,1,0,0,1,0,.310,.400,.379,.779,0,0,0,0,1,0,.000,2.29,-0.010,2.25,-0.01%,-0.41,4.00,6.50,2,C DH
9,276,9,2024-04-07,BAL,@,PIT,L 2-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.303,.385,.364,.748,1,0,0,0,0,0,.333,0.84,-0.015,0.77,-0.01%,-0.26,5.00,6.20,2,DH
10,277,10,2024-04-09,BAL,@,BOS,W 7-1,CG,5,5,1,2,0,0,0,1,0,0,0,1,.316,.386,.368,.755,2,0,0,0,0,0,.500,0.56,0.039,0.55,0.02%,1.38,10.00,12.70,2,C
11,278,11,2024-04-10,BAL,@,BOS,W 7-5,CG,5,5,0,0,0,0,0,0,0,0,0,3,.279,.347,.326,.673,0,0,0,0,0,0,.000,1.21,-0.164,1.22,-0.10%,-1.75,0.00,0.00,2,C
12,279,12,2024-04-11,BAL,@,BOS,W 9-4 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,0,.271,.333,.313,.646,1,0,0,0,0,0,.200,1.24,-0.112,1.36,-0.07%,-0.82,3.00,3.00,2,C
13,280,14,2024-04-13,BAL,,MIL,L 5-11,CG,5,5,1,2,0,0,1,1,0,0,0,2,.283,.339,.377,.716,5,0,0,0,0,0,.500,0.66,0.091,0.63,0.05%,0.48,17.00,21.70,2,DH
14,281,15,2024-04-14,BAL,,MIL,W 6-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.281,.333,.368,.702,1,1,0,0,0,0,.333,1.53,0.011,1.44,0.01%,-0.22,3.00,3.00,2,C
15,282,16,2024-04-15,BAL,,MIN,W 7-4,CG,5,4,1,2,0,0,0,0,0,0,0,0,.295,.353,.377,.730,2,0,1,0,0,0,.500,0.35,0.013,0.36,0.01%,0.14,10.00,12.20,2,C
16,283,17,2024-04-16,BAL,,MIN,W 11-3,CG,5,4,2,1,0,0,0,0,0,0,1,0,.292,.356,.369,.725,1,0,0,0,0,0,.250,0.33,-0.039,0.35,-0.03%,-0.02,9.00,12.40,2,DH
17,284,18,2024-04-17,BAL,,MIN,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.275,.338,.348,.685,0,0,0,0,0,0,.000,1.06,-0.104,1.13,-0.07%,-0.79,0.00,0.00,2,C
18,285,19,2024-04-19,BAL,@,KCR,L 4-9,CG,5,5,1,3,0,0,1,4,0,0,0,1,.297,.354,.405,.759,6,0,0,0,0,0,.667,0.96,0.157,1.09,0.11%,3.79,26.00,35.20,2,C
19,286,20,2024-04-20,BAL,@,KCR,W 9-7,CG,5,5,1,2,0,0,0,1,0,0,0,1,.304,.356,.405,.761,2,0,0,0,0,0,.500,0.60,0.083,0.67,0.06%,0.49,10.00,12.70,2,DH
20,287,21,2024-04-21,BAL,@,KCR,W 5-0,CG,5,5,0,1,0,0,0,0,0,0,0,0,.298,.348,.393,.741,1,0,0,0,0,0,.200,0.60,-0.074,0.69,-0.05%,-0.81,3.00,3.00,2,C
21,288,22,2024-04-22,BAL,@,LAA,W 4-2,CG,4,4,0,2,1,0,0,2,0,0,0,1,.307,.354,.409,.763,3,0,0,0,0,0,.667,0.75,0.129,0.86,0.09%,1.16,12.00,16.00,2,DH
22,289,23,2024-04-23,BAL,@,LAA,L 4-7,CG,5,5,1,3,0,0,0,0,0,0,0,1,.323,.366,.419,.786,3,0,0,0,0,0,.750,0.40,0.037,0.46,0.03%,0.65,11.00,12.20,2,C
23,290,24,2024-04-24,BAL,@,LAA,W 6-5,CG,5,5,0,2,0,0,0,1,0,0,0,0,.327,.368,.418,.786,2,0,0,0,0,0,.400,0.89,0.048,1.01,0.03%,1.02,8.00,9.50,2,DH
24,291,25,2024-04-26,BAL,,OAK,L 2-3 (10),CG(10),4,3,0,1,0,0,0,0,0,0,1,0,.327,.373,.416,.789,1,0,0,0,0,0,.333,0.60,0.012,0.72,0.01%,0.21,5.00,6.00,2,C
25,292,26,2024-04-27,BAL,,OAK,W 7-0,CG,4,4,1,1,0,0,1,1,0,0,0,1,.324,.368,.438,.807,4,0,0,0,0,0,.000,0.61,-0.017,0.71,-0.01%,0.29,14.00,18.70,2,DH
26,293,27,2024-04-28,BAL,,OAK,L 6-7,CG,5,5,1,1,0,0,1,1,0,0,0,3,.318,.361,.455,.816,4,0,0,0,0,0,.000,0.85,0.025,1.01,0.02%,0.33,14.00,18.70,2,C
27,294,28,2024-04-29,BAL,,NYY,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.316,.358,.447,.805,1,0,0,0,0,0,.333,0.64,-0.030,0.85,-0.02%,-0.15,3.00,3.00,2,C
28,295,29,2024-04-30,BAL,,NYY,W 4-2,CG,4,4,0,2,0,0,0,1,0,0,0,1,.322,.362,.449,.811,2,0,0,0,0,0,.667,0.88,0.083,1.16,0.07%,1.02,8.00,9.50,2,DH
