Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,478,1,2024-03-28,TEX,,CHC,W 4-3 (10),CG(10),5,4,1,2,0,0,1,1,0,0,1,1,.500,.600,1.250,1.850,5,0,0,0,0,0,.500,2.30,0.177,2.11,0.10%,1.31,19.00,24.70,4,RF
2,479,2,2024-03-30,TEX,,CHC,W 11-2,GS-9,5,4,1,1,0,0,1,3,1,0,0,1,.375,.400,1.125,1.525,4,0,0,0,1,0,.000,0.71,0.092,0.66,0.05%,-0.03,23.00,31.70,4,RF
3,480,3,2024-03-31,TEX,,CHC,L 5-9,CG,5,5,0,0,0,0,0,0,0,0,0,3,.231,.267,.692,.959,0,0,0,0,0,0,.000,1.13,-0.151,1.10,-0.09%,-1.23,0.00,0.00,4,DH
4,481,4,2024-04-01,TEX,@,TBR,W 9-3,CG,5,4,1,1,0,0,1,2,0,0,0,0,.235,.300,.765,1.065,4,0,1,0,0,0,.000,0.59,-0.052,0.59,-0.03%,0.81,18.00,25.20,4,DH
5,482,5,2024-04-02,TEX,@,TBR,L 2-5,CG,4,4,1,1,1,0,0,0,0,0,0,2,.238,.292,.714,1.006,2,0,0,0,0,0,.500,0.60,-0.030,0.62,-0.02%,0.01,7.00,9.20,4,RF
6,483,6,2024-04-03,TEX,@,TBR,W 4-1,CG,4,4,1,1,0,0,0,0,0,0,0,3,.240,.286,.640,.926,1,0,0,0,0,0,1.000,0.65,-0.028,0.65,-0.02%,-0.10,5.00,6.20,4,RF
7,484,7,2024-04-05,TEX,,HOU,W 10-2,GS-7,4,4,1,2,0,0,1,4,0,0,0,0,.276,.313,.724,1.037,5,0,0,0,0,0,.333,0.89,0.123,0.98,0.08%,2.83,23.00,32.20,4,RF
8,485,8,2024-04-06,TEX,,HOU,W 7-2,CG,5,5,0,1,0,0,0,1,0,0,0,1,.265,.297,.647,.944,1,0,0,0,0,0,.250,0.92,-0.108,0.97,-0.07%,-0.44,5.00,6.50,4,RF
9,486,9,2024-04-07,TEX,,HOU,L 1-3,CG,4,3,1,1,0,0,0,0,0,0,1,2,.270,.317,.622,.939,1,0,0,0,0,0,1.000,0.71,0.006,0.80,0.01%,0.15,7.00,9.20,4,RF
10,487,10,2024-04-08,TEX,,HOU,L 5-10,CG,4,4,1,1,0,0,0,0,0,0,0,2,.268,.311,.585,.896,1,0,0,0,0,0,.500,1.04,0.032,1.17,0.02%,0.11,5.00,6.20,4,RF
