Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,160,2,2022-04-09,PHI,,OAK,W 4-2,GS-7,3,2,0,2,1,0,0,0,0,0,1,0,1.000,1.000,1.500,2.500,3,0,0,0,0,0,1.000,0.34,0.040,0.31,0.02%,0.46,8,3B
2,161,4,2022-04-11,PHI,,NYM,W 5-4,GS-9,3,1,1,1,1,0,0,0,0,0,2,0,1.000,1.000,1.667,2.667,2,0,0,0,0,0,1.000,0.53,0.075,0.54,0.05%,0.85,8,3B
3,162,5,2022-04-12,PHI,,NYM,L 0-2,8-9,1,1,0,0,0,0,0,0,0,0,0,0,.750,.857,1.250,2.107,0,0,0,0,0,0,.000,0.62,-0.016,0.66,-0.01%,-0.10,9,PH
4,163,6,2022-04-13,PHI,,NYM,L 6-9,6-GF,2,1,1,0,0,0,0,1,0,0,0,0,.600,.667,1.000,1.667,0,0,0,0,1,0,.000,1.21,-0.063,1.23,-0.04%,-0.46,5,PR 1B
5,164,7,2022-04-14,PHI,@,MIA,L 3-4,9-9,1,1,0,1,0,0,0,0,0,0,0,0,.667,.700,1.000,1.700,1,0,0,0,0,0,1.000,2.86,0.115,2.76,0.07%,0.38,9,PH
6,165,8,2022-04-15,PHI,@,MIA,L 1-7,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.714,.727,1.000,1.727,1,0,0,0,0,0,1.000,0.01,0.000,0.01,0.00%,0.13,8,PH
7,166,9,2022-04-16,PHI,@,MIA,W 10-3,CG,5,3,1,2,0,0,0,3,0,0,0,0,.700,.625,.900,1.525,2,0,0,0,2,0,.400,0.62,0.040,0.55,0.02%,0.92,5,DH
8,167,10,2022-04-17,PHI,@,MIA,L 3-11,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.636,.588,.818,1.406,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.10,7,3B
9,168,11,2022-04-18,PHI,@,COL,L 1-4,CG,3,3,1,1,0,0,0,0,0,0,0,0,.571,.550,.714,1.264,1,0,0,0,0,0,.333,0.70,-0.015,0.60,-0.01%,0.04,6,3B
10,169,12,2022-04-19,PHI,@,COL,L 5-6,CG,4,3,1,0,0,0,0,0,0,0,1,1,.471,.500,.588,1.088,0,1,0,0,0,0,.000,1.24,-0.161,0.98,-0.08%,-0.87,7,3B
11,170,13,2022-04-20,PHI,@,COL,W 9-6,CG,5,4,1,2,0,0,1,3,0,0,0,0,.476,.483,.714,1.197,5,0,0,0,1,0,.250,1.17,0.247,0.86,0.11%,1.54,7,3B
12,171,14,2022-04-22,PHI,,MIL,W 4-2,CG,4,4,0,1,0,0,0,2,0,0,0,1,.440,.455,.640,1.095,1,0,0,0,0,0,.333,2.61,0.262,2.14,0.13%,0.85,7,3B
13,172,15,2022-04-23,PHI,,MIL,L 3-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.393,.417,.571,.988,0,0,0,0,0,0,.000,1.17,-0.082,1.01,-0.04%,-0.67,7,3B
14,173,16,2022-04-24,PHI,,MIL,L 0-1,CG,4,3,0,0,0,0,0,0,0,0,1,2,.355,.400,.516,.916,0,0,0,0,0,0,.000,1.43,-0.075,1.13,-0.04%,-0.19,7,3B
15,174,17,2022-04-25,PHI,,COL,W 8-2,CG,4,4,0,0,0,0,0,1,0,0,0,0,.314,.364,.457,.821,0,0,0,0,0,0,.000,0.71,-0.055,0.53,-0.03%,0.84,7,3B
16,175,18,2022-04-26,PHI,,COL,W 10-3,CG,4,3,1,1,0,0,0,1,0,0,1,0,.316,.375,.447,.822,1,0,0,0,0,0,.333,0.72,0.270,0.55,0.13%,3.26,7,3B
17,176,19,2022-04-27,PHI,,COL,W 7-3,CG,4,4,1,2,0,0,0,1,0,0,0,1,.333,.385,.452,.837,2,0,0,0,0,0,.667,0.99,-0.025,0.77,-0.01%,0.30,6,3B
18,177,20,2022-04-28,PHI,,COL,W 7-1,CG,4,4,1,1,0,0,1,2,0,0,0,1,.326,.375,.500,.875,4,0,0,0,0,0,.000,0.59,0.076,0.52,0.04%,0.38,6,3B
19,178,21,2022-04-29,PHI,@,NYM,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.306,.356,.469,.825,0,1,0,0,0,0,.000,1.24,-0.118,1.23,-0.07%,-1.07,7,3B
20,179,22,2022-04-30,PHI,@,NYM,W 4-1,CG,4,3,1,1,0,0,0,0,1,0,1,1,.308,.365,.462,.827,1,0,0,0,0,0,.500,0.78,0.061,0.70,0.03%,0.46,7,3B
21,180,23,2022-05-01,PHI,@,NYM,L 6-10,CG,4,3,1,1,0,0,0,0,0,0,0,0,.309,.373,.455,.828,1,0,1,0,0,0,.333,0.63,-0.052,0.63,-0.03%,-0.11,7,3B
22,181,24,2022-05-03,PHI,,TEX,L 4-6,CG,4,4,1,2,1,0,0,0,0,0,0,1,.322,.380,.475,.855,3,0,0,0,0,0,.667,1.15,-0.030,0.93,-0.02%,-0.35,2,3B
