Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,600,1,2025-03-27,PHI,@,WSN,W 7-3 (10),CG(10),5,5,1,2,1,0,0,2,0,0,0,2,.400,.400,.600,1.000,3,0,0,0,0,0,.667,1.99,0.497,1.96,0.29%,1.85,14.00,19.20,3,3B
2,601,2,2025-03-29,PHI,@,WSN,W 11-6,CG,6,5,0,2,0,0,0,0,0,0,1,0,.400,.455,.500,.955,2,0,0,0,0,0,.400,0.39,0.011,0.41,0.01%,-0.18,8.00,9.00,2,3B
3,602,3,2025-03-30,PHI,@,WSN,L 1-5,CG,5,5,0,0,0,0,0,0,0,0,0,0,.267,.313,.333,.646,0,1,0,0,0,0,.000,0.95,-0.141,1.00,-0.09%,-2.68,0.00,0.00,2,3B
4,603,4,2025-03-31,PHI,,COL,W 6-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.263,.300,.316,.616,1,0,0,0,0,0,.333,0.85,-0.016,0.83,-0.01%,-0.12,3.00,3.00,2,3B
5,604,5,2025-04-02,PHI,,COL,W 5-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.261,.292,.304,.596,1,0,0,0,0,0,.333,0.85,-0.027,0.86,-0.02%,-0.77,5.00,6.20,3,3B
6,605,6,2025-04-03,PHI,,COL,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.259,.286,.296,.582,1,0,0,0,0,0,.333,0.96,0.006,0.98,0.00%,-0.08,3.00,3.00,4,3B
7,606,7,2025-04-04,PHI,,LAD,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.226,.250,.258,.508,0,0,0,0,0,0,.000,0.60,-0.063,0.65,-0.04%,-0.83,0.00,0.00,4,3B
8,607,8,2025-04-05,PHI,,LAD,L 1-3,CG,4,4,0,0,0,0,0,1,0,0,0,0,.200,.222,.229,.451,0,1,0,0,0,0,.000,1.87,-0.223,2.08,-0.15%,-1.29,2.00,3.50,4,3B
9,608,10,2025-04-08,PHI,@,ATL,L 5-7,CG,5,5,1,1,0,0,0,0,0,0,0,1,.200,.220,.225,.445,1,0,0,0,0,0,.250,1.16,-0.133,1.29,-0.09%,-1.11,5.00,6.20,3,3B
10,609,11,2025-04-09,PHI,@,ATL,W 4-3,CG,5,5,0,0,0,0,0,0,0,0,0,4,.178,.196,.200,.396,0,0,0,0,0,0,.000,1.01,-0.131,1.15,-0.09%,-1.17,0.00,0.00,4,3B
11,610,12,2025-04-10,PHI,@,ATL,L 2-4 (11),CG(11),5,5,0,0,0,0,0,0,0,0,0,0,.160,.176,.180,.356,0,1,0,0,0,0,.000,2.66,-0.385,2.96,-0.26%,-2.12,0.00,0.00,7,3B
12,611,13,2025-04-11,PHI,@,STL,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.151,.167,.170,.336,0,0,0,0,0,0,.000,0.79,-0.060,0.86,-0.04%,-0.50,0.00,0.00,7,3B
13,612,14,2025-04-12,PHI,@,STL,W 4-1,CG,4,4,1,1,0,0,0,0,0,0,0,2,.158,.172,.175,.348,1,0,0,0,0,0,.500,0.55,-0.019,0.58,-0.01%,-0.54,5.00,6.20,8,3B
14,613,15,2025-04-13,PHI,@,STL,L 0-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.150,.164,.167,.331,0,0,0,0,0,0,.000,0.89,-0.064,1.00,-0.04%,-0.69,0.00,0.00,6,3B
15,614,16,2025-04-14,PHI,,SFG,L 4-10,CG,4,4,0,1,1,0,0,0,0,0,0,2,.156,.169,.188,.357,2,0,0,0,0,0,.500,1.26,0.052,1.37,0.03%,0.26,5.00,6.00,8,3B
16,615,17,2025-04-15,PHI,,SFG,W 6-4,CG,4,4,0,1,0,0,0,1,1,0,0,0,.162,.174,.191,.365,1,1,0,0,0,0,.250,1.54,0.030,1.59,0.02%,-0.36,10.00,12.50,8,3B
17,616,18,2025-04-16,PHI,,SFG,L 4-11,CG,4,4,0,1,0,0,0,0,0,0,0,1,.167,.178,.194,.373,1,0,0,0,0,0,.333,1.38,-0.036,1.54,-0.02%,-0.55,3.00,3.00,6,3B
18,617,19,2025-04-17,PHI,,SFG,W 6-4,CG,3,3,0,1,0,1,0,1,0,0,0,0,.173,.184,.227,.411,3,1,0,0,0,0,.333,0.45,0.032,0.47,0.02%,0.13,10.00,12.50,8,3B
19,618,20,2025-04-18,PHI,,MIA,W 7-2,CG,4,4,1,1,0,0,0,1,0,0,0,0,.177,.188,.228,.415,1,0,0,0,0,0,.250,0.42,0.089,0.49,0.06%,1.18,7.00,9.70,8,3B
20,619,21,2025-04-19,PHI,,MIA,W 11-10,CG,5,4,2,2,1,0,0,0,0,0,0,0,.193,.212,.253,.465,3,0,1,0,0,0,.500,0.35,-0.016,0.40,-0.01%,0.63,14.00,18.40,8,3B
21,620,22,2025-04-20,PHI,,MIA,L 5-7 (10),CG(10),5,5,1,1,1,0,0,0,0,0,0,0,.193,.211,.261,.472,2,0,0,0,0,0,.200,1.79,-0.134,2.02,-0.09%,-0.67,7.00,9.20,7,3B
22,621,23,2025-04-21,PHI,@,NYM,L 4-5,CG,4,3,1,1,0,0,0,0,0,0,0,1,.198,.223,.264,.487,1,0,1,0,0,0,.500,1.03,0.028,1.29,0.02%,0.53,7.00,9.20,8,3B
23,622,24,2025-04-22,PHI,@,NYM,L 1-5,CG,4,4,0,2,0,0,0,0,0,0,0,1,.211,.235,.274,.508,2,0,0,0,0,0,.667,0.97,0.029,1.15,0.02%,0.11,6.00,6.00,8,3B
24,623,25,2025-04-23,PHI,@,NYM,L 3-4 (10),CG(10),5,5,0,3,0,0,0,0,0,0,0,0,.230,.252,.290,.542,3,0,0,0,0,0,.600,1.50,0.075,1.72,0.05%,0.75,9.00,9.00,6,3B
25,624,26,2025-04-25,PHI,@,CHC,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.223,.252,.282,.534,0,0,0,0,0,0,.000,1.20,-0.017,1.20,-0.01%,-0.32,2.00,3.00,8,3B
26,625,27,2025-04-26,PHI,@,CHC,W 10-4,CG,4,4,1,1,0,0,0,1,0,0,0,0,.224,.252,.280,.533,1,1,0,0,0,0,.250,1.07,-0.027,1.03,-0.02%,-0.24,7.00,9.70,8,3B
27,626,28,2025-04-27,PHI,@,CHC,W 3-1 (10),CG(10),4,2,0,0,0,0,0,1,0,0,1,0,.220,.252,.275,.527,0,0,0,0,1,0,.000,2.32,0.039,2.35,0.02%,-0.26,4.00,6.50,8,3B
28,627,29,2025-04-29,PHI,,WSN,W 7-6,CG,4,4,1,1,0,0,0,0,0,0,0,2,.221,.252,.274,.526,1,0,0,0,0,0,.500,1.31,0.091,1.39,0.06%,-0.27,5.00,6.20,6,3B
29,628,31,2025-05-01,PHI,,WSN,L 2-4,CG,4,4,0,1,0,0,0,1,0,0,0,1,.222,.252,.274,.526,1,1,0,0,0,0,.333,1.70,-0.044,1.91,-0.03%,-0.38,5.00,6.50,7,3B
30,629,32,2025-05-02,PHI,,ARI,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.217,.246,.267,.513,0,0,0,0,0,0,.000,0.55,-0.042,0.60,-0.03%,-0.37,0.00,0.00,8,3B
31,630,33,2025-05-03,PHI,,ARI,W 7-2,CG,4,3,0,1,0,0,0,0,0,0,0,0,.220,.254,.268,.522,1,0,1,0,0,0,.333,0.25,0.041,0.28,0.03%,0.72,5.00,6.00,8,3B
32,631,34,2025-05-04,PHI,,ARI,L 9-11 (10),CG(10),5,4,1,2,1,0,0,1,0,0,1,2,.228,.267,.283,.550,3,0,0,0,0,0,1.000,2.00,0.429,2.28,0.29%,1.33,14.00,18.70,6,3B
33,632,35,2025-05-06,PHI,@,TBR,W 8-4,CG,4,4,1,2,0,0,1,2,0,0,0,0,.237,.273,.313,.586,5,0,0,0,0,0,.333,0.76,0.129,0.82,0.08%,1.42,19.00,25.20,8,3B
34,633,36,2025-05-07,PHI,@,TBR,W 7-0,CG,4,4,1,1,0,0,0,0,0,0,0,2,.237,.273,.311,.584,1,0,0,0,0,0,.500,0.47,-0.059,0.51,-0.04%,-0.99,5.00,6.20,8,3B
35,634,37,2025-05-08,PHI,@,TBR,W 7-6 (10),GS-10,4,4,1,1,0,0,0,0,0,0,0,1,.237,.272,.309,.581,1,0,0,0,0,0,.333,1.60,-0.108,1.76,-0.07%,-0.44,5.00,6.20,8,3B
36,635,38,2025-05-09,PHI,@,CLE,L 0-6,CG,4,3,0,1,0,0,0,0,0,0,1,0,.239,.278,.310,.588,1,0,0,0,0,0,.333,0.70,0.059,0.81,0.04%,0.22,5.00,6.00,7,3B
37,636,40,2025-05-11,PHI,@,CLE,W 3-0,CG,4,3,0,2,0,0,0,0,0,0,1,1,.248,.290,.317,.608,2,0,0,0,0,0,1.000,0.61,0.044,0.69,0.03%,0.20,8.00,9.00,8,3B
