Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,209,1,2023-03-30,TOR,@,STL,W 10-9,CG,5,5,0,1,0,0,0,2,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,.250,1.26,-0.040,1.10,-0.02%,-0.25,5,C
2,210,3,2023-04-02,TOR,@,STL,L 4-9,CG,4,3,1,1,0,0,0,0,0,0,1,2,.250,.333,.250,.583,1,0,0,0,0,0,1.000,0.63,0.041,0.56,0.02%,0.09,5,DH
3,211,4,2023-04-03,TOR,@,KCR,L 5-9,GS-9,5,4,0,1,0,0,0,0,0,0,1,0,.250,.357,.250,.607,1,0,0,0,0,0,.250,0.47,-0.018,0.42,-0.01%,-0.99,5,C
4,212,6,2023-04-05,TOR,@,KCR,W 3-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.333,.250,.583,1,0,0,0,0,0,.250,0.70,-0.026,0.62,-0.01%,-0.52,6,C
5,213,8,2023-04-07,TOR,@,LAA,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.211,.318,.211,.529,0,0,0,0,0,0,.000,1.45,-0.016,1.44,-0.01%,-0.15,6,C
6,214,9,2023-04-08,TOR,@,LAA,L 5-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.182,.308,.182,.490,0,0,0,0,0,0,.000,0.99,0.003,1.01,0.00%,-0.42,6,C
7,215,10,2023-04-09,TOR,@,LAA,W 12-11 (10),7-GF(10),2,1,0,0,0,0,0,0,0,0,1,0,.174,.321,.174,.495,0,0,0,0,0,1,.000,2.67,-0.010,2.68,-0.01%,-0.02,8,PH C
8,216,11,2023-04-11,TOR,,DET,W 9-3,CG,4,4,1,2,0,0,1,4,0,0,0,1,.222,.344,.333,.677,5,0,0,0,0,0,.500,1.09,0.050,1.09,0.03%,2.61,7,C
9,217,12,2023-04-12,TOR,,DET,W 4-3 (10),9-10,1,0,0,0,0,0,0,1,0,0,0,0,.222,.333,.333,.667,0,0,0,0,1,0,.000,7.24,0.103,7.17,0.06%,0.04,7,PH
10,218,13,2023-04-13,TOR,,DET,L 1-3,GS-8,4,4,0,1,0,0,0,0,0,0,0,1,.226,.324,.323,.647,1,0,0,0,0,0,.333,1.73,-0.106,1.78,-0.07%,-1.03,5,C
11,219,14,2023-04-14,TOR,,TBR,W 6-3,5-GF,2,1,1,0,0,0,0,1,0,0,1,0,.219,.333,.313,.646,0,0,0,0,0,0,.000,1.24,0.070,1.36,0.05%,0.76,6,PH DH
12,220,15,2023-04-15,TOR,,TBR,W 5-2,CG,4,2,1,2,0,0,0,1,0,0,1,0,.265,.395,.353,.748,2,0,1,0,0,0,1.000,0.64,0.086,0.76,0.06%,1.69,6,DH
13,221,16,2023-04-16,TOR,,TBR,L 1-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.243,.383,.324,.707,0,0,0,0,0,0,.000,0.80,-0.069,0.96,-0.05%,-1.02,5,C
14,222,18,2023-04-18,TOR,@,HOU,W 4-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.244,.373,.317,.690,1,0,0,0,0,0,.250,0.35,-0.006,0.36,0.00%,-0.41,6,C
15,223,19,2023-04-19,TOR,@,HOU,L 1-8,GS-8,3,3,0,1,0,0,0,0,0,0,0,1,.250,.370,.318,.689,1,0,0,0,0,0,.500,1.27,0.008,1.33,0.01%,-0.15,6,C
16,224,21,2023-04-22,TOR,@,NYY,L 2-3,CG,4,2,1,1,1,0,0,0,0,0,2,0,.261,.397,.348,.744,2,0,0,0,0,0,.500,1.56,0.137,1.70,0.09%,1.02,6,C
17,225,22,2023-04-23,TOR,@,NYY,W 5-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.245,.387,.327,.714,0,0,0,0,0,0,.000,0.64,-0.064,0.68,-0.04%,-0.11,6,DH
18,226,23,2023-04-24,TOR,,CHW,W 5-2,CG,4,1,1,0,0,0,0,0,0,0,3,0,.240,.409,.320,.729,0,0,0,0,0,0,.000,0.49,0.031,0.49,0.02%,0.38,5,C
19,227,25,2023-04-26,TOR,,CHW,W 8-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,.226,.400,.302,.702,0,1,0,0,0,0,.000,0.56,-0.067,0.59,-0.04%,-1.32,6,DH
20,228,26,2023-04-28,TOR,,SEA,W 3-2,CG,4,4,1,3,0,0,1,1,0,0,0,1,.263,.419,.386,.805,6,0,0,0,0,0,1.000,0.85,0.191,0.92,0.12%,1.53,6,C
21,229,28,2023-04-30,TOR,,SEA,L 8-10 (10),CG(10),5,5,1,2,0,0,0,0,0,0,0,0,.274,.418,.387,.805,2,0,0,0,0,0,.400,1.18,-0.091,1.27,-0.06%,-0.28,6,C
22,230,29,2023-05-01,TOR,@,BOS,L 5-6,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.270,.413,.381,.793,0,0,0,0,0,0,.000,4.56,-0.119,5.18,-0.08%,-0.80,6,PH
23,231,30,2023-05-02,TOR,@,BOS,L 6-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.254,.393,.358,.751,0,0,0,0,0,0,.000,0.84,-0.088,0.94,-0.06%,-0.74,7,DH
24,232,31,2023-05-03,TOR,@,BOS,L 3-8,CG,4,3,0,0,0,0,0,0,0,0,1,0,.243,.386,.343,.729,0,0,0,0,0,0,.000,0.66,0.001,0.71,0.00%,0.00,6,C
25,233,32,2023-05-04,TOR,@,BOS,L 5-11,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.236,.378,.333,.711,0,1,0,0,0,0,.000,0.68,-0.045,0.72,-0.03%,-0.81,6,PH DH
26,234,33,2023-05-05,TOR,@,PIT,W 4-0,GS-8,4,3,0,1,0,0,0,0,0,0,1,1,.240,.383,.333,.716,1,0,0,0,0,0,.500,0.55,-0.002,0.49,0.00%,0.38,5,DH
27,235,34,2023-05-06,TOR,@,PIT,W 8-2,CG,5,3,1,2,1,0,0,1,0,0,1,0,.256,.404,.359,.763,3,0,1,0,0,0,.667,0.26,0.079,0.24,0.04%,1.82,7,C
28,236,36,2023-05-09,TOR,@,PHI,L 4-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.244,.388,.341,.730,0,1,0,0,0,0,.000,1.73,-0.207,1.70,-0.12%,-1.47,6,C
29,237,37,2023-05-10,TOR,@,PHI,L 1-2 (10),10-10,1,1,0,0,0,0,0,0,0,0,0,0,.241,.385,.337,.722,0,0,0,0,0,0,.000,4.19,-0.115,4.08,-0.07%,-0.33,9,PH
