Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,435,1,2025-03-27,TOR,,BAL,L 2-12,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,1,0,0,0,0,.250,0.30,-0.034,0.29,-0.02%,-1.17,3.00,3.00,5,C
2,436,2,2025-03-28,TOR,,BAL,W 8-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.87,-0.015,0.83,-0.01%,-0.93,5.00,6.20,5,C
3,437,3,2025-03-29,TOR,,BAL,L 5-9,CG,4,3,0,0,0,0,0,1,0,0,0,1,.182,.167,.182,.348,0,0,0,0,1,0,.000,1.04,-0.061,1.05,-0.04%,-0.74,2.00,3.50,5,C
4,438,5,2025-03-31,TOR,,WSN,W 5-2,CG,4,4,1,2,1,0,0,1,0,0,0,0,.267,.250,.333,.583,3,0,0,0,0,0,.500,0.55,0.048,0.48,0.03%,1.34,12.00,15.70,5,C
5,439,6,2025-04-01,TOR,,WSN,W 5-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,.316,.300,.368,.668,2,0,0,0,0,0,.500,0.89,0.050,0.82,0.03%,0.64,8.00,9.20,5,C
6,440,8,2025-04-04,TOR,@,NYM,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.261,.250,.304,.554,0,0,0,0,0,0,.000,1.07,-0.118,1.06,-0.07%,-1.10,0.00,0.00,5,C
7,441,9,2025-04-05,TOR,@,NYM,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.222,.214,.259,.474,0,1,0,0,0,0,.000,1.55,-0.185,1.53,-0.11%,-2.01,0.00,0.00,5,C
8,442,10,2025-04-06,TOR,@,NYM,L 1-2,GS-8,4,4,0,2,0,0,0,0,0,0,0,0,.258,.250,.290,.540,2,0,0,0,0,0,.500,1.74,-0.075,1.65,-0.04%,-0.61,6.00,6.00,5,DH
9,443,11,2025-04-07,TOR,@,BOS,W 6-2,CG,5,5,0,2,0,0,0,0,0,0,0,0,.278,.270,.306,.576,2,0,0,0,0,0,.400,0.95,-0.074,0.96,-0.05%,-1.09,6.00,6.00,6,C
10,444,13,2025-04-09,TOR,@,BOS,W 2-1 (11),CG(11),4,4,0,0,0,0,0,0,0,0,0,1,.250,.244,.275,.519,0,1,0,0,0,0,.000,2.27,-0.334,2.62,-0.23%,-2.27,0.00,0.00,6,C
11,445,15,2025-04-12,TOR,@,BAL,L 4-5,GS-9,4,2,0,0,0,0,0,0,0,0,2,0,.238,.267,.262,.529,0,1,0,0,0,0,.000,1.14,0.025,1.34,0.02%,-0.09,4.00,6.00,7,C
12,446,16,2025-04-13,TOR,@,BAL,W 7-6 (10),GS-8,4,4,1,2,1,0,1,2,0,0,0,1,.261,.286,.370,.655,6,0,0,0,0,0,.500,1.11,0.161,1.26,0.11%,1.39,21.00,28.20,6,C
13,447,18,2025-04-15,TOR,,ATL,W 6-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.240,.264,.340,.604,0,0,0,0,0,0,.000,0.74,-0.074,0.77,-0.05%,-0.97,0.00,0.00,5,C
14,448,19,2025-04-16,TOR,,ATL,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.241,.263,.333,.596,1,0,0,0,0,0,.333,0.85,0.016,0.88,0.01%,-0.13,3.00,3.00,5,C
15,449,20,2025-04-18,TOR,,SEA,W 3-1,CG,3,2,0,1,0,0,0,1,0,0,1,0,.250,.283,.339,.623,1,0,0,0,0,0,.500,1.03,0.079,1.15,0.05%,0.73,7.00,9.50,7,C
