Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1112,1,2025-03-27,BOS,@,TEX,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.35,-0.142,1.30,-0.08%,-0.78,0.00,0.00,3,3B
2,1113,2,2025-03-28,BOS,@,TEX,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,1,0,0,0,0,0,.333,1.61,-0.067,1.62,-0.04%,-0.76,3.00,3.00,3,3B
3,1114,3,2025-03-29,BOS,@,TEX,L 3-4,CG,5,4,0,2,0,0,0,0,0,0,1,0,.250,.308,.250,.558,2,0,0,0,0,0,.500,1.64,-0.018,1.63,-0.01%,-0.01,8.00,9.00,3,3B
4,1115,4,2025-03-30,BOS,@,TEX,L 2-3,CG,5,5,0,1,0,0,0,0,1,0,0,2,.235,.278,.235,.513,1,0,0,0,0,0,.333,2.42,-0.071,2.23,-0.04%,-0.45,8.00,9.00,3,3B
5,1116,5,2025-03-31,BOS,@,BAL,L 5-8,CG,5,5,0,1,0,0,0,0,0,0,0,1,.227,.261,.227,.488,1,0,0,0,0,0,.250,1.28,-0.093,1.13,-0.05%,-0.61,3.00,3.00,3,3B
6,1117,6,2025-04-02,BOS,@,BAL,W 3-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.231,.259,.231,.490,1,0,0,0,0,0,.333,0.74,-0.057,0.62,-0.03%,-0.91,3.00,3.00,3,3B
7,1118,7,2025-04-03,BOS,@,BAL,W 8-4,CG,5,5,2,3,2,0,1,3,0,0,0,2,.290,.313,.452,.764,8,0,0,0,0,0,1.000,0.51,0.180,0.47,0.10%,2.70,30.00,40.90,3,3B
8,1119,8,2025-04-04,BOS,,STL,W 13-9,CG,5,4,2,2,1,0,0,1,0,0,1,1,.314,.351,.486,.837,3,0,0,0,0,0,.667,0.68,0.156,0.58,0.08%,1.29,16.00,21.90,3,3B
9,1120,9,2025-04-06 (1),BOS,,STL,W 5-4 (10),CG(10),5,4,1,0,0,0,0,0,0,0,1,2,.282,.333,.436,.769,0,0,0,0,0,0,.000,1.87,-0.212,1.71,-0.12%,-1.16,4.00,6.20,3,3B
10,1121,10,2025-04-06 (2),BOS,,STL,W 18-7,GS-7,5,5,2,4,2,0,1,6,0,0,0,0,.341,.383,.591,.974,9,0,0,0,0,0,.750,0.73,0.224,0.69,0.13%,5.73,39.00,54.40,3,3B
11,1122,11,2025-04-07,BOS,,TOR,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.333,.373,.563,.935,1,0,0,0,0,0,.250,1.28,-0.153,1.42,-0.10%,-1.55,3.00,3.00,3,3B
12,1123,12,2025-04-08,BOS,,TOR,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.308,.345,.519,.865,0,0,0,0,0,0,.000,0.79,-0.078,0.83,-0.05%,-1.02,0.00,0.00,3,3B
13,1124,13,2025-04-09,BOS,,TOR,L 1-2 (11),CG(11),4,3,0,0,0,0,0,1,0,0,0,2,.291,.322,.491,.813,0,0,0,0,1,0,.000,1.53,-0.120,1.64,-0.08%,-0.70,2.00,3.50,3,3B
14,1125,14,2025-04-10,BOS,,TOR,W 4-3 (10),CG(10),5,4,0,1,0,0,0,1,0,0,0,0,.288,.328,.475,.803,1,0,1,0,0,0,.250,2.52,0.077,2.54,0.05%,0.32,7.00,9.50,3,3B
15,1126,15,2025-04-11,BOS,@,CHW,L 1-11,CG,4,3,0,1,1,0,0,0,0,0,0,0,.290,.338,.484,.822,2,0,1,0,0,0,.333,0.51,0.032,0.50,0.02%,-0.50,7.00,9.00,3,3B
16,1127,16,2025-04-12,BOS,@,CHW,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.277,.333,.462,.795,0,1,0,0,0,0,.000,1.46,-0.141,1.39,-0.08%,-1.09,2.00,3.00,3,3B
17,1128,17,2025-04-13,BOS,@,CHW,W 3-1,CG,4,4,1,2,0,0,0,0,0,0,0,0,.290,.342,.464,.806,2,0,0,0,0,0,.500,0.60,-0.003,0.52,0.00%,-0.08,8.00,9.20,3,3B
18,1129,18,2025-04-14,BOS,@,TBR,L 1-16,CG,4,4,0,0,0,0,0,0,0,0,0,2,.274,.325,.438,.763,0,0,0,0,0,0,.000,0.11,-0.011,0.11,-0.01%,-0.77,0.00,0.00,3,3B
19,1130,19,2025-04-15,BOS,@,TBR,W 7-4,CG,5,5,2,5,1,0,2,4,0,0,0,0,.321,.365,.564,.929,12,0,0,0,0,0,1.000,0.55,0.207,0.55,0.12%,3.96,43.00,56.40,3,3B
20,1131,21,2025-04-18,BOS,,CHW,W 10-3,CG,5,3,2,0,0,0,0,0,0,0,2,0,.309,.367,.543,.910,0,0,0,0,0,0,.000,0.39,0.012,0.38,0.01%,0.27,8.00,12.40,3,3B
21,1132,22,2025-04-19,BOS,,CHW,W 4-3 (10),CG(10),5,4,1,0,0,0,0,0,0,1,1,2,.294,.358,.518,.876,0,0,0,0,0,0,.000,1.49,-0.190,1.52,-0.12%,-1.27,4.00,6.20,3,3B
22,1133,23,2025-04-20,BOS,,CHW,L 4-8,CG,5,4,1,1,0,0,0,0,0,0,0,0,.292,.360,.506,.866,1,0,1,0,0,0,.250,0.94,0.076,0.99,0.05%,0.43,7.00,9.20,3,3B
23,1134,24,2025-04-21,BOS,,CHW,W 4-2,CG,4,2,1,1,0,0,0,0,0,0,2,0,.297,.375,.505,.880,1,0,0,0,0,0,.500,0.76,0.052,0.80,0.03%,0.51,9.00,12.20,3,3B
24,1135,25,2025-04-22,BOS,,SEA,W 8-3,CG,5,5,0,2,2,0,0,3,0,0,0,0,.302,.376,.521,.897,4,0,0,0,0,0,.400,1.43,0.203,1.56,0.13%,2.05,16.00,22.50,3,3B
25,1136,26,2025-04-23,BOS,,SEA,L 5-8,CG,4,4,1,2,1,0,0,0,0,0,0,1,.310,.381,.530,.911,3,0,0,0,0,0,.667,0.83,-0.050,0.95,-0.03%,0.37,10.00,12.20,3,3B
26,1137,27,2025-04-24,BOS,,SEA,L 3-4,CG,4,3,1,2,0,0,1,2,0,0,1,0,.320,.393,.563,.956,5,0,0,0,0,0,.500,0.92,0.186,1.02,0.12%,2.06,21.00,28.20,3,3B
27,1138,28,2025-04-26 (1),BOS,@,CLE,L 4-5,CG,5,5,1,2,1,0,0,0,0,0,0,2,.324,.393,.565,.958,3,0,0,0,0,0,.667,2.46,-0.109,2.71,-0.07%,0.01,10.00,12.20,3,3B
28,1139,29,2025-04-26 (2),BOS,@,CLE,W 7-3,CG,5,3,0,1,0,0,0,1,0,0,2,0,.324,.402,.559,.960,1,0,0,0,0,0,.333,0.54,0.056,0.57,0.04%,0.81,9.00,12.50,3,3B
29,1140,30,2025-04-27,BOS,@,CLE,W 13-3,CG,5,5,1,1,0,0,0,0,0,0,0,1,.319,.394,.543,.937,1,0,0,0,0,0,.250,0.53,-0.021,0.57,-0.01%,-0.40,5.00,6.20,3,3B
