Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,60,1,2022-04-08,MIN,,SEA,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.83,-0.179,1.72,-0.10%,-0.75,6,LF
2,61,2,2022-04-09,MIN,,SEA,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.33,-0.135,1.13,-0.07%,-0.64,5,DH
3,62,3,2022-04-10,MIN,,SEA,W 10-4,CG,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.49,0.011,0.42,0.01%,-0.66,6,LF
4,63,4,2022-04-11,MIN,,SEA,W 4-0,GS-9,4,3,0,1,0,0,0,0,0,0,0,2,.067,.067,.067,.133,1,0,0,0,0,0,1.000,0.52,0.013,0.48,0.01%,0.38,9,LF
5,64,5,2022-04-12,MIN,,LAD,L 2-7,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.059,.059,.059,.118,0,0,0,0,0,0,.000,0.80,-0.035,0.71,-0.02%,-0.45,4,LF
6,65,28,2022-05-07,MIN,,OAK,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,0,2,.053,.100,.053,.153,0,0,1,0,0,0,,0.90,-0.045,1.05,-0.03%,-0.33,7,1B
7,66,29,2022-05-08,MIN,,OAK,W 4-3,CG,3,3,1,1,0,0,0,0,0,0,0,1,.091,.130,.091,.221,1,0,0,0,0,0,.500,0.96,0.001,1.14,0.00%,-0.13,8,1B
8,67,30,2022-05-10,MIN,,HOU,L 0-5,CG,3,3,0,1,0,0,0,0,0,0,0,0,.120,.154,.120,.274,1,0,0,0,0,0,.333,0.58,-0.030,0.75,-0.02%,-0.07,7,LF
9,68,31,2022-05-11,MIN,,HOU,L 3-11,7-GF,2,1,0,1,0,0,0,0,0,0,1,0,.154,.214,.154,.368,1,0,0,0,0,0,1.000,0.05,0.003,0.06,0.00%,0.93,2,RF
10,69,32,2022-05-12,MIN,,HOU,L 0-5,GS-8,3,3,0,1,0,0,0,0,0,0,0,2,.172,.226,.172,.398,1,0,0,0,0,0,1.000,0.72,-0.003,0.90,0.00%,0.00,6,LF
11,70,66,2022-06-17,MIN,@,ARI,L 2-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.167,.219,.167,.385,0,0,0,0,0,0,,0.15,-0.004,0.18,0.00%,-0.23,8,PH
12,71,67,2022-06-18,MIN,@,ARI,W 11-1,CG,5,5,1,1,1,0,0,2,0,0,0,1,.171,.216,.200,.416,2,0,0,0,0,0,.250,0.51,0.109,0.58,0.07%,0.73,5,1B
13,72,68,2022-06-19,MIN,@,ARI,L 1-7,CG,4,4,0,1,1,0,0,0,0,0,0,1,.179,.220,.231,.450,2,0,0,0,0,0,.333,0.49,-0.045,0.57,-0.03%,-0.60,6,1B
14,73,69,2022-06-21,MIN,,CLE,L 5-6 (11),GS-9,3,3,0,2,1,0,0,2,0,0,0,1,.214,.250,.286,.536,3,0,0,0,0,0,1.000,1.38,0.167,1.85,0.14%,1.79,7,1B
15,74,70,2022-06-22,MIN,,CLE,L 10-11,CG,4,4,1,1,0,0,0,1,0,0,0,2,.217,.250,.283,.533,1,0,0,0,0,0,.500,1.36,0.208,1.82,0.17%,0.63,5,1B
16,75,71,2022-06-23,MIN,,CLE,W 1-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.204,.235,.265,.501,0,0,0,0,0,0,.000,0.76,-0.059,1.00,-0.05%,-0.59,5,DH
17,76,72,2022-06-24,MIN,,COL,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.189,.218,.245,.463,0,1,0,0,0,0,.000,1.70,-0.194,1.86,-0.13%,-1.10,5,1B
18,77,73,2022-06-25,MIN,,COL,W 6-0,CG,4,3,0,1,1,0,0,3,0,0,0,1,.196,.220,.268,.488,2,0,0,0,1,0,.333,0.72,-0.016,0.80,-0.01%,1.37,6,1B
19,78,74,2022-06-26,MIN,,COL,W 6-3,CG,4,3,0,1,0,0,0,1,0,0,1,0,.203,.238,.271,.509,1,0,0,0,0,0,.333,0.77,0.104,0.83,0.07%,1.01,5,1B
20,79,75,2022-06-27,MIN,@,CLE,W 11-1,CG,5,3,2,3,0,0,0,1,0,0,0,0,.242,.279,.306,.586,3,0,1,0,1,0,.750,0.22,0.041,0.30,0.03%,0.20,5,RF 1B
21,80,76,2022-06-28 (1),MIN,@,CLE,L 2-3,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.231,.268,.292,.560,0,0,0,0,0,0,.000,1.04,-0.078,1.44,-0.07%,-0.66,5,1B
22,81,78,2022-06-29,MIN,@,CLE,L 6-7 (10),CG(10),4,4,1,3,1,0,1,2,0,0,0,0,.261,.293,.377,.670,7,0,0,0,0,0,.667,1.19,0.206,1.64,0.17%,2.56,6,LF 1B
23,82,79,2022-06-30,MIN,@,CLE,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.247,.278,.356,.635,0,0,0,0,0,0,.000,1.11,-0.113,1.53,-0.09%,-0.84,6,LF
24,83,80,2022-07-01,MIN,,BAL,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.237,.268,.342,.610,0,0,0,0,0,0,.000,1.46,-0.110,1.60,-0.07%,-0.67,7,LF
25,84,81,2022-07-02,MIN,,BAL,W 4-3,CG,4,4,1,1,1,0,0,0,0,0,0,1,.238,.267,.350,.617,2,0,0,0,0,0,.333,1.35,0.033,1.47,0.02%,-0.30,7,LF
26,85,82,2022-07-03,MIN,,BAL,L 1-3,CG,3,2,0,0,0,0,0,0,0,0,1,1,.232,.270,.341,.611,0,0,0,0,0,0,.000,1.48,-0.046,1.56,-0.03%,-0.37,8,1B
27,86,83,2022-07-04,MIN,@,CHW,W 6-3 (10),CG(10),5,5,0,2,0,0,0,2,0,0,0,1,.241,.277,.345,.621,2,0,0,0,0,0,.500,1.31,0.050,1.53,0.04%,1.37,6,LF 1B
28,87,84,2022-07-05,MIN,@,CHW,W 8-2,GS-7,4,4,3,3,0,0,2,3,0,0,0,1,.264,.296,.429,.724,9,0,0,0,0,0,1.000,1.06,0.043,1.21,0.03%,2.37,6,LF
29,88,85,2022-07-06,MIN,@,CHW,L 8-9 (10),GS-7,4,4,0,1,0,0,0,1,0,0,0,0,.263,.294,.421,.715,1,0,0,0,0,0,.250,0.98,0.004,1.04,0.00%,-0.09,5,LF
30,89,86,2022-07-08,MIN,@,TEX,L 5-6,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.255,.286,.408,.694,0,0,0,0,0,0,.000,0.52,-0.040,0.52,-0.02%,-0.64,6,DH
31,90,87,2022-07-09,MIN,@,TEX,L 7-9,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.250,.280,.400,.680,0,0,0,0,0,0,.000,0.62,-0.031,0.57,-0.02%,-0.20,3,PH RF 1B
32,91,88,2022-07-10,MIN,@,TEX,W 6-5,GS-7,4,3,1,2,0,0,0,0,0,0,1,1,.262,.297,.408,.705,2,0,0,0,0,0,1.000,0.94,0.086,0.94,0.05%,0.87,6,LF
33,92,89,2022-07-12,MIN,,MIL,L 3-6,CG,4,3,0,1,0,0,0,0,0,0,0,0,.264,.304,.406,.710,1,0,1,0,0,0,.333,0.81,0.004,0.74,0.00%,0.03,6,1B
34,93,90,2022-07-13,MIN,,MIL,W 4-1,CG,4,2,0,1,0,0,0,0,0,0,1,0,.269,.319,.407,.727,1,0,1,0,0,0,.500,1.36,0.084,1.25,0.05%,0.72,8,LF
