Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,698,1,2023-03-30,CLE,@,SEA,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,.500,0.86,-0.073,0.81,-0.04%,-0.48,2,SS
2,699,2,2023-03-31,CLE,@,SEA,W 9-4,CG,6,6,0,2,0,0,0,1,1,0,0,0,.300,.300,.300,.600,2,0,0,0,0,0,.333,0.64,0.053,0.59,0.03%,-0.25,2,SS
3,700,3,2023-04-01,CLE,@,SEA,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.214,.214,.214,.429,0,0,0,0,0,0,.000,0.64,-0.065,0.60,-0.04%,-0.68,2,SS
4,701,4,2023-04-02,CLE,@,SEA,W 6-5 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,2,.211,.211,.211,.421,1,0,0,0,0,0,.333,1.57,-0.170,1.52,-0.10%,-0.97,2,SS
5,702,5,2023-04-03,CLE,@,OAK,W 12-11 (10),CG(10),6,5,1,2,0,0,0,2,0,0,0,2,.250,.240,.250,.490,2,0,0,0,1,0,.500,2.33,0.206,2.50,0.13%,1.17,2,SS
6,703,6,2023-04-04,CLE,@,OAK,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.214,.207,.214,.421,0,1,0,0,0,0,.000,1.66,-0.242,1.75,-0.15%,-2.04,2,SS
7,704,7,2023-04-05,CLE,@,OAK,W 6-4 (10),CG(10),6,5,0,0,0,0,0,0,0,0,1,3,.182,.200,.182,.382,0,0,0,0,0,0,.000,0.98,-0.078,1.04,-0.05%,-1.11,2,SS
8,705,8,2023-04-07,CLE,,SEA,L 3-5,CG,4,3,2,1,0,0,0,0,0,0,1,1,.194,.231,.194,.425,1,0,0,0,0,0,.500,1.10,0.092,1.19,0.06%,1.01,2,SS
9,706,9,2023-04-08,CLE,,SEA,L 2-3,CG,5,5,0,3,1,0,0,0,1,0,0,1,.244,.273,.268,.541,4,0,0,0,0,0,.750,2.14,0.145,2.29,0.09%,0.37,2,SS
10,707,10,2023-04-09,CLE,,SEA,W 7-6 (12),CG(12),6,6,1,0,0,0,0,0,0,0,0,2,.213,.240,.234,.474,0,0,0,0,0,0,.000,3.22,-0.302,3.28,-0.19%,-2.13,2,SS
11,708,11,2023-04-10,CLE,,NYY,W 3-2,CG,4,2,0,0,0,0,0,0,1,0,2,0,.204,.259,.224,.484,0,1,0,0,0,0,.000,1.76,-0.117,1.87,-0.08%,-1.04,2,SS
12,709,13,2023-04-12,CLE,,NYY,L 3-4,CG,5,5,1,1,0,0,1,1,0,0,0,1,.204,.254,.278,.532,4,0,0,0,0,0,.000,3.00,-0.284,3.27,-0.19%,-0.61,2,SS
13,710,14,2023-04-14,CLE,@,WSN,W 4-3,CG,5,4,1,1,1,0,0,0,0,0,1,1,.207,.266,.293,.559,2,0,0,0,0,0,.333,1.23,0.067,1.18,0.04%,0.40,2,SS
14,711,15,2023-04-15,CLE,@,WSN,W 6-4,CG,5,5,1,2,0,1,0,0,0,0,0,2,.222,.275,.333,.609,4,0,0,0,0,0,.667,0.93,0.066,0.96,0.04%,0.30,2,SS
15,712,20,2023-04-22 (1),CLE,,MIA,L 1-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.224,.274,.328,.602,1,0,0,0,0,0,.333,0.79,-0.002,0.79,0.00%,-0.31,2,SS
16,713,21,2023-04-22 (2),CLE,,MIA,L 2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.221,.270,.324,.594,0,0,0,0,0,0,,7.15,-0.165,6.88,-0.10%,-0.48,9,PH
17,714,22,2023-04-23,CLE,,MIA,W 7-4,CG,5,5,4,4,1,1,0,0,1,0,0,0,.260,.304,.397,.701,7,0,0,0,0,0,.800,0.49,0.103,0.45,0.06%,2.07,2,SS
18,715,23,2023-04-24,CLE,,COL,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.247,.289,.377,.666,0,1,0,0,0,0,.000,0.96,-0.092,0.93,-0.05%,-1.71,2,SS
19,716,24,2023-04-25,CLE,,COL,L 1-5,CG,4,3,0,1,0,0,0,1,0,0,0,2,.250,.287,.375,.662,1,0,0,0,1,0,.500,0.68,-0.025,0.60,-0.01%,-0.38,2,SS
20,717,25,2023-04-26,CLE,,COL,W 4-1,CG,4,4,0,1,0,0,0,0,1,0,0,1,.250,.286,.369,.655,1,1,0,0,0,0,.333,0.55,-0.042,0.48,-0.02%,-0.73,2,SS
21,718,26,2023-04-28,CLE,@,BOS,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.239,.274,.352,.626,0,0,0,0,0,0,.000,0.87,-0.086,0.82,-0.05%,-1.20,2,SS
22,719,27,2023-04-29,CLE,@,BOS,L 7-8 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,3,.226,.260,.333,.593,0,1,0,0,0,0,.000,1.97,-0.313,1.99,-0.19%,-2.49,2,SS
23,720,28,2023-04-30,CLE,@,BOS,L 1-7,CG,4,4,0,1,0,0,0,1,0,0,0,1,.227,.260,.330,.590,1,0,0,0,0,0,.333,0.90,0.088,0.87,0.05%,0.40,2,SS
24,721,29,2023-05-01,CLE,@,NYY,W 3-2,CG,4,4,1,2,0,0,0,0,0,0,0,0,.238,.269,.337,.605,2,0,0,0,0,0,.500,1.07,0.062,1.00,0.04%,0.30,2,SS
25,722,30,2023-05-02,CLE,@,NYY,L 2-4,CG,5,4,1,1,0,0,0,0,0,0,1,1,.238,.274,.333,.608,1,0,0,0,0,0,.333,0.95,-0.026,0.94,-0.02%,-0.29,2,SS
26,723,31,2023-05-03,CLE,@,NYY,L 3-4 (10),CG(10),5,5,1,1,0,0,0,0,1,0,0,3,.236,.271,.327,.598,1,0,0,0,0,0,.500,1.96,-0.100,1.83,-0.06%,-1.21,2,SS
27,724,32,2023-05-05,CLE,,MIN,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.228,.262,.316,.578,0,0,0,0,0,0,.000,1.44,-0.136,1.47,-0.08%,-0.88,2,SS
28,725,33,2023-05-06,CLE,,MIN,W 4-3,CG,4,3,1,0,0,0,0,0,0,0,1,1,.222,.262,.308,.570,0,0,0,0,0,0,.000,0.62,0.007,0.55,0.00%,-0.13,2,SS
29,726,35,2023-05-08,CLE,,DET,L 2-6,CG,4,3,0,1,0,0,0,0,0,0,1,2,.225,.269,.308,.578,1,0,0,0,0,0,1.000,1.04,0.113,1.04,0.07%,0.99,2,SS
30,727,36,2023-05-09,CLE,,DET,W 2-0,CG,4,4,0,4,0,1,0,1,0,0,0,0,.250,.291,.347,.638,6,0,0,0,0,0,1.000,0.85,0.128,0.79,0.07%,1.61,2,SS
31,728,37,2023-05-10,CLE,,DET,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.242,.283,.336,.619,0,0,0,0,0,0,.000,0.45,-0.047,0.44,-0.03%,-0.80,2,SS
32,729,38,2023-05-12,CLE,,LAA,L 4-5,CG,5,5,1,3,1,1,0,0,0,0,0,0,.256,.294,.368,.662,6,0,0,0,0,0,.600,1.42,0.145,1.21,0.07%,1.38,2,SS
33,730,39,2023-05-13,CLE,,LAA,W 8-6,CG,4,4,2,3,1,0,0,1,1,0,0,0,.270,.306,.387,.693,4,1,0,0,0,0,.750,1.43,0.227,1.12,0.11%,2.12,2,SS
34,731,40,2023-05-14,CLE,,LAA,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.262,.298,.376,.674,0,0,0,0,0,0,.000,1.27,-0.125,1.02,-0.06%,-0.97,2,SS
35,732,41,2023-05-16,CLE,@,CHW,L 3-8,CG,4,4,0,1,0,0,0,0,0,0,0,2,.262,.297,.372,.669,1,0,0,0,0,0,.500,0.55,-0.021,0.47,-0.01%,-0.12,2,SS
36,733,42,2023-05-17,CLE,@,CHW,L 2-7,CG,5,5,0,0,0,0,0,0,0,0,0,2,.253,.288,.360,.648,0,1,0,0,0,0,.000,1.15,-0.171,0.93,-0.08%,-2.62,2,DH
37,734,43,2023-05-18,CLE,@,CHW,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.247,.280,.351,.631,0,0,0,0,0,0,.000,0.92,-0.092,0.72,-0.04%,-0.88,2,SS
38,735,44,2023-05-19,CLE,@,NYM,L 9-10 (10),CG(10),5,5,1,2,0,0,0,1,0,0,0,0,.252,.284,.352,.636,2,0,0,0,0,0,.400,0.88,-0.097,0.68,-0.05%,-1.18,2,SS
39,736,45,2023-05-21 (1),CLE,@,NYM,L 4-5,CG,4,4,1,1,0,0,0,1,0,0,0,0,.252,.283,.350,.633,1,0,0,0,0,0,.250,1.24,-0.001,0.89,0.00%,0.21,2,SS
40,737,46,2023-05-21 (2),CLE,@,NYM,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,0,1,.247,.282,.343,.626,0,0,1,0,0,0,.000,0.98,0.038,0.64,0.02%,-0.17,2,DH
41,738,47,2023-05-22,CLE,,CHW,W 3-0,CG,4,4,0,1,0,0,0,0,1,0,0,0,.247,.282,.341,.623,1,0,0,0,0,0,.250,0.77,-0.019,0.51,-0.01%,-0.46,2,SS
42,739,48,2023-05-23,CLE,,CHW,L 2-4,CG,4,3,1,0,0,0,0,0,0,0,1,0,.243,.281,.335,.616,0,0,0,0,0,0,.000,0.88,-0.005,0.64,0.00%,-0.05,2,SS
43,740,49,2023-05-24,CLE,,CHW,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.237,.275,.328,.603,0,0,0,0,0,0,.000,0.35,-0.036,0.24,-0.02%,-0.94,2,SS
44,741,50,2023-05-26,CLE,,STL,W 4-3,CG,4,3,0,1,1,0,0,3,0,0,1,2,.239,.280,.333,.613,2,0,0,0,0,0,1.000,0.84,0.098,0.45,0.03%,1.72,2,SS
45,742,51,2023-05-27,CLE,,STL,L 1-2 (10),CG(10),5,5,0,2,2,0,0,0,0,0,0,0,.243,.283,.346,.629,4,0,0,0,0,0,.400,1.69,-0.170,0.97,-0.06%,-0.34,2,SS
46,743,52,2023-05-28,CLE,,STL,W 4-3,CG,5,4,0,1,0,0,0,0,0,0,1,0,.243,.286,.344,.630,1,0,0,0,0,0,.250,2.55,-0.164,1.28,-0.05%,-0.15,2,SS
47,744,53,2023-05-29,CLE,@,BAL,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.238,.280,.337,.617,0,0,0,0,0,0,.000,0.81,0.066,0.48,0.02%,1.63,2,SS
48,745,54,2023-05-30,CLE,@,BAL,L 5-8,CG,5,4,1,1,0,0,0,0,0,0,1,0,.239,.283,.335,.618,1,0,0,0,0,0,.250,0.44,0.011,0.28,0.00%,0.37,2,SS
49,746,55,2023-05-31,CLE,@,BAL,W 12-8,CG,6,5,1,0,0,0,0,0,0,0,1,0,.233,.280,.327,.607,0,0,0,0,0,0,.000,1.10,-0.070,0.66,-0.03%,-0.98,2,SS
50,747,56,2023-06-01,CLE,@,MIN,L 6-7,CG,5,5,0,0,0,0,0,0,0,0,0,0,.227,.274,.319,.592,0,0,0,0,0,0,.000,1.12,-0.148,0.86,-0.07%,-1.14,2,SS
51,748,57,2023-06-02,CLE,@,MIN,L 0-1,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.226,.272,.317,.590,0,0,0,0,0,0,.000,2.91,-0.076,2.10,-0.03%,-0.45,9,PH
52,749,58,2023-06-03,CLE,@,MIN,W 4-2,GS-4,2,2,0,0,0,0,0,0,0,0,0,0,.224,.270,.314,.584,0,0,0,0,0,0,.000,0.54,-0.028,0.38,-0.01%,-0.28,2,SS
53,750,60,2023-06-06,CLE,,BOS,L 4-5,8-9,1,1,0,1,0,0,0,1,0,0,0,0,.227,.273,.318,.591,1,0,0,0,0,0,1.000,1.91,0.076,1.21,0.03%,1.00,7,PH
54,751,61,2023-06-07,CLE,,BOS,W 5-2,CG,4,4,2,3,1,0,0,1,0,0,0,1,.237,.281,.330,.612,4,0,0,0,0,0,1.000,0.78,0.184,0.45,0.06%,1.26,2,SS
55,752,62,2023-06-08,CLE,,BOS,W 10-3,GS-9,5,5,0,1,0,0,0,0,0,0,0,0,.236,.280,.327,.607,1,1,0,0,0,0,.200,0.57,-0.108,0.36,-0.04%,-0.73,2,SS
56,753,63,2023-06-09,CLE,,HOU,W 10-9 (14),CG(14),7,6,2,1,1,0,0,1,0,0,1,1,.235,.280,.327,.607,2,0,0,0,0,0,.200,2.01,-0.286,1.49,-0.13%,-0.57,2,SS
57,754,64,2023-06-10,CLE,,HOU,L 4-6,CG,5,3,1,1,1,0,0,0,0,0,2,1,.236,.286,.332,.618,2,0,0,0,0,0,.500,1.09,0.209,0.85,0.10%,1.79,2,SS
58,755,65,2023-06-11,CLE,,HOU,W 5-0,CG,4,4,0,1,0,0,0,1,0,0,0,1,.236,.286,.330,.616,1,0,0,0,0,0,.333,0.44,-0.016,0.32,-0.01%,0.01,2,SS
59,756,66,2023-06-13,CLE,@,SDP,L 3-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,.233,.285,.326,.611,0,0,0,0,0,0,.000,0.85,-0.053,0.65,-0.02%,-0.69,2,SS
60,757,67,2023-06-14,CLE,@,SDP,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.233,.285,.325,.610,1,0,0,0,0,0,.333,0.49,-0.054,0.36,-0.02%,-0.81,2,SS
61,758,68,2023-06-15,CLE,@,SDP,W 8-6,CG,5,5,1,3,0,0,0,0,0,0,0,0,.241,.291,.331,.621,3,0,0,0,0,0,.600,1.07,0.060,0.69,0.02%,0.49,2,SS
62,759,69,2023-06-16,CLE,@,ARI,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.237,.286,.325,.612,0,1,0,0,0,0,.000,0.96,-0.135,0.66,-0.06%,-1.46,2,SS
63,760,70,2023-06-17,CLE,@,ARI,L 3-6,CG,5,5,0,5,0,0,0,0,0,0,0,0,.252,.299,.339,.638,5,0,0,0,0,0,1.000,1.07,0.179,0.74,0.07%,1.94,2,SS
64,761,71,2023-06-18,CLE,@,ARI,W 12-3,GS-7,5,4,1,2,0,0,0,1,0,0,0,1,.256,.301,.341,.642,2,0,0,0,1,0,.500,0.48,-0.011,0.32,-0.01%,0.45,2,SS
65,762,72,2023-06-20,CLE,,OAK,W 3-2 (10),CG(10),5,5,1,3,1,0,0,1,0,0,0,0,.262,.306,.350,.656,4,0,0,0,0,0,.600,1.18,0.082,0.89,0.04%,0.64,2,SS
66,763,73,2023-06-21,CLE,,OAK,W 7-6,CG,5,5,1,1,0,0,0,1,0,0,0,1,.261,.305,.347,.652,1,0,0,0,0,0,.250,1.03,-0.037,0.80,-0.02%,-0.42,2,SS
67,764,74,2023-06-22,CLE,,OAK,W 6-1,CG,4,3,0,0,0,0,0,1,0,0,1,0,.258,.304,.343,.647,0,0,0,0,0,0,.000,0.76,-0.053,0.59,-0.03%,0.31,2,SS
68,765,75,2023-06-23,CLE,,MIL,L 1-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,.258,.303,.342,.645,1,0,0,0,0,0,.250,0.65,-0.028,0.53,-0.01%,-0.61,2,SS
69,766,76,2023-06-24,CLE,,MIL,W 4-2,CG,4,2,1,1,0,0,0,0,0,0,1,1,.260,.309,.343,.652,1,0,1,0,0,0,1.000,1.07,0.104,0.84,0.05%,0.72,2,SS
70,767,77,2023-06-25,CLE,,MIL,L 4-5 (10),CG(10),5,5,0,1,1,0,0,0,0,0,0,0,.259,.307,.344,.651,2,0,0,0,0,0,.200,0.97,-0.090,0.77,-0.04%,-0.53,2,SS
71,768,78,2023-06-27,CLE,@,KCR,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.259,.306,.343,.649,1,1,0,0,0,0,.250,1.15,-0.135,0.91,-0.06%,-0.82,2,SS
72,769,79,2023-06-28,CLE,@,KCR,W 14-1,GS-8,5,4,2,1,0,1,0,1,0,0,1,1,.259,.308,.348,.656,3,0,0,0,0,0,.333,0.68,0.048,0.60,0.03%,1.45,2,SS
73,770,80,2023-06-29,CLE,@,KCR,L 3-4 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,1,.254,.303,.342,.646,0,0,0,0,0,0,.000,1.32,-0.143,1.15,-0.08%,-1.09,2,SS
74,771,81,2023-06-30,CLE,@,CHC,L 1-10,CG,4,4,0,2,1,0,0,0,0,0,0,0,.258,.306,.348,.653,3,0,0,0,0,0,.500,0.54,0.054,0.47,0.03%,1.11,2,SS
75,772,82,2023-07-01,CLE,@,CHC,W 6-0,CG,5,5,0,1,0,0,0,2,0,0,0,3,.257,.304,.345,.649,1,0,0,0,0,0,.500,0.72,0.145,0.64,0.08%,0.74,2,SS
76,773,83,2023-07-02,CLE,@,CHC,W 8-6 (10),CG(10),5,5,2,2,0,0,0,2,0,0,0,1,.259,.305,.346,.652,2,0,0,0,0,0,.500,1.33,0.120,1.15,0.06%,0.92,2,SS
77,774,84,2023-07-03,CLE,,ATL,L 2-4,CG,5,5,0,2,0,0,0,2,1,0,0,0,.261,.307,.347,.654,2,0,0,0,0,0,.400,0.94,0.071,0.87,0.04%,1.28,2,SS
78,775,85,2023-07-04,CLE,,ATL,W 6-5 (10),CG(10),5,5,2,3,1,0,1,4,0,0,0,1,.266,.311,.364,.675,7,0,0,0,0,0,.667,1.50,0.495,1.33,0.26%,3.52,2,SS
79,776,86,2023-07-05,CLE,,ATL,L 1-8,CG,5,4,0,0,0,0,0,1,0,0,1,0,.263,.309,.359,.669,0,0,0,0,0,0,.000,0.52,-0.041,0.47,-0.02%,-0.67,2,SS
80,777,87,2023-07-06,CLE,,KCR,W 6-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.263,.309,.358,.667,1,0,0,0,0,0,.250,0.52,-0.010,0.45,-0.01%,-0.25,2,SS
81,778,88,2023-07-07,CLE,,KCR,W 3-0,CG,4,4,1,1,1,0,0,0,0,0,0,0,.263,.308,.360,.668,2,0,0,0,0,0,.250,0.40,0.015,0.37,0.01%,-0.15,2,SS
82,779,89,2023-07-08,CLE,,KCR,W 10-6,CG,5,5,2,3,0,0,0,1,0,0,0,1,.268,.312,.363,.675,3,0,0,0,0,0,.750,0.56,0.058,0.56,0.04%,1.92,2,SS
83,780,90,2023-07-09,CLE,,KCR,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.268,.311,.362,.673,1,0,0,0,0,0,.333,0.85,-0.023,0.87,-0.01%,-0.33,2,SS
84,781,91,2023-07-14,CLE,@,TEX,L 4-12,CG,5,5,1,1,0,0,0,0,0,0,0,1,.267,.310,.359,.669,1,0,0,0,0,0,.250,0.71,-0.045,0.77,-0.03%,-0.83,2,SS
85,782,92,2023-07-15,CLE,@,TEX,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.264,.307,.355,.662,0,0,0,0,0,0,.000,1.18,-0.122,1.18,-0.07%,-1.03,2,SS
86,783,93,2023-07-16,CLE,@,TEX,L 5-6,CG,5,5,0,0,0,0,0,0,0,0,0,2,.260,.303,.350,.653,0,0,0,0,0,0,.000,1.67,-0.204,1.59,-0.12%,-1.55,2,SS
87,784,94,2023-07-17,CLE,@,PIT,W 11-0,GS-7,4,4,2,2,0,0,1,2,0,0,0,1,.263,.305,.360,.665,5,0,0,0,0,0,.500,0.72,0.182,0.55,0.08%,1.45,2,SS
88,785,95,2023-07-18,CLE,@,PIT,W 10-1,GS-9,5,4,1,1,0,0,0,1,0,0,1,0,.262,.306,.359,.665,1,0,0,0,0,0,.250,0.30,0.063,0.26,0.03%,0.48,2,SS
89,786,96,2023-07-19,CLE,@,PIT,L 5-7,CG,5,5,1,1,1,0,0,2,0,0,0,1,.262,.305,.360,.664,2,0,0,0,0,0,.250,0.85,0.048,0.76,0.03%,0.56,2,SS
90,787,97,2023-07-21,CLE,,PHI,W 6-5,CG,5,5,0,1,0,0,0,1,0,0,0,0,.261,.303,.358,.661,1,0,0,0,0,0,.200,0.77,-0.036,0.64,-0.02%,-0.23,2,SS
91,788,98,2023-07-22,CLE,,PHI,W 1-0,GS-9,4,4,1,1,0,0,0,0,0,0,0,0,.261,.303,.356,.659,1,0,0,0,0,0,.250,0.52,-0.017,0.44,-0.01%,-0.25,2,SS
92,789,99,2023-07-23,CLE,,PHI,L 5-8 (10),7-8,1,1,0,0,0,0,0,0,0,0,0,1,.260,.302,.355,.657,0,0,0,0,0,0,,2.62,-0.075,2.35,-0.04%,-0.33,9,PH
