Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,943,2,2025-03-29,WSN,,PHI,L 6-11,CG,5,5,3,3,0,0,1,1,0,0,0,0,.600,.600,1.200,1.800,6,0,0,0,0,0,.500,0.47,0.052,0.46,0.03%,1.10,24.00,31.10,5,2B
2,944,6,2025-04-02,WSN,@,TOR,L 2-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.375,.375,.750,1.125,0,0,0,0,0,0,.000,0.93,-0.073,0.72,-0.03%,-0.62,0.00,0.00,2,2B
3,945,8,2025-04-05,WSN,,ARI,W 4-3,CG,4,4,1,2,1,0,0,0,0,0,0,1,.417,.417,.750,1.167,3,0,0,0,0,0,.667,0.28,0.033,0.20,0.01%,0.28,10.00,12.20,2,2B
4,946,10,2025-04-07,WSN,,LAD,W 6-4,7-GF,2,2,1,1,0,0,0,0,1,0,0,0,.429,.429,.714,1.143,1,0,0,0,0,0,.500,0.67,0.050,0.50,0.02%,0.52,10.00,12.20,8,PH 3B
5,947,11,2025-04-08,WSN,,LAD,W 8-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,.389,.389,.667,1.056,2,0,0,0,0,0,.250,0.13,-0.010,0.11,-0.01%,0.06,5.00,6.00,5,3B
6,948,12,2025-04-09,WSN,,LAD,L 5-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.368,.368,.632,1.000,0,0,0,0,0,0,,3.33,-0.078,2.85,-0.04%,-0.28,0.00,0.00,6,PH 2B
7,949,13,2025-04-11,WSN,@,MIA,W 7-4,4-GF,3,3,0,0,0,0,0,0,0,0,0,0,.318,.318,.545,.864,0,0,0,0,0,0,.000,1.43,-0.112,1.22,-0.06%,-0.92,0.00,0.00,1,SS 3B
8,950,14,2025-04-12,WSN,@,MIA,L 6-7,CG,4,4,0,1,0,0,0,1,0,0,0,1,.308,.308,.500,.808,1,0,0,0,0,0,.333,1.67,-0.024,1.54,-0.01%,0.21,5.00,6.50,7,3B
9,951,15,2025-04-13,WSN,@,MIA,L 4-11,CG,4,3,1,1,0,0,0,0,0,0,1,0,.310,.333,.483,.816,1,0,0,0,0,0,.333,1.16,0.014,0.99,0.01%,0.07,7.00,9.20,7,3B
10,952,17,2025-04-15,WSN,@,PIT,W 3-0,6-GF,1,1,1,0,0,0,0,0,0,0,0,0,.300,.323,.467,.789,0,0,0,0,0,0,.000,0.37,-0.011,0.27,-0.01%,-0.36,2.00,3.20,6,PR 3B
