Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,50,1,2021-04-01,CLE,@,DET,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.44,-0.138,1.55,-0.09%,-1.05,9,SS
2,51,2,2021-04-03,CLE,@,DET,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,1,0,0,0,0,0,.333,0.90,0.019,0.92,0.01%,0.24,9,SS
3,52,3,2021-04-04,CLE,@,DET,W 9-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,0,,0,0,,,,,,,,,6,SS
4,53,5,2021-04-07,CLE,,KCR,W 4-2,CG,3,3,0,1,0,0,0,0,0,0,0,1,.182,.182,.182,.364,1,1,0,0,0,0,.500,2.01,-0.095,1.87,-0.05%,-0.86,9,SS
5,54,6,2021-04-09,CLE,,DET,W 4-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.143,.143,.143,.286,0,0,0,0,0,0,.000,0.31,-0.023,0.31,-0.01%,-0.58,9,SS
6,55,7,2021-04-10,CLE,,DET,W 11-3,CG,4,3,2,1,0,0,1,2,0,0,1,1,.176,.222,.353,.575,4,0,0,0,0,0,.000,0.34,-0.031,0.36,-0.02%,1.17,9,SS
7,56,8,2021-04-11,CLE,,DET,W 5-2,CG,4,4,1,1,1,0,0,0,0,0,0,0,.190,.227,.381,.608,2,0,0,0,0,0,.250,0.84,0.007,0.92,0.01%,-0.03,1,SS
8,57,10,2021-04-13,CLE,@,CHW,W 2-0 (10),GS-10,3,2,0,0,0,0,0,0,0,0,0,1,.174,.208,.348,.556,0,0,0,1,0,0,.000,1.62,-0.079,1.89,-0.06%,-0.64,9,SS
9,58,12,2021-04-15,CLE,@,CHW,W 4-2,CG,4,4,1,1,1,0,0,1,0,0,0,2,.185,.214,.370,.585,2,0,0,0,0,0,.500,1.16,0.074,1.40,0.05%,0.02,9,SS
10,59,13,2021-04-16,CLE,@,CIN,L 3-10,CG,5,4,1,1,0,0,0,0,1,0,1,1,.194,.242,.355,.597,1,0,0,0,0,0,.333,0.76,0.009,0.82,0.01%,-0.27,1,SS
11,60,14,2021-04-17,CLE,@,CIN,L 2-3 (10),CG(10),4,3,1,2,1,0,1,1,1,0,0,1,.235,.297,.500,.797,6,0,1,0,0,0,1.000,0.82,0.174,0.82,0.10%,1.70,7,SS
12,61,15,2021-04-18,CLE,@,CIN,W 6-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.235,.297,.500,.797,0,,0,0,,,,,,,,,4,SS
13,62,17,2021-04-22,CLE,,NYY,L 3-6,GS-9,3,3,0,1,0,0,0,0,1,0,0,1,.243,.300,.486,.786,1,0,0,0,0,0,.500,0.67,-0.005,0.68,0.00%,0.35,9,SS
14,63,18,2021-04-23,CLE,,NYY,L 3-5,CG,3,3,0,0,0,0,0,0,0,0,0,1,.225,.279,.450,.729,0,0,0,0,0,0,.000,1.16,-0.089,1.14,-0.05%,-0.66,9,SS
15,64,19,2021-04-24,CLE,,NYY,L 1-2,GS-8,2,2,0,0,0,0,0,0,0,0,0,2,.214,.267,.429,.695,0,0,0,0,0,0,,1.00,-0.055,0.93,-0.03%,-0.48,9,SS
16,65,20,2021-04-25,CLE,,NYY,W 7-3,CG,3,3,0,0,0,0,0,0,0,0,0,3,.200,.250,.400,.650,0,0,0,0,0,0,,0.62,-0.049,0.53,-0.03%,-0.72,8,SS
17,66,21,2021-04-26,CLE,,MIN,W 5-3 (10),CG(10),4,4,0,1,1,0,0,0,0,0,0,0,.204,.250,.408,.658,2,0,0,0,0,0,.250,2.23,0.055,2.12,0.03%,-0.32,8,SS
18,67,22,2021-04-27,CLE,,MIN,W 7-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,.192,.250,.385,.635,0,0,0,0,0,0,.000,0.91,-0.052,0.94,-0.03%,-0.40,9,SS
19,68,24,2021-04-30,CLE,@,CHW,W 5-3,CG,3,3,1,1,0,0,0,0,0,0,0,1,.200,.254,.382,.636,1,0,0,0,0,0,.500,0.64,-0.002,0.69,0.00%,-0.01,9,SS
20,69,25,2021-05-01,CLE,@,CHW,L 3-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.190,.242,.362,.604,0,0,0,0,0,0,.000,0.47,-0.036,0.54,-0.03%,-0.67,8,SS
21,70,26,2021-05-02,CLE,@,CHW,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.177,.227,.339,.566,0,0,0,0,0,0,.000,0.80,-0.077,0.89,-0.05%,-1.15,8,SS
22,71,27,2021-05-03,CLE,@,KCR,W 8-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.175,.224,.333,.557,0,0,0,0,0,0,,0.38,-0.016,0.49,-0.01%,-0.46,5,SS
